"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.145708335E-3,3.878434753E-1,-6.515950012E-1,9.654323730E0
1.042637083E-1,4.073030090E-1,-6.245013428E-1,9.747130737E0
2.043817083E-1,4.493655396E-1,-5.685177612E-1,9.849068756E0
3.044997083E-1,3.017724609E-1,-6.325845337E-1,9.721533966E0
4.046177083E-1,1.067280579E-1,-8.563691711E-1,9.813592529E0
5.047357083E-1,4.101470947E-2,-7.749385071E-1,9.824220428E0
6.048535833E-1,2.933898926E-2,-7.285350037E-1,9.606573029E0
7.049715833E-1,-1.369651794E-1,-7.908055115E-1,9.104517059E0
8.050895833E-1,-1.477277985E0,-1.025517426E0,8.200097809E0
9.052085833E-1,-3.698808289E0,-2.381996613E0,8.112679596E0
1.005326583E0,-6.811435547E0,-3.419938202E0,6.806795197E0
1.105444583E0,-7.974965973E0,-4.098028107E0,5.168003082E0
1.205562583E0,-8.850944366E0,-4.107907562E0,3.728296967E0
1.305680583E0,-8.725954285E0,-3.798800354E0,3.057092743E0
1.405798583E0,-8.171656952E0,-3.604354706E0,2.210153961E0
1.505916583E0,-7.716902618E0,-5.184319153E0,1.978286133E0
1.606035750E0,-7.176825714E0,-8.891959076E0,2.422262878E0
1.706153750E0,-4.250111847E0,-9.652976532E0,3.522025909E0
1.806271750E0,-6.057902527E0,-8.108188934E0,2.991529083E0
1.906389750E0,-7.382647705E0,-6.100264435E0,2.205962677E0
2.006507750E0,-8.140671387E0,-4.624183960E0,1.104253693E0
2.106625750E0,-7.725434875E0,-5.283562775E0,6.900650024E-1
2.206743750E0,-5.784870300E0,-8.466992798E0,2.446811829E0
2.306861750E0,-4.670587463E0,-8.788224792E0,3.873345337E0
2.406980750E0,-6.087989960E0,-7.646698608E0,3.538940735E0
2.507098750E0,-7.854616241E0,-5.766458588E0,2.158062286E0
2.607215958E0,-8.143365784E0,-4.997657318E0,1.050365753E0
2.707333958E0,-6.785539398E0,-6.360423431E0,2.382745056E0
2.807451958E0,-5.057682495E0,-6.948700104E0,3.956123199E0
2.907569958E0,-5.960006104E0,-7.580236816E0,4.403243408E0
3.007687958E0,-6.659501495E0,-6.855144653E0,4.306694183E0
3.107805958E0,-6.309678955E0,-5.934858398E0,4.241429901E0
3.207923958E0,-6.404880981E0,-5.511389008E0,4.792883148E0
3.308041958E0,-6.973548431E0,-5.838458862E0,6.091432800E0
