"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.182124999E-3,2.800352478E1,2.220251465E1,-3.258712769E1
9.828812500E-2,2.802600098E1,2.228063965E1,-3.238192749E1
1.883941250E-1,2.807341003E1,2.229598999E1,-3.223236084E1
2.785011250E-1,2.826451111E1,2.229725647E1,-3.214962769E1
3.686071250E-1,2.830986023E1,2.219366455E1,-3.205554199E1
4.587131250E-1,2.845291138E1,2.221724701E1,-3.237872314E1
5.488197500E-1,2.887182617E1,2.209781647E1,-3.193264771E1
6.389257500E-1,3.105761719E1,2.198889160E1,-2.980291748E1
7.290317500E-1,3.574615479E1,2.258289337E1,-2.332632446E1
8.191387500E-1,3.919184875E1,2.547870636E1,-1.270516968E1
9.092447500E-1,3.855458069E1,2.957901001E1,-1.857604980E0
9.993507500E-1,3.578303528E1,3.316392517E1,5.669555664E0
1.089457750E0,3.420811462E1,3.552297211E1,7.900390625E0
1.179563750E0,3.348066711E1,3.690267181E1,9.028808594E0
1.269669750E0,3.185266113E1,3.794631195E1,1.026727295E1
1.359776750E0,3.083749390E1,3.824968719E1,1.054928589E1
1.449882750E0,2.983843994E1,3.939891815E1,1.169808960E1
1.539988875E0,2.776414490E1,4.121653748E1,1.453924561E1
1.630095875E0,2.609461975E1,4.239898682E1,1.834863281E1
1.720201875E0,2.654714966E1,4.144891357E1,1.911926270E1
1.810307875E0,2.665246582E1,4.071757507E1,1.673202515E1
1.900414875E0,2.595912170E1,4.153747559E1,1.280322266E1
1.990520875E0,2.486914062E1,4.218125153E1,1.116336060E1
2.080626875E0,2.514227295E1,4.261272430E1,1.249969482E1
2.170733875E0,2.748094177E1,4.236777496E1,1.574496460E1
2.260839875E0,2.953775024E1,4.175931549E1,1.838006592E1
2.350945875E0,2.939739990E1,4.059725189E1,1.823922729E1
2.441052875E0,2.754862976E1,4.081242371E1,1.562637329E1
2.531158875E0,2.562136841E1,4.199344635E1,1.307678223E1
2.621264625E0,2.520617676E1,4.278826904E1,1.139395142E1
2.711371625E0,2.658680725E1,4.265332031E1,1.236309814E1
2.801477625E0,2.922213745E1,4.134541321E1,1.501242065E1
2.891583625E0,3.079423523E1,4.017398071E1,1.659115601E1
2.981690625E0,3.018168640E1,4.038171387E1,1.607897949E1
3.071796625E0,2.743380737E1,4.283686829E1,1.279113770E1
3.161902625E0,2.633283997E1,4.353150177E1,9.602905273E0
3.252009625E0,2.789933777E1,4.363282776E1,8.061340332E0
3.342115625E0,2.976788330E1,4.295910645E1,9.538635254E0
3.432221625E0,2.998855591E1,4.183464050E1,1.234048462E1
3.522328625E0,2.984788513E1,4.048493195E1,1.149026489E1
3.612435167E0,3.000469971E1,3.812592316E1,1.065914917E1
3.702541167E0,2.811711121E1,3.689752197E1,1.318136597E1
3.792648167E0,2.417651367E1,3.676462555E1,1.617257690E1
3.882754167E0,2.226925659E1,3.665743256E1,1.786898804E1
3.972860167E0,2.092843628E1,3.693650055E1,1.960177612E1
4.062967167E0,1.862132263E1,3.809484863E1,2.140985107E1
4.153073167E0,1.763121033E1,3.764930725E1,2.313107300E1
4.243179167E0,1.814700317E1,3.667657471E1,2.406167603E1
4.333285167E0,1.823385620E1,3.728228760E1,2.346606445E1
4.423392167E0,1.857872009E1,3.678124237E1,2.360412598E1
4.513498167E0,1.888072205E1,3.710923767E1,2.260855103E1
4.603603417E0,1.867900085E1,3.744794464E1,2.167129517E1
4.693710417E0,1.824822998E1,3.850056458E1,2.054302979E1
4.783816417E0,1.896664429E1,3.868817139E1,1.912023926E1
4.873922417E0,2.117155457E1,3.859626007E1,1.777282715E1
4.964029417E0,2.707551575E1,3.693559265E1,1.506607056E1
5.054135417E0,3.423751831E1,3.356485748E1,1.174023438E1
5.144241417E0,4.075120544E1,2.825804138E1,4.170074463E0
5.234348417E0,4.314993286E1,2.362194061E1,-9.499145508E0
5.324454417E0,4.059579468E1,2.192414856E1,-2.053466797E1
5.414560417E0,3.493031311E1,2.471221161E1,-2.776770020E1
5.504667417E0,3.512777710E1,2.606041718E1,-2.601168823E1
5.594774250E0,3.481323242E1,2.286396790E1,-2.902160645E1
5.684880250E0,3.267131042E1,2.161571503E1,-3.260021973E1
5.774987250E0,3.501025391E1,2.418173981E1,-2.826065063E1
5.865093250E0,3.448960876E1,2.350885773E1,-2.926043701E1
5.955199250E0,3.274496460E1,2.090541840E1,-3.275848389E1
6.045305250E0,3.470204163E1,2.193183136E1,-3.045855713E1
6.135412250E0,3.447570801E1,2.392024231E1,-2.922875977E1
6.225518250E0,3.433056641E1,2.168235016E1,-3.074630737E1
6.315624250E0,3.198855591E1,1.966014862E1,-3.474645996E1
6.405731250E0,3.442295837E1,2.205308533E1,-3.117514038E1
6.495837250E0,3.383102417E1,2.241705322E1,-3.097912598E1
6.585942750E0,3.154528809E1,1.921011353E1,-3.515554810E1
6.676049750E0,3.385237122E1,2.018650818E1,-3.230535889E1
6.766155750E0,3.415409851E1,2.273803711E1,-3.042022705E1
6.856261750E0,3.318080139E1,2.023518372E1,-3.287649536E1
6.946368750E0,3.253408813E1,1.930044556E1,-3.417068481E1
7.036474750E0,3.436772156E1,2.191870880E1,-3.100088501E1
7.126580750E0,3.393925476E1,2.060055542E1,-3.206784058E1
7.216686750E0,2.944334412E1,1.857070923E1,-3.723461914E1
7.306793750E0,3.774359131E1,2.263457489E1,-2.568124390E1
7.396899750E0,4.087402344E1,2.132155609E1,-2.122467041E1
7.487005750E0,3.885890198E1,1.791345978E1,-2.639007568E1
7.577112125E0,3.914297485E1,1.785654449E1,-2.624731445E1
7.667218125E0,3.745748901E1,1.738993835E1,-2.941314697E1
7.757324125E0,3.788101196E1,1.787486267E1,-2.871673584E1
7.847431125E0,3.684136963E1,1.918167114E1,-2.989294434E1
7.937537125E0,3.459774780E1,2.306195831E1,-3.075851440E1
8.027643125E0,3.882723999E1,2.101470184E1,-2.574145508E1
8.117750125E0,3.376940918E1,2.096480560E1,-3.199157715E1
8.207856125E0,4.064222717E1,2.460260773E1,-1.913885498E1
8.297962125E0,3.681089783E1,2.062119293E1,-2.803317261E1
8.388069125E0,3.542407227E1,2.400901794E1,-2.595672607E1
8.478175125E0,3.957458496E1,2.395558929E1,-1.802951050E1
8.568281792E0,3.636997986E1,2.060831451E1,-2.916000366E1
8.658388792E0,3.329833984E1,2.076770782E1,-3.207614136E1
8.748494792E0,3.072178650E1,2.020478058E1,-3.475878906E1
8.838600792E0,2.899867249E1,2.142079926E1,-3.576483154E1
8.928707792E0,3.089978027E1,1.878211212E1,-3.378442383E1
9.018813792E0,2.699574280E1,2.010256195E1,-3.647247314E1
9.108919792E0,3.368081665E1,2.075566101E1,-2.969503784E1
9.199026792E0,2.803961182E1,1.899310303E1,-3.352288818E1
9.289132792E0,3.053738403E1,2.175018311E1,-2.940704346E1
9.379238792E0,3.267164612E1,2.084006500E1,-2.678649902E1
9.469345792E0,2.885304260E1,1.913080597E1,-3.200088501E1
9.559452042E0,3.218231201E1,2.114733124E1,-2.791879272E1
9.649558042E0,3.523858643E1,2.117591858E1,-2.456100464E1
9.739665042E0,4.004530334E1,2.098216248E1,-1.647711182E1
9.829771042E0,4.363177490E1,2.179673004E1,-4.465301514E0
9.919877042E0,4.321467590E1,2.276439667E1,-3.968750000E0
1.000998404E1,4.316035461E1,2.311491394E1,-2.627685547E0
1.010009004E1,4.352525330E1,2.122631836E1,-4.759948730E0
1.019019604E1,4.299345398E1,2.170098114E1,-7.268737793E0
1.028030304E1,4.259460449E1,2.310597992E1,-6.071380615E0
1.037040904E1,4.275105286E1,2.212274170E1,-4.790679932E0
1.046051504E1,4.261206055E1,2.312344360E1,-4.340270996E0
1.055062204E1,4.271638489E1,2.302938843E1,-2.740386963E0
1.064072804E1,4.297679138E1,2.232868195E1,-1.672729492E0
1.073083404E1,4.279718018E1,2.257624054E1,-3.356872559E0
1.082094104E1,4.224966431E1,2.344698334E1,-3.350463867E0
1.091104704E1,4.224555969E1,2.358458710E1,-2.702026367E0
1.100115304E1,4.261839294E1,2.182639313E1,-4.605468750E0
1.109126004E1,4.167678833E1,2.308692169E1,-7.145782471E0
1.118136604E1,4.098805237E1,2.402267456E1,-8.133361816E0
1.127147204E1,3.981250000E1,2.265905762E1,-1.457723999E1
1.136157804E1,3.806138611E1,2.070315552E1,-1.940457153E1
1.145168504E1,3.342332458E1,2.161529541E1,-2.668792725E1
1.154179104E1,2.872129822E1,2.344977570E1,-3.095568848E1
1.163189717E1,2.809115601E1,2.454882050E1,-3.117022705E1
1.172200417E1,2.676344299E1,2.489955139E1,-3.225961304E1
1.181211017E1,3.033454895E1,2.526119995E1,-2.823379517E1
1.190221617E1,3.634550476E1,2.396800232E1,-2.251473999E1
1.199232317E1,3.601835632E1,2.339053345E1,-2.364428711E1
1.208242917E1,3.547698975E1,2.294818878E1,-2.465875244E1
1.217253517E1,3.646009827E1,2.299968719E1,-2.256744385E1
1.226264217E1,3.988781738E1,2.151649475E1,-1.728515625E1
1.235274817E1,3.652302551E1,2.135082245E1,-2.308990479E1
1.244285417E1,2.795523071E1,2.162435913E1,-3.333685303E1
1.253296117E1,1.759359741E1,2.141706085E1,-4.052780151E1
1.262306729E1,1.658197021E1,2.177359772E1,-4.113870239E1
1.271317329E1,1.573048401E1,1.924108887E1,-4.094067383E1
1.280327929E1,8.494110107E0,1.845115662E1,-4.405697632E1
1.289338629E1,1.370140076E1,1.815489197E1,-4.159835815E1
1.298349229E1,9.515930176E0,1.695157623E1,-4.310131836E1
1.307359829E1,1.253933716E1,1.701576233E1,-4.208425903E1
1.316370529E1,1.358683777E1,1.753573608E1,-4.161032104E1
1.325381129E1,1.164544678E1,1.601686859E1,-4.240054321E1
1.334391729E1,1.457717896E1,1.646315002E1,-4.097625732E1
1.343402329E1,1.620376587E1,1.619600677E1,-4.041891479E1
1.352413029E1,1.310525513E1,1.511325073E1,-4.168899536E1
1.361423550E1,1.558119202E1,1.626818848E1,-4.027850342E1
1.370434150E1,1.598577881E1,1.467045593E1,-4.036029053E1
1.379444850E1,1.531085205E1,1.484975433E1,-4.037341309E1
1.388455450E1,1.766256714E1,1.574072266E1,-3.883151245E1
1.397466050E1,1.440110779E1,1.375644684E1,-4.056930542E1
1.406476650E1,1.767620850E1,1.489140320E1,-3.913711548E1
1.415487350E1,1.902160645E1,1.446951294E1,-3.857467651E1
1.424497950E1,1.532928467E1,1.454895782E1,-4.006887817E1
1.433508550E1,2.086148071E1,1.615927887E1,-3.706063843E1
1.442519250E1,1.984123230E1,1.596623993E1,-3.719204712E1
1.451529850E1,1.693397522E1,1.424751282E1,-3.899050903E1
1.460540462E1,2.336047363E1,1.646923828E1,-3.491723633E1
1.469551063E1,3.461976624E1,2.363745117E1,-2.025585938E1
1.478561762E1,3.844831848E1,3.242655182E1,2.000854492E0
1.487572363E1,3.262069702E1,3.942356110E1,1.067098999E1
1.496582962E1,2.706259155E1,4.332592010E1,1.442599487E1
1.505593563E1,2.359873962E1,4.507543945E1,1.700491333E1
1.514604262E1,2.179794312E1,4.554222107E1,2.042523193E1
1.523614863E1,2.088111877E1,4.528227234E1,2.249606323E1
1.532625463E1,2.037223816E1,4.545201111E1,2.211499023E1
1.541636163E1,2.002183533E1,4.563250732E1,2.134231567E1
1.550646763E1,1.553257751E1,4.677964783E1,2.305709839E1
1.559657354E1,1.690762329E1,4.533868408E1,2.523937988E1
1.568667954E1,1.888238525E1,4.681674194E1,1.958050537E1
1.577678654E1,1.968118286E1,4.706699371E1,1.817932129E1
1.586689254E1,2.171571350E1,4.683863068E1,1.703506470E1
1.595699854E1,2.228616333E1,4.662274170E1,1.605630493E1
1.604710454E1,2.141442871E1,4.641242981E1,1.451678467E1
1.613721154E1,2.052659607E1,4.661400604E1,1.232629395E1
1.622731754E1,1.948170471E1,4.665163422E1,9.900695801E0
1.631742354E1,1.803479004E1,4.726439667E1,7.193481445E0
1.640752954E1,1.608810425E1,4.823795319E1,4.795166016E0
1.649763654E1,1.429307556E1,4.883265686E1,3.234375000E0
1.658774292E1,1.242312622E1,4.916892242E1,2.565277100E0
1.667784892E1,1.034489441E1,4.951180267E1,2.196228027E0
1.676795492E1,8.868911743E0,4.979431915E1,2.441345215E0
1.685806192E1,9.175659180E0,4.980970764E1,3.255920410E0
1.694816792E1,1.001556396E1,4.980567932E1,4.445098877E0
1.703827392E1,1.074276733E1,4.962973785E1,5.557006836E0
1.712838092E1,1.079473877E1,4.964092255E1,6.250152588E0
1.721848692E1,1.029734802E1,4.967848969E1,6.062561035E0
1.730859292E1,9.528579712E0,4.965218353E1,4.867889404E0
1.739869892E1,1.026574707E1,4.972397614E1,4.586914062E0
1.748880592E1,1.130668640E1,4.965970612E1,4.782653809E0
1.757891212E1,1.233377075E1,4.963723755E1,4.586029053E0
1.766901813E1,1.332136536E1,4.972898102E1,3.944976807E0
1.775912512E1,1.417944336E1,4.945340729E1,3.310058594E0
1.784923113E1,1.428083801E1,4.919299316E1,1.647277832E0
1.793933713E1,1.390678406E1,4.908956909E1,9.826660156E-1
1.802944313E1,1.448207092E1,4.896084595E1,3.796081543E-1
1.811955013E1,1.565489197E1,4.852947998E1,3.887939453E-1
1.820965613E1,1.625939941E1,4.825059509E1,-3.990783691E-1
1.829976213E1,1.694338989E1,4.757730103E1,-3.317199707E0
1.838986912E1,1.831471252E1,4.602390289E1,-7.145141602E0
1.847997513E1,2.185803223E1,4.179391479E1,-1.435614014E1
1.857008042E1,2.476033020E1,3.612117004E1,-2.264678955E1
1.866018742E1,2.559796143E1,3.073371887E1,-2.832302856E1
1.875029342E1,2.811877441E1,2.571825409E1,-3.003244019E1
1.884039942E1,2.809141541E1,1.996994781E1,-3.301135254E1
1.893050642E1,2.961108398E1,1.468465424E1,-3.392379761E1
1.902061242E1,2.694741821E1,8.882743835E0,-3.724346924E1
1.911071842E1,2.071087646E1,2.807937622E0,-4.180151367E1
1.920082542E1,2.092805481E1,2.078788757E0,-4.165228271E1
1.929093142E1,2.124511719E1,4.403541565E0,-4.148413086E1
1.938103742E1,2.248033142E1,8.060333252E0,-4.089770508E1
1.947114442E1,2.460520935E1,1.180062866E1,-3.886718750E1
1.956125113E1,2.619754028E1,1.458363342E1,-3.727218628E1
1.965135813E1,2.523243713E1,1.680404663E1,-3.724121094E1
1.974146412E1,2.508113098E1,1.857882690E1,-3.694006348E1
1.983157013E1,2.525109863E1,2.014492798E1,-3.610647583E1
1.992167712E1,2.526480103E1,2.070753479E1,-3.604223633E1
2.001178313E1,2.532641602E1,2.008059692E1,-3.651330566E1
2.010188912E1,2.496208191E1,1.958336639E1,-3.681774902E1
2.019199613E1,2.492668152E1,1.954500580E1,-3.685583496E1
2.028210212E1,2.484587097E1,1.961466217E1,-3.705755615E1
2.037220813E1,2.499995422E1,1.987664032E1,-3.684869385E1
2.046231512E1,2.513298035E1,1.988884735E1,-3.684442139E1
2.055242125E1,2.523962402E1,2.000334167E1,-3.659982300E1
2.064252825E1,2.517193604E1,1.987205505E1,-3.655725098E1
2.073263425E1,2.509529114E1,1.972525024E1,-3.659185791E1
2.082274025E1,2.527923584E1,1.983149719E1,-3.631079102E1
2.091284725E1,2.524707031E1,1.989115906E1,-3.645578003E1
2.100295325E1,2.537156677E1,1.996687317E1,-3.647479248E1
2.109305925E1,2.530552673E1,1.986474609E1,-3.670797729E1
2.118316625E1,2.526417542E1,1.987411499E1,-3.673638916E1
2.127327225E1,2.519792175E1,1.971748352E1,-3.676586914E1
2.136337925E1,2.509603882E1,1.961694336E1,-3.678445435E1
2.145348525E1,2.494273376E1,1.952087402E1,-3.672360229E1
2.154359125E1,2.504481506E1,1.965370178E1,-3.680490112E1
2.163369825E1,2.511906433E1,1.963943481E1,-3.687454224E1
2.172380425E1,2.512893677E1,1.959952545E1,-3.682397461E1
2.181391125E1,2.511312866E1,1.972309113E1,-3.672192383E1
2.190401725E1,2.499900818E1,1.967804718E1,-3.667398071E1
2.199412325E1,2.491354370E1,1.955696869E1,-3.666925049E1
2.208423025E1,2.491839600E1,1.952171326E1,-3.671963501E1
2.217433625E1,2.486378479E1,1.952273560E1,-3.683239746E1
2.226444225E1,2.512550354E1,1.958615112E1,-3.677276611E1
2.235454925E1,2.514787292E1,1.963475037E1,-3.672781372E1
2.244465525E1,2.506808472E1,1.967127991E1,-3.675610352E1
