"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.845458338E-3,-1.776820794E-2,3.342335299E-2,-3.920578584E-2
9.495245833E-2,3.061991557E-2,-3.838990629E-2,-1.748698950E-2
1.850604583E-1,-1.697680168E-2,-3.520549461E-2,-4.245757591E-3
2.751684583E-1,-6.615961343E-2,-4.074987024E-2,5.874278722E-4
3.652764583E-1,-3.605523333E-2,-4.414854944E-2,1.700332202E-2
4.553844583E-1,2.225191332E-2,-1.204612572E-2,4.577381536E-3
5.454924583E-1,5.987488851E-2,4.053102434E-2,-3.157428652E-2
6.355994583E-1,6.967520714E-2,6.116400957E-1,-1.559042037E-1
7.257074583E-1,1.954952925E-1,1.179153085E0,-3.215195239E-1
8.158154583E-1,2.026684880E-1,2.139026642E0,-3.895023763E-1
9.059234583E-1,1.438985020E-1,2.547889471E0,-6.217323542E-1
9.960311667E-1,-1.231282577E-2,2.803202152E0,-7.318317294E-1
1.086139167E0,-1.195395887E-1,1.283053994E0,-7.140721083E-1
1.176247167E0,-2.082049698E-1,1.330759764E0,-6.964001656E-1
1.266354167E0,-2.527098954E-1,1.143067002E0,-7.650297284E-1
1.356462167E0,-2.570853829E-1,9.499549270E-1,-5.413274169E-1
1.446570167E0,-2.436651886E-1,4.730891883E-1,-3.391518295E-1
1.536678167E0,-2.033268958E-1,3.502041101E-1,-1.920449436E-1
1.626786167E0,-1.609278619E-1,3.250820339E-1,-2.431333363E-1
1.716894167E0,-1.596609950E-1,1.936217099E-1,-2.326648831E-1
1.807002167E0,-1.752266139E-1,4.697797075E-2,-1.085226536E-1
1.897110167E0,-1.674412191E-1,-1.457071304E-1,-4.325043038E-2
1.987217542E0,-1.590318382E-1,-1.089219451E-1,-6.298348308E-2
2.077325542E0,-1.688097268E-1,2.748127468E-2,-4.634512216E-2
2.167433542E0,-1.636069119E-1,1.485259235E-1,-2.082401700E-2
2.257541542E0,-2.588887513E-1,-1.738892943E-1,1.118936837E-1
2.347649542E0,-2.600674033E-1,-5.934918523E-1,-2.551519684E-2
2.437757542E0,1.257788539E-1,-2.474254966E-1,-5.271672457E-2
2.527864542E0,5.583859086E-1,-1.102780998E-1,-1.931980401E-1
2.617972542E0,2.871695757E-1,-1.398881227E-1,-1.346841753E-1
2.708080542E0,-1.679874361E-1,-5.316814408E-2,2.716894150E-1
2.798188542E0,-5.736564398E-1,-1.298602521E-1,4.669903815E-1
2.888296542E0,-4.491833448E-1,-5.204530358E-1,-2.410555817E-2
2.978404458E0,2.916726097E-2,8.803924918E-2,-6.596700847E-2
3.068511458E0,4.657174051E-1,3.147067130E-1,-1.920019686E-1
3.158619458E0,4.635725915E-1,2.334624380E-1,-1.840628386E-1
3.248727458E0,4.140520990E-1,1.744955778E-1,1.036361381E-1
3.338835458E0,3.995990157E-1,4.232782423E-1,4.194046184E-2
3.428943458E0,7.016009688E-1,1.197826862E0,-1.679627299E-1
3.519051458E0,9.682138562E-1,9.894919395E-1,1.363700777E-1
3.609158458E0,1.001174808E0,1.329841256E0,2.558613122E-1
3.699266458E0,8.516699672E-1,1.337236643E0,3.316974640E-1
3.789374458E0,5.267850757E-1,1.151650667E0,4.426387548E-1
3.879482458E0,1.902089268E-1,9.827605486E-1,4.042862058E-1
3.969590958E0,3.841072693E-2,7.258678079E-1,4.030477107E-1
4.059697958E0,6.758825481E-2,3.832973242E-1,3.082771599E-1
4.149805958E0,3.687063605E-2,5.908331275E-1,-7.230915129E-2
4.239913958E0,3.287719190E-2,4.351689517E-1,-1.744619310E-1
4.330021958E0,-6.080397591E-2,3.566826284E-1,1.188834235E-1
4.420129958E0,-1.123221591E-1,-2.083827853E-1,1.701879352E-1
4.510236958E0,-3.568853438E-2,1.813089289E-2,-2.028363347E-1
4.600344958E0,-2.364665084E-2,1.630959660E-1,-6.917686015E-2
4.690452958E0,-5.770109221E-2,-6.628803909E-2,1.887445748E-1
4.780560958E0,-4.611664265E-2,-1.576856375E-1,4.572319239E-2
4.870668958E0,-1.173300520E-1,-3.140388429E-1,-6.095039099E-2
4.960775667E0,-1.819040477E-1,-5.839965940E-1,-7.432243787E-3
5.050883667E0,-3.027829230E-1,-5.904339552E-1,-2.531908453E-1
5.140991667E0,-6.019044518E-1,-8.803297877E-1,-6.626956463E-1
5.231099667E0,-1.251974344E0,-1.613406658E0,-5.623183250E-1
5.321207667E0,-1.901762247E0,-3.127849340E0,4.735254347E-1
5.411315667E0,-1.544747710E0,-2.180669546E0,1.001102686E0
5.501422667E0,-1.239565134E0,-2.633152485E0,9.962573051E-1
5.591530667E0,-5.199140683E-2,-2.725329161E0,5.071592331E-2
5.681638667E0,4.835740924E-1,9.575216770E-1,-5.680476427E-1
5.771746667E0,-5.234203339E-1,-6.283699870E-1,6.601038575E-1
5.861853667E0,-5.830658674E-1,-1.524731755E0,6.573433280E-1
5.951961667E0,4.318752587E-1,1.135107279E0,-8.493894339E-1
6.042069083E0,-5.648149252E-1,7.450037003E-1,6.436616778E-1
6.132177083E0,-9.802013040E-1,-1.257575989E0,1.393296480E0
6.222285083E0,5.610063672E-1,2.016135454E0,-7.836757898E-1
6.312392083E0,-2.267508805E-1,1.199194193E0,3.493940532E-1
