"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.845458338E-3,1.364762060E-1,1.738494158E-1,6.364723474E-1
9.495245833E-2,2.568711072E-2,1.971081778E-1,1.604008198E-2
1.850604583E-1,4.691381916E-2,9.276139855E-2,-2.262240958E-1
2.751684583E-1,4.041902438E-2,4.252416819E-2,-1.318517894E-1
3.652764583E-1,-9.045467198E-2,-2.894693345E-2,1.269325268E-1
4.553844583E-1,1.746665642E-2,6.208076566E-2,1.985194033E-1
5.454924583E-1,1.471019856E-1,9.981694132E-2,3.592003047E-2
6.355994583E-1,6.088848185E-1,2.571400791E-2,-1.505751586E-1
7.257074583E-1,-6.064132735E-2,-3.308530033E-2,-2.554420477E-1
8.158154583E-1,9.245810348E-1,1.705983639E-1,-2.488440496E-1
9.059234583E-1,1.181934537E0,4.949144724E-1,-3.570385891E-1
9.960311667E-1,1.119531298E-1,-3.198514670E-2,-1.438701564E-1
1.086139167E0,-4.584673154E-1,-3.092153817E-2,-1.393099129E-2
1.176247167E0,-2.088040709E-3,3.199239725E-1,-1.834306633E-1
1.266354167E0,-2.804751474E-1,1.137207431E-1,-3.175312918E-1
1.356462167E0,2.606688738E-2,-9.432728291E-3,1.210812181E-2
1.446570167E0,-9.582218206E-1,1.180716562E-1,2.385054414E-1
1.536678167E0,-3.791375560E-1,1.831002957E-1,4.136389057E-1
1.626786167E0,1.940977389E-1,4.652331287E-1,3.594504194E-1
1.716894167E0,-1.622690052E-1,1.228967786E-2,8.498226285E-2
1.807002167E0,-1.826249170E-1,-3.804742295E-1,3.870162405E-2
1.897110167E0,5.947144568E-2,-9.145513058E-2,5.818900511E-2
1.987217542E0,1.564428395E-1,-1.444578016E-1,9.349697828E-4
2.077325542E0,7.920872211E-2,-7.680317760E-2,-1.031286581E-1
2.167433542E0,1.605762362E-2,1.301251066E-1,-1.820694315E-1
2.257541542E0,-2.085748601E-1,-1.653534114E-2,-2.601186873E-1
2.347649542E0,5.419491827E-1,-1.515023516E0,5.283953734E-1
2.437757542E0,1.738086022E0,-1.720115774E0,1.342586787E0
2.527864542E0,1.852017850E-1,-2.004957622E-1,6.419821056E-1
2.617972542E0,-2.138898037E0,2.154265105E0,-1.369771662E0
2.708080542E0,-1.973340558E0,1.555468706E0,-1.959263386E0
2.798188542E0,-3.580250144E-2,4.831180072E-1,-7.758762543E-1
2.888296542E0,2.375338388E0,-1.167201893E0,9.667336124E-1
2.978404458E0,1.694184542E0,-2.488756830E0,1.662649777E0
3.068511458E0,6.776689053E-1,-9.646192592E-1,6.435005544E-1
3.158619458E0,-1.514731740E0,1.501508262E0,-8.152041882E-1
3.248727458E0,-2.255288619E-1,-3.960430259E-1,-2.868551905E-1
3.338835458E0,7.550123656E-1,5.159466147E-2,5.606086712E-1
3.428943458E0,1.239551246E-2,-3.079921442E-1,1.272890462E0
3.519051458E0,-7.463239878E-1,-3.096153313E-1,4.358543053E-1
3.609158458E0,-6.288101560E-1,-2.062137544E-1,-3.577947072E-1
3.699266458E0,-1.736903715E-1,1.728121197E-1,-7.161120093E-1
3.789374458E0,1.285568833E-2,8.380287945E-2,-8.819811451E-1
3.879482458E0,7.147443455E-1,5.683435142E-2,-4.212837017E-1
3.969590958E0,4.545584518E-1,-8.776553750E-2,2.053743135E-1
4.059697958E0,8.556768608E-1,1.128430760E-1,7.069738345E-1
4.149805958E0,1.740775157E0,-5.357686758E-2,2.846974218E-1
4.239913958E0,-4.139460307E-1,-2.608618319E-2,2.042862198E-1
4.330021958E0,-1.174253635E0,6.724882722E-2,5.685832500E-3
4.420129958E0,7.751577777E-1,-1.964775556E-1,-9.711669713E-2
4.510236958E0,5.104514015E-1,1.792399639E-1,1.394414753E-2
4.600344958E0,-7.142870933E-1,-7.170440555E-3,3.133122334E-1
4.690452958E0,-5.038481408E-1,9.669482052E-2,-2.632662070E-1
4.780560958E0,3.891187531E-1,-1.274061513E-1,2.976373100E-1
4.870668958E0,1.037761495E0,-4.528639287E-1,3.858831963E-1
4.960775667E0,1.410715621E0,-1.458764530E0,-2.361175847E-1
