"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749202526703514E9,"2025-06-06 11:35:26.704 UTC+02:00"
"PAUSE",4.062279750000016E1,1.749202567325933E9,"2025-06-06 11:36:07.326 UTC+02:00"
"START",4.062279750000016E1,1.749202580647607E9,"2025-06-06 11:36:20.648 UTC+02:00"
"PAUSE",8.122598904166807E1,1.749202621250421E9,"2025-06-06 11:37:01.250 UTC+02:00"
"START",8.122598904166807E1,1.749202628093035E9,"2025-06-06 11:37:08.093 UTC+02:00"
"PAUSE",1.218513050000001E2,1.749202668717973E9,"2025-06-06 11:37:48.718 UTC+02:00"
"START",1.218513050000001E2,1.749202684902853E9,"2025-06-06 11:38:04.903 UTC+02:00"
"PAUSE",1.624646645833345E2,1.749202725515835E9,"2025-06-06 11:38:45.516 UTC+02:00"
"START",1.624646645833345E2,1.749202729922704E9,"2025-06-06 11:38:49.923 UTC+02:00"
"PAUSE",2.030882162083362E2,1.749202770545877E9,"2025-06-06 11:39:30.546 UTC+02:00"
"START",2.030882162083362E2,1.749202785547387E9,"2025-06-06 11:39:45.547 UTC+02:00"
"PAUSE",2.436921918750013E2,1.749202826150985E9,"2025-06-06 11:40:26.151 UTC+02:00"
"START",2.436921918750013E2,1.749202831125391E9,"2025-06-06 11:40:31.125 UTC+02:00"
"PAUSE",2.842969146666655E2,1.749202871729737E9,"2025-06-06 11:41:11.730 UTC+02:00"
"START",2.842969146666655E2,1.749202879173254E9,"2025-06-06 11:41:19.173 UTC+02:00"
"PAUSE",3.249450037499992E2,1.749202919820965E9,"2025-06-06 11:41:59.821 UTC+02:00"
"START",3.249450037499992E2,1.749202926152783E9,"2025-06-06 11:42:06.153 UTC+02:00"
"PAUSE",3.656760163333347E2,1.749202966883417E9,"2025-06-06 11:42:46.883 UTC+02:00"
"START",3.656760163333347E2,1.749202972573981E9,"2025-06-06 11:42:52.574 UTC+02:00"
"PAUSE",4.063018286250008E2,1.749203013199416E9,"2025-06-06 11:43:33.199 UTC+02:00"
