"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.617916649E-4,-8.044271851E-1,-1.314117279E0,9.649384003E0
9.954920833E-2,-1.278191986E0,-1.054407349E0,9.717941437E0
1.996612083E-1,-1.637744293E0,-1.427731018E0,9.838590546E0
2.997722083E-1,-1.600022736E0,-1.637295227E0,9.569300537E0
3.998842083E-1,-1.439706116E0,-1.835183716E0,8.866362305E0
4.999955000E-1,-7.758366394E-1,-1.434467010E0,9.128766632E0
6.001075000E-1,-3.190615082E0,-1.792821808E0,7.893235931E0
7.002185000E-1,-5.475164337E0,-2.890938263E0,6.876101074E0
8.003305000E-1,-6.159690857E0,-3.435356140E0,4.767735443E0
9.004425000E-1,-9.034313049E0,-5.013224945E0,3.281476135E0
1.000553500E0,-8.952133942E0,-5.280868378E0,2.550396423E0
1.100665500E0,-8.153993683E0,-6.029162292E0,2.108365631E0
1.200776500E0,-7.574398956E0,-6.472091217E0,1.636247406E0
1.300888500E0,-7.166197815E0,-7.551646271E0,1.506467285E0
1.400999500E0,-6.094426575E0,-8.374784546E0,1.259480896E0
1.501110958E0,-5.491779785E0,-7.941735077E0,9.593550110E-1
1.601222958E0,-5.474864960E0,-7.551197205E0,4.737648010E-1
1.701333958E0,-4.437671814E0,-9.031019897E0,6.117778015E-1
1.801445958E0,-4.067042542E0,-1.020068756E1,1.063688049E0
1.901556958E0,-3.739074554E0,-9.538464661E0,1.410367126E0
2.001668958E0,-4.458478546E0,-9.305099945E0,1.034349060E0
2.101780958E0,-5.407055969E0,-8.146060181E0,3.731739807E-1
2.201891958E0,-5.902675323E0,-7.321125641E0,1.719923401E-1
2.302003958E0,-6.430328064E0,-7.496560822E0,1.924996948E-1
2.402114958E0,-5.796096954E0,-7.964038696E0,3.896397400E-1
2.502226708E0,-4.710704041E0,-8.594826965E0,6.493496704E-1
2.602338708E0,-4.262536011E0,-9.090146942E0,1.078058167E0
2.702449708E0,-3.500620422E0,-9.796677704E0,1.832788696E0
2.802561708E0,-3.475173340E0,-9.351952515E0,1.680555267E0
2.902672708E0,-5.333858185E0,-8.765771484E0,4.855902100E-1
3.002784708E0,-6.570885773E0,-7.752977600E0,1.127305756E0
3.102895708E0,-7.743098145E0,-7.109615479E0,1.134939880E0
3.203007708E0,-7.272925873E0,-6.426436157E0,2.573149109E-1
3.303119708E0,-6.433471527E0,-5.352718964E0,-1.454974365E0
3.403230708E0,-6.608607330E0,-4.969216461E0,-3.033591614E0
3.503343208E0,-6.685397644E0,-4.883444824E0,-3.939807129E0
3.603455208E0,-7.352111206E0,-4.396357727E0,-5.581593018E0
3.703566208E0,-7.092401276E0,-4.186494141E0,-6.386918335E0
3.803678208E0,-8.095166016E0,-3.557651825E0,-7.894283752E0
3.903789208E0,-6.756499786E0,-3.293151855E0,-6.894213409E0
4.003901208E0,-5.938151550E0,-3.041225739E0,-6.704108734E0
4.104013208E0,-7.902067566E0,-3.192111969E0,-7.218439178E0
4.204124208E0,-6.190227356E0,-1.816622314E0,-5.249284058E0
4.304236208E0,-6.695127411E0,-3.227737885E0,-4.317172394E0
4.404347208E0,-7.748636627E0,-3.170257416E0,-5.996380463E0
4.504459625E0,-8.140521698E0,-2.541265411E0,-5.230722656E0
4.604571625E0,-5.274282074E0,-1.985022125E0,-3.839815063E0
4.704682625E0,-5.924080811E0,-4.196373596E0,-4.448449402E0
4.804794625E0,-7.701185303E0,-6.319259033E0,-5.897585907E0
4.904906625E0,-7.931107178E0,-5.314248962E0,-3.801794128E0
5.005017625E0,-8.821306000E0,-4.299958191E0,-5.048850861E0
5.105129625E0,-9.562414856E0,-3.975882111E0,-7.472460938E-1
5.205241625E0,-7.393125916E0,-4.292324066E0,4.321962433E0
5.305352625E0,-6.716981964E0,-4.942721558E0,4.650828552E0
5.405464625E0,-2.340383148E0,-4.918621674E0,7.686366119E0
5.505575333E0,-3.500021667E0,-4.870272217E0,6.902595978E0
5.605687333E0,-1.730102234E0,-5.998326416E0,5.320236511E0
5.705799333E0,-5.785768433E0,-7.295379181E0,6.271059265E0
5.805910333E0,-4.019890594E0,-7.467521210E0,6.956483917E0
5.906022333E0,-4.405638428E0,-5.483247528E0,8.256680145E0
6.006134333E0,7.035369873E-2,-4.170028381E0,8.056097260E0
6.106245333E0,-2.595901794E0,-4.212989044E0,7.474107513E0
6.206357333E0,-3.325035553E0,-7.318880310E0,5.569617920E0
6.306468333E0,-2.807711334E0,-5.471422119E0,6.923702087E0
6.406580333E0,-5.504653015E0,-6.613097992E0,6.884184265E0
6.506691833E0,-6.494843903E0,-4.505929871E0,8.981921997E0
6.606802833E0,-4.840933228E-1,-3.813769226E0,9.966724091E0
6.706914833E0,-1.264720001E0,-3.475023651E0,7.523953857E0
6.807026833E0,-2.070943451E0,-6.446494446E0,5.035079498E0
6.907137833E0,-5.998326416E0,-6.967560883E0,6.079308014E0
7.007249833E0,-7.690407715E0,-5.065615997E0,9.105415192E0
7.107361833E0,-3.682192841E0,-2.439028015E0,9.718091125E0
7.207472833E0,-2.709365845E-1,-5.059628448E0,9.219777374E0
7.307584833E0,-2.920277252E0,-5.989644470E0,5.684429169E0
7.407696833E0,-5.717959442E0,-6.151457977E0,5.726342010E0
7.507808250E0,-8.420439606E0,-4.525239716E0,9.748028870E0
7.607920250E0,-1.961820374E0,-2.601739655E0,9.073232117E0
7.708032250E0,-2.069446564E0,-3.742367706E0,9.003626862E0
7.808143250E0,-1.800455933E0,-6.997199249E0,5.454058228E0
