"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.199720833E-2,2.166011868E-1,1.893976007E-1,-4.547028780E-2
1.521082083E-1,-2.838150769E-2,2.089689624E-1,1.754574001E-1
2.522202083E-1,1.731193909E-1,9.931159571E-2,1.019567299E-1
3.523312083E-1,6.161408477E-1,-1.032502802E-1,-4.486065710E-1
4.524435000E-1,2.799822271E-2,-1.624567008E-1,3.584226251E-2
5.525545000E-1,1.032680557E0,6.118915299E-1,-3.527081412E-1
6.526665000E-1,9.416730309E-1,3.002340585E-2,-8.818753105E-1
7.527775000E-1,1.113639643E0,-7.049300864E-1,-9.389306867E-1
8.528895000E-1,-3.411441028E-2,-6.446318445E-1,-9.460102031E-1
9.530005000E-1,-7.631060815E-1,2.677013201E-1,-4.387931889E-1
1.053112500E0,-1.409319890E0,7.214206964E-1,8.887416959E-2
1.153223500E0,-1.431217713E0,4.362250918E-1,5.158608069E-1
1.253335500E0,-1.240490894E0,6.708732712E-1,4.061955464E-1
1.353447500E0,-8.311811203E-1,-4.538895303E-1,6.173012276E-1
1.453557958E0,-3.285474461E-1,-2.443943185E-1,3.695977505E-1
1.553669958E0,1.066789412E-1,3.995805913E-1,-2.788543723E-1
1.653780958E0,5.440079874E-1,2.084058756E-1,-8.469132002E-1
1.753892958E0,9.318421072E-1,-1.654786003E0,-1.459125888E-1
1.854004958E0,1.547382592E0,-1.346001561E0,6.847972459E-1
1.954115958E0,9.419735777E-1,-1.138699640E0,7.786362863E-1
2.054227958E0,4.633737141E-1,-2.074264669E-1,4.176923418E-1
2.154338958E0,-1.142558802E0,9.993774480E-1,-9.642123661E-1
2.254450958E0,-1.442299064E0,1.335756070E0,-1.358076062E0
2.354562958E0,-1.022550256E0,8.827716887E-1,-1.128117349E0
2.454673708E0,-6.607762992E-2,2.902236253E-1,-3.827727699E-1
2.554785708E0,6.613949347E-1,-4.378792691E-1,5.431829453E-2
2.654896708E0,1.250182654E0,-1.327595111E0,1.016950012E0
2.755008708E0,2.009814904E0,-1.358347372E0,1.272734195E0
2.855119708E0,5.289057988E-1,-7.950289553E-1,1.543547257E-1
2.955231708E0,-9.489446282E-1,-2.576458633E-2,-6.568277476E-1
3.055343708E0,-1.190534622E0,4.375880778E-1,-3.104367189E-1
3.155454708E0,-6.471259743E-1,6.219086874E-1,-2.888453635E-1
3.255566708E0,1.098273745E0,5.319779259E-1,-2.387055806E-1
3.355677708E0,1.484570632E0,6.242352945E-1,1.135529280E-1
3.455790208E0,1.548864861E0,1.150965929E-1,-3.194120488E-1
3.555902208E0,7.116412282E-1,4.341458219E-1,1.728957349E-1
3.656013208E0,-7.654970080E-1,3.544582129E-2,3.148947823E-1
3.756125208E0,-3.108292133E-1,-7.031765065E-1,-7.655765301E-1
3.856237208E0,-7.891811550E-2,-5.206846136E-1,1.136535586E0
3.956348208E0,-1.594553250E-1,-2.360719764E-1,1.148854499E0
4.056460208E0,1.992731094E-3,-5.992200288E-1,-5.168763220E-2
4.156571208E0,4.240260458E-1,8.126436925E-1,-1.909000136E0
4.256683208E0,-9.632808316E-1,-5.815766403E-1,-6.348725492E-1
4.356795208E0,1.558505166E0,-3.770919076E-1,-4.873478830E-2
4.456906625E0,4.902235436E-1,1.162368000E-1,-2.008933729E-1
4.557018625E0,-3.243181551E-1,-1.553888789E-1,-1.326967705E0
4.657130625E0,-1.808070177E0,-1.434147753E0,-1.353927462E0
4.757241625E0,-8.000575608E-1,-2.301874848E0,-4.539895177E-1
4.857353625E0,1.337396799E0,-1.133339497E0,-1.295669898E-1
4.957464625E0,-1.330749099E0,-4.362207064E-1,-2.690494249E0
5.057576625E0,3.224154711E-2,-2.628966630E-2,-2.487272222E0
5.157688625E0,3.996671301E-1,1.494693332E0,2.109979463E-1
5.257799625E0,4.799394608E-3,1.049051884E0,4.970337957E-1
5.357911625E0,4.012306756E-1,1.143738770E0,-1.224164883E0
5.458023333E0,2.742680648E0,2.060139551E0,-1.009995407E-1
5.558134333E0,1.520157079E0,3.269996881E-1,6.789471066E-1
5.658246333E0,-8.196346235E-1,-3.659957634E0,2.461514068E-1
5.758357333E0,-5.998174681E-1,-4.848160386E-1,-3.925867367E-1
5.858469333E0,-1.522631767E0,-5.261324644E-1,4.017335361E-1
5.958581333E0,5.570642352E-3,1.581676512E0,8.109713888E-1
6.058692333E0,2.619167281E0,7.033843750E-1,6.406414121E-1
6.158804333E0,1.813551649E0,-1.235147123E0,2.702395964E-1
6.258916333E0,4.937839133E-1,-7.997646153E-1,-1.612805918E0
6.359027333E0,3.834311664E-2,-7.893717742E-1,-9.362029606E-1
6.459138833E0,-3.517749256E0,-7.772428948E-1,-6.489473820E-2
6.559250833E0,9.924844578E-1,2.025384285E0,2.592434980E0
6.659361833E0,-1.086239883E0,1.667981415E0,7.108658874E-1
6.759473833E0,3.165657704E0,-2.274437373E0,-1.969377900E0
6.859585833E0,1.206934893E0,-1.655701092E0,-2.220165564E0
6.959696833E0,-5.463289812E0,-1.612479059E0,-5.317668414E-1
7.059808833E0,-1.549380586E0,1.756894761E0,2.502679635E0
7.159920833E0,1.964602771E0,1.852786466E0,1.345727912E0
7.260031833E0,3.706203555E0,-1.596006576E0,-2.189638420E0
7.360143833E0,2.881705802E0,-1.365125172E0,-1.986872184E0
7.460256250E0,-5.774595573E0,-1.141999809E0,3.285977322E-1
7.560367250E0,-2.181944362E0,2.316536449E0,1.376782474E0
7.660479250E0,1.450319104E0,1.485857897E0,1.883800390E0
