"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.199720833E-2,2.581336975E1,8.411109924E0,-4.023428345E1
1.521082083E-1,2.609132385E1,9.186614990E0,-3.981979370E1
2.522202083E-1,2.633433533E1,9.695755005E0,-3.982098389E1
3.523312083E-1,2.735548401E1,9.766357422E0,-3.907229614E1
4.524435000E-1,2.907072449E1,1.038108063E1,-3.753201294E1
5.525545000E-1,3.231355286E1,1.170498657E1,-3.430572510E1
6.526665000E-1,3.866899109E1,1.431712341E1,-2.589843750E1
7.527775000E-1,4.275004578E1,1.821459198E1,-1.511898804E1
8.528895000E-1,4.253498840E1,2.404431152E1,-3.792968750E0
9.530005000E-1,3.835720825E1,3.031444550E1,3.866149902E0
1.053112500E0,3.318754578E1,3.485034943E1,8.756195068E0
1.153223500E0,2.868466187E1,3.797228241E1,1.191427612E1
1.253335500E0,2.517321777E1,3.970590210E1,1.421765137E1
1.353447500E0,2.263464355E1,4.133901215E1,1.560003662E1
1.453557958E0,2.148965454E1,4.235107422E1,1.595910645E1
1.553669958E0,2.065406799E1,4.345864105E1,1.712243652E1
1.653780958E0,1.921463013E1,4.485123444E1,1.906271362E1
1.753892958E0,1.712756348E1,4.545310974E1,2.295663452E1
1.854004958E0,1.608653259E1,4.441769409E1,2.594461060E1
1.954115958E0,1.556744385E1,4.437472534E1,2.491833496E1
2.054227958E0,1.505384827E1,4.492513275E1,2.082135010E1
2.154338958E0,1.509307861E1,4.494820404E1,1.664190674E1
2.254450958E0,1.506283569E1,4.500506592E1,1.427798462E1
2.354562958E0,1.509062195E1,4.519233704E1,1.424353027E1
2.454673708E0,1.592034912E1,4.542237091E1,1.574276733E1
2.554785708E0,1.654182434E1,4.558180237E1,1.817480469E1
2.654896708E0,1.764047241E1,4.518108368E1,2.078121948E1
2.755008708E0,1.854026794E1,4.504199982E1,2.048144531E1
2.855119708E0,1.745576477E1,4.536576080E1,1.619427490E1
2.955231708E0,1.742669678E1,4.480077362E1,1.121713257E1
3.055343708E0,1.819860840E1,4.378056335E1,9.215881348E0
3.155454708E0,1.946406555E1,4.214500427E1,8.872375488E0
3.255566708E0,2.145431519E1,4.000579834E1,1.060354614E1
3.355677708E0,2.120059204E1,3.791225433E1,1.436862183E1
3.455790208E0,2.020477295E1,3.645043945E1,1.764321899E1
3.555902208E0,1.815969849E1,3.539610291E1,2.126095581E1
3.656013208E0,1.578981018E1,3.427541351E1,2.463873291E1
3.756125208E0,1.572505188E1,3.273586273E1,2.714990234E1
3.856237208E0,1.626046753E1,3.096029663E1,2.891961670E1
3.956348208E0,1.765473938E1,2.954016113E1,2.917941284E1
4.056460208E0,1.973715210E1,2.926336670E1,2.761151123E1
4.156571208E0,2.090254211E1,2.925250244E1,2.636114502E1
4.256683208E0,2.198611450E1,2.878691864E1,2.591223145E1
4.356795208E0,2.163928223E1,2.775288391E1,2.684674072E1
4.456906625E0,2.150958252E1,2.800692749E1,2.632012939E1
4.557018625E0,2.079196167E1,2.859680939E1,2.628561401E1
4.657130625E0,2.061730957E1,2.912499237E1,2.516427612E1
4.757241625E0,2.121348572E1,2.974296570E1,2.400778198E1
4.857353625E0,2.205213928E1,3.061233521E1,2.217901611E1
4.957464625E0,2.359873962E1,3.180178833E1,2.033554077E1
5.057576625E0,2.855551147E1,3.160455322E1,1.660726929E1
5.157688625E0,3.429237366E1,2.948359680E1,1.291043091E1
5.257799625E0,3.865255737E1,2.759638977E1,6.044219971E0
5.357911625E0,4.048947144E1,2.606749725E1,-5.564392090E0
5.458023333E0,3.848519897E1,2.567169189E1,-1.674252319E1
5.558134333E0,3.453840637E1,2.770601654E1,-2.247781372E1
5.658246333E0,2.979769897E1,3.063741302E1,-2.612512207E1
5.758357333E0,2.918411255E1,3.181585693E1,-2.565295410E1
5.858469333E0,2.943392944E1,3.054743958E1,-2.667230225E1
5.958581333E0,3.066392517E1,2.724680328E1,-2.848205566E1
6.058692333E0,3.213032532E1,2.427786255E1,-2.949374390E1
6.158804333E0,3.218280029E1,2.375793457E1,-2.980023193E1
6.258916333E0,3.293382263E1,2.466928864E1,-2.853997803E1
6.359027333E0,3.186470032E1,2.658154297E1,-2.799731445E1
6.459138833E0,3.182705688E1,2.842758942E1,-2.628759766E1
6.559250833E0,3.322013855E1,2.643579102E1,-2.590243530E1
6.659361833E0,3.474189758E1,2.328094482E1,-2.721017456E1
6.759473833E0,3.569363403E1,2.100013733E1,-2.764761353E1
6.859585833E0,3.419636536E1,2.358625793E1,-2.819680786E1
6.959696833E0,3.394229126E1,2.713810730E1,-2.494909668E1
7.059808833E0,3.459812927E1,2.579918671E1,-2.462307739E1
7.159920833E0,3.596815491E1,2.190705109E1,-2.642706299E1
7.260031833E0,3.640750122E1,1.959078979E1,-2.737777710E1
7.360143833E0,3.583312988E1,2.206896973E1,-2.676394653E1
7.460256250E0,3.531837463E1,2.595418549E1,-2.323129272E1
7.560367250E0,3.569210815E1,2.481056213E1,-2.338284302E1
7.660479250E0,3.655496216E1,2.146342468E1,-2.507254028E1
7.760591250E0,3.731405640E1,1.953404236E1,-2.555657959E1
7.860702250E0,3.642395020E1,2.249637604E1,-2.527359009E1
7.960814250E0,3.633372498E1,2.570171356E1,-2.177209473E1
8.060926250E0,3.681977844E1,2.385270691E1,-2.211190796E1
8.161037250E0,3.778091431E1,2.007707214E1,-2.431188965E1
8.261149250E0,3.817460632E1,1.955883026E1,-2.454736328E1
8.361261250E0,3.713739014E1,2.292790222E1,-2.389950562E1
8.461372333E0,3.746504211E1,2.498672485E1,-2.040667725E1
8.561484333E0,3.879161072E1,2.335510254E1,-1.889178467E1
8.661596333E0,4.030215454E1,1.891838074E1,-2.039385986E1
8.761707333E0,3.924832153E1,1.569148254E1,-2.490243530E1
8.861819333E0,3.930018616E1,1.772825623E1,-2.382077026E1
8.961931333E0,3.881427002E1,2.192751312E1,-2.153866577E1
9.062042333E0,3.528672791E1,2.735510254E1,-2.278845215E1
9.162154333E0,3.240179443E1,3.252412415E1,-2.116256714E1
9.262266333E0,3.357351685E1,3.330884552E1,-1.809661865E1
9.362378333E0,3.744805908E1,2.865192413E1,-1.630123901E1
9.462489083E0,3.683572388E1,2.748506927E1,-1.852117920E1
9.562601083E0,3.482980347E1,3.085294342E1,-1.780822754E1
9.662713083E0,3.338920593E1,3.357714844E1,-1.641586304E1
9.762824083E0,3.536680603E1,2.986429596E1,-1.686099243E1
9.862936083E0,3.707785034E1,2.557604218E1,-1.790270996E1
9.963048083E0,3.686808777E1,2.720700073E1,-1.463702393E1
1.006316008E1,3.395310974E1,3.066121674E1,-1.507455444E1
1.016327108E1,3.447380066E1,2.971083832E1,-1.553817749E1
1.026338308E1,3.668040466E1,2.581440735E1,-1.440008545E1
1.036349508E1,3.594851685E1,2.472417450E1,-1.703933716E1
1.046360733E1,3.421559143E1,2.797193146E1,-1.654730225E1
1.056371833E1,3.195220947E1,3.032128143E1,-1.852194214E1
1.066383033E1,3.044966125E1,2.818772888E1,-2.285198975E1
1.076394233E1,3.094445801E1,2.624300385E1,-2.356414795E1
