"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.602624998E-3,-2.497107239E0,-2.704126740E0,8.832233276E0
1.027186250E-1,-2.161205750E0,-2.417323151E0,9.039103088E0
2.028356250E-1,-2.088606720E0,-2.519710236E0,9.229507141E0
3.029516250E-1,-1.755549316E0,-2.400258636E0,9.201814728E0
4.030686250E-1,-1.873803406E0,-2.635868683E0,9.238338776E0
5.031846250E-1,-1.757794647E0,-2.514471130E0,9.315727844E0
6.033016250E-1,-1.520538025E0,-2.226020966E0,9.280550995E0
7.034186250E-1,-1.687141571E0,-2.099084930E0,8.332572327E0
8.035356250E-1,-5.074148254E0,-3.810625763E0,7.512427826E0
9.036516250E-1,-6.404132538E0,-4.314328308E0,5.756279755E0
1.003768083E0,-6.611152039E0,-4.309388580E0,3.611839142E0
1.103885083E0,-6.496789856E0,-6.012546844E0,1.956880646E0
1.204002083E0,-7.371421051E0,-6.756200409E0,1.191522217E0
1.304118083E0,-7.632178802E0,-7.511380005E0,5.090913391E-1
1.404235083E0,-6.588698730E0,-7.108567657E0,4.028123474E-1
1.504352083E0,-6.925348663E0,-7.603438568E0,1.761836243E-1
1.604469083E0,-7.054230652E0,-7.973469086E0,1.014889526E-1
1.704585083E0,-6.384223938E0,-7.509434052E0,-9.684860229E-2
1.804702083E0,-5.876928864E0,-7.373965759E0,-2.760260010E-1
1.904819083E0,-6.165977783E0,-7.084018707E0,-8.538244629E-1
2.004935375E0,-6.404731293E0,-7.722590790E0,-1.138981476E0
2.105052375E0,-5.735622711E0,-8.827443237E0,-4.941224670E-1
2.205169375E0,-5.485343170E0,-8.162376251E0,-1.616638184E-2
2.305286375E0,-5.689069519E0,-8.335865479E0,2.204914856E-1
2.405402375E0,-5.790259094E0,-8.280480652E0,-1.005908203E-1
2.505519375E0,-5.948180695E0,-7.325765991E0,-4.938230896E-1
2.605636375E0,-6.516848145E0,-6.525679779E0,-8.569679260E-1
2.705752375E0,-7.255861359E0,-6.675069122E0,-1.158590698E0
2.805869375E0,-6.625671844E0,-7.419920197E0,-3.842509460E-1
2.905986375E0,-5.666915588E0,-7.670349426E0,1.339714050E-1
3.006102750E0,-5.504802704E0,-8.258027344E0,3.451821899E-1
3.106219750E0,-5.811664581E0,-8.458011475E0,2.460882568E-1
3.206336750E0,-5.645360413E0,-8.375832367E0,2.589614868E-1
3.306453750E0,-5.376220093E0,-8.377179565E0,3.844006348E-1
3.406569750E0,-6.079906769E0,-8.012537842E0,-2.067201233E-1
3.506686750E0,-6.629414062E0,-7.255112915E0,-5.596861267E-1
3.606803750E0,-7.276368713E0,-6.710695038E0,-1.322799225E0
3.706919750E0,-7.134912872E0,-6.644532623E0,-1.204844513E0
3.807036750E0,-6.109844513E0,-7.805518341E0,2.083666992E-1
3.907153750E0,-5.474266205E0,-8.071814575E0,1.081051941E0
4.007269750E0,-6.150709534E0,-8.115972748E0,9.141490173E-1
4.107386750E0,-6.196364594E0,-7.689359894E0,-1.375639343E-1
4.207503750E0,-7.755372620E0,-7.185357971E0,-8.352630615E-1
4.307619750E0,-7.250173187E0,-5.806425476E0,-2.132465515E0
4.407736750E0,-6.874454498E0,-4.945715332E0,-3.847598877E0
4.507853750E0,-6.242618408E0,-3.998485107E0,-5.050946503E0
4.607970750E0,-4.740492096E0,-3.399879913E0,-7.645800476E0
4.708086750E0,-4.459077301E0,-3.628454590E0,-8.093818817E0
4.808203750E0,-4.312981110E0,-3.143912201E0,-8.182733917E0
4.908320750E0,-4.991220703E0,-3.185675354E0,-8.674611053E0
5.008436458E0,-3.061583405E0,-2.856360168E0,-6.307433624E0
5.108553458E0,-4.659809875E0,-3.622317352E0,-7.900720367E0
5.208670458E0,-4.852608948E0,-2.746937714E0,-7.139104156E0
5.308786458E0,-6.250252533E0,-4.713099060E0,-9.217532043E0
5.408903458E0,-3.686683502E0,-2.034419403E0,-5.782624969E0
5.509020458E0,-6.287674713E0,-5.193300476E0,-8.308472443E0
5.609136458E0,-4.422403564E0,-2.574496307E0,-5.914949799E0
5.709253458E0,-6.075565796E0,-4.292174377E0,-8.364006958E0
5.809370458E0,-5.031187592E0,-2.680326233E0,-6.874454498E0
5.909487458E0,-6.770570526E0,-5.639372864E0,-7.850574646E0
6.009602958E0,-5.824687500E0,-6.000422058E0,-7.205266571E0
6.109719958E0,-6.149512024E0,-4.516557770E0,-6.698270874E0
6.209836958E0,-8.263116760E0,-2.605182495E0,-4.943470001E0
6.309952958E0,-8.024662628E0,-2.405797119E0,-1.963017883E0
6.410069958E0,-8.083041229E0,-3.898493042E0,4.384382629E-1
6.510186958E0,-5.450016632E0,-4.262985077E0,4.428690491E0
6.610302958E0,-3.261567535E0,-6.219266968E0,8.008196869E0
6.710419958E0,-3.914060669E0,-5.485492859E0,6.170318756E0
6.810536958E0,-2.144141235E0,-6.340514832E0,6.334227905E0
6.910652958E0,-5.182223511E0,-7.304659882E0,6.140979767E0
7.010769958E0,-9.013206940E0,-8.488547974E0,6.495143280E0
7.110886958E0,-3.496878204E0,-1.983525238E0,9.522298279E0
7.211002958E0,-5.405259705E-1,-3.673660583E0,6.770570526E0
7.311119958E0,-2.620301056E0,-5.444328461E0,5.023104401E0
7.411236958E0,-6.980583801E0,-6.604416046E0,2.741548920E0
7.511353958E0,-1.414318909E1,-5.562881927E0,7.131919098E0
7.611469958E0,4.134701843E0,-1.616189117E0,9.973609772E0
7.711586958E0,-3.412902832E-2,-7.655081177E0,8.159083099E0
7.811703958E0,-1.805395660E0,-6.762187958E0,2.326013031E0
7.911819958E0,-1.366687958E1,-5.265749817E0,3.764821014E0
8.011936958E0,-7.546257477E0,-4.511618042E-1,9.228609009E0
8.112053958E0,1.929936676E0,-5.133574677E0,9.362281036E0
8.212169958E0,-2.948718109E0,-7.277715912E0,3.632346497E0
8.312286958E0,-1.229632965E1,-5.938899994E0,3.371439056E0
8.412403958E0,-7.893834686E0,-2.691403198E-1,1.028361511E1
8.512519958E0,-2.429447937E-1,-2.920127563E0,9.879754944E0
8.612636958E0,-3.348087616E0,-7.836653595E0,3.515888672E0
8.712753958E0,-1.246577728E1,-5.784720612E0,3.899391174E0
8.812869958E0,-7.666457520E0,-1.393601990E-1,9.981243896E0
8.912986958E0,1.216969299E-1,-3.090623016E0,1.005698639E1
9.013104333E0,-4.228706360E0,-6.828649750E0,4.118236084E0
9.113220333E0,-1.031370255E1,-6.273603973E0,3.178490295E0
9.213337333E0,-7.106921082E0,6.137237549E-3,1.260259277E1
9.313454333E0,1.423988800E0,-2.564018097E0,8.645571442E0
