"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.114786250E-1,5.591128953E-3,-1.691481024E-1,-1.800411381E-2
2.115956250E-1,5.335995927E-3,-1.082638726E-1,2.935084514E-3
3.117116250E-1,-1.489169709E-2,-8.976349980E-2,2.464475483E-2
4.118286250E-1,-2.812350634E-3,-6.339972466E-2,8.309810422E-3
5.119446250E-1,-2.645945363E-2,1.152635962E-1,3.638634831E-2
6.120616250E-1,-5.900865048E-2,2.957705557E-1,-9.450932592E-2
7.121786250E-1,-3.691380620E-1,2.392933846E0,-4.664069712E-1
8.122946250E-1,-3.520072997E-1,2.156327724E0,-7.649803162E-1
9.124116250E-1,-3.755496740E-1,2.922766685E0,-7.016422153E-1
1.012528083E0,-3.162037432E-1,2.592788219E0,-9.528004527E-1
1.112645083E0,-3.114272356E-1,2.022574186E0,-8.964385390E-1
1.212761083E0,-2.407307625E-1,9.444329143E-1,-5.791603327E-1
1.312878083E0,-1.852734685E-1,2.560984790E-1,-3.407735229E-1
1.412995083E0,-1.897563487E-1,5.479911566E-1,-4.797629714E-1
1.513112083E0,-1.630619466E-1,4.189826548E-3,-3.352895379E-1
1.613228083E0,-9.917754680E-2,-2.043257654E-1,-4.328893870E-2
1.713345083E0,-6.257277727E-2,-4.632683843E-2,1.462888345E-2
1.813462083E0,-5.341518298E-2,1.083215401E-1,-1.039924622E-1
1.913579083E0,-1.233012378E-1,1.145496219E-2,-1.707044244E-1
2.013695375E0,-2.275465131E-1,-1.646760255E-1,-6.384876370E-2
2.113812375E0,-2.630375326E-1,4.541024566E-2,6.541115791E-2
2.213929375E0,-7.960919291E-2,7.442384958E-2,2.843878791E-2
2.314045375E0,2.765883207E-1,2.003439814E-1,-2.458686940E-2
2.414162375E0,4.724497199E-1,1.676600575E-1,-3.945770487E-2
2.514279375E0,3.995923102E-1,-2.657971382E-1,-1.596618891E-1
2.614396375E0,1.787039489E-1,2.191891894E-3,-1.435418129E-1
2.714512375E0,-1.852482110E-1,-9.948489815E-2,9.540927410E-2
2.814629375E0,-4.680958092E-1,-3.331362307E-1,1.938528270E-1
2.914746375E0,-4.772314131E-1,-2.119845897E-1,1.581215560E-1
3.014862750E0,-3.057214618E-1,2.656195126E-2,-5.378109217E-2
3.114979750E0,-9.780400246E-2,1.851196885E-1,1.421735040E-3
3.215096750E0,1.476308405E-1,1.154319197E-1,2.541679889E-2
3.315212750E0,4.102584422E-1,3.039738834E-1,-4.724740610E-2
3.415329750E0,5.440299511E-1,5.729698110E-3,-6.683848053E-2
3.515446750E0,4.765362144E-1,1.035313681E-1,-1.045487672E-1
3.615562750E0,1.319924742E-1,-7.330841571E-2,-2.925469354E-2
3.715679750E0,-2.866457403E-1,-3.905609846E-1,2.010616958E-1
3.815796750E0,-4.404515624E-1,-2.973508835E-1,4.118831456E-1
3.915912750E0,-2.657132745E-1,3.010866642E-1,2.420946211E-1
4.016029750E0,1.749234051E-1,6.283648014E-1,3.160807490E-1
4.116146750E0,5.043046474E-1,1.203985691E0,4.676263630E-1
4.216263750E0,6.774157286E-1,1.945942998E0,9.885272384E-1
4.316379750E0,6.830803156E-1,2.047682524E0,1.284916878E0
4.416496750E0,5.887001753E-1,2.379011869E0,1.186446428E0
4.516613750E0,3.854231238E-1,2.225932837E0,1.013712287E0
4.616729750E0,-1.351168305E-1,2.237206936E0,7.509158850E-1
4.716846750E0,-3.370032310E-1,8.851547241E-1,5.059927106E-1
4.816963750E0,-1.139074415E-1,7.159261964E-3,-6.553034484E-2
4.917079750E0,-2.629881501E-1,-3.324158490E-1,1.602704264E-2
5.017196458E0,2.417839915E-1,-2.269494534E-2,-5.338084698E-1
5.117313458E0,4.635832086E-2,-4.597151875E-1,6.012947857E-2
5.217430458E0,2.677311003E-1,-8.365809917E-2,-3.059752285E-1
5.317546458E0,-1.549883932E-1,-2.778775692E-1,3.520473540E-1
5.417663458E0,1.363178045E-1,-1.790871471E-1,-8.386044949E-2
5.517780458E0,-5.440399516E-3,-2.967635691E-1,6.312139332E-2
5.617896458E0,1.821306646E-1,-5.656020641E-1,-3.083278537E-1
5.718013458E0,6.697819382E-2,3.297389150E-1,-1.110002249E-1
5.818130458E0,1.420152187E-1,-1.588155329E-1,-3.344126046E-1
5.918246458E0,9.725092351E-2,-6.147474647E-1,-1.314969957E-1
6.018362958E0,-6.037469953E-3,-1.666787148E0,-1.818212308E-2
6.118479958E0,-7.116008997E-1,-3.307068110E0,-2.975342870E-1
6.218595958E0,-1.235723019E0,-2.698314905E0,-3.216261566E-1
6.318712958E0,-1.875277400E0,-3.872786045E0,-3.133590519E-1
6.418829958E0,-2.302186728E0,-4.663959503E0,1.776122004E-1
