"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.114786250E-1,2.653232574E-2,1.625715986E-1,-1.637425035E-1
2.115956250E-1,-1.762336180E-2,6.669743478E-2,1.588103771E-3
3.117116250E-1,1.951771349E-1,1.805690360E-1,-6.359548688E-2
4.118286250E-1,2.813431665E-2,-3.129575998E-2,-4.253206193E-2
5.119446250E-1,1.659081660E-1,1.046493727E-1,6.267747402E-2
6.120616250E-1,5.209301966E-1,4.348968968E-1,4.084163189E-2
7.121786250E-1,1.502844935E0,7.919895726E-1,-4.455923313E-1
8.122946250E-1,1.226511955E-2,-2.906873095E-1,-1.548927426E-2
9.124116250E-1,6.041694045E-2,-1.733933330E-2,-1.498296386E-1
1.012528083E0,7.356504804E-1,7.515513986E-1,-3.165033513E-1
1.112645083E0,9.364725173E-1,-1.262250137E-1,-4.336029080E-1
1.212761083E0,-2.090467304E-1,-3.857916874E-1,-1.539326298E-1
1.312878083E0,-5.673699528E-1,-7.430624110E-1,-7.943267047E-2
1.412995083E0,1.717450029E-1,-1.148627043E-2,1.730547974E-1
1.513112083E0,-4.353854316E-1,-2.380179298E-1,2.091549039E-1
1.613228083E0,-7.234531885E-1,-4.591666424E-1,2.958656220E-1
1.713345083E0,-4.972881496E-2,6.889774203E-3,1.376118449E-1
1.813462083E0,4.112720990E-1,1.523942274E-1,-7.144128084E-3
1.913579083E0,2.621891499E-2,5.265236431E-1,-5.215775200E-1
2.013695375E0,-3.172213894E-1,-5.409259200E-2,-6.840026093E-1
2.113812375E0,3.703538686E-1,-1.183803892E0,1.233283031E-1
2.213929375E0,6.664399123E-1,-5.772078931E-1,7.108788244E-1
2.314045375E0,4.733391237E-1,-7.421098995E-1,9.256574341E-1
2.414162375E0,3.501055455E-1,-6.577293152E-1,3.839246714E-1
2.514279375E0,1.436426997E-1,3.643955559E-1,-4.143348706E-1
2.614396375E0,-5.783258808E-1,1.271233799E0,-1.147312589E0
2.714512375E0,-1.299958831E0,1.113868269E0,-1.404053888E0
2.814629375E0,-5.522800434E-1,2.791308725E-1,-4.873092914E-1
2.914746375E0,5.904956907E-1,-1.007434326E-1,1.726226699E-1
3.014862750E0,7.208371443E-1,-7.182971138E-1,6.180015779E-1
3.114979750E0,3.873903161E-1,-8.893480521E-1,7.933385253E-1
3.215096750E0,5.846689403E-1,-8.178804588E-1,8.647132210E-1
3.315212750E0,8.332925498E-1,-8.125858051E-1,9.059781182E-1
3.415329750E0,9.043829978E-2,-3.717133462E-1,8.673525810E-2
3.515446750E0,-5.665425718E-1,4.589350927E-1,-5.053257322E-1
3.615562750E0,-1.269643357E0,1.054137207E0,-1.490329555E0
3.715679750E0,-1.068492706E0,1.045257626E0,-1.454878471E0
3.815796750E0,2.030393010E-1,-3.014198738E-1,3.917866549E-2
