"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.114786250E-1,2.998880005E1,1.214477539E1,-3.495080566E1
2.115956250E-1,2.932408142E1,1.212123108E1,-3.543350220E1
3.117116250E-1,2.892297363E1,1.196916199E1,-3.552297974E1
4.118286250E-1,2.869236755E1,1.218643188E1,-3.582553101E1
5.119446250E-1,2.865896606E1,1.224877930E1,-3.585342407E1
6.120616250E-1,2.897137451E1,1.214965820E1,-3.545617676E1
7.121786250E-1,3.171185303E1,1.326324463E1,-3.259448242E1
8.122946250E-1,3.785832214E1,1.667868042E1,-2.277230835E1
9.124116250E-1,4.051615906E1,2.157818604E1,-1.125048828E1
1.012528083E0,3.980287170E1,2.575405884E1,5.108947754E-1
1.112645083E0,3.588102722E1,3.018663025E1,9.121673584E0
1.212761083E0,3.151661682E1,3.356678772E1,1.447311401E1
1.312878083E0,2.778996277E1,3.540325928E1,1.829705811E1
1.412995083E0,2.528044128E1,3.654106140E1,1.999822998E1
1.513112083E0,2.255403137E1,3.739529419E1,2.172784424E1
1.613228083E0,2.098547363E1,3.775007629E1,2.281930542E1
1.713345083E0,2.065869141E1,3.780017090E1,2.342797852E1
1.813462083E0,2.021141052E1,3.816320801E1,2.410061646E1
1.913579083E0,1.916743469E1,3.839993286E1,2.470843506E1
2.013695375E0,1.791268921E1,3.869789124E1,2.627276611E1
2.113812375E0,1.809927368E1,3.785882568E1,2.837454224E1
2.213929375E0,1.902716064E1,3.696005249E1,2.943728638E1
2.314045375E0,1.916569519E1,3.725514221E1,2.887084961E1
2.414162375E0,1.864691162E1,3.875921631E1,2.632736206E1
2.514279375E0,1.878541565E1,3.991760254E1,2.202450562E1
2.614396375E0,1.969677734E1,4.030062866E1,1.853616333E1
2.714512375E0,1.940789795E1,4.027226257E1,1.801959229E1
2.814629375E0,1.976248169E1,4.026870728E1,1.962750244E1
2.914746375E0,2.086944580E1,4.029884338E1,2.232257080E1
3.014862750E0,2.132893372E1,3.957746887E1,2.557867432E1
3.114979750E0,2.087236023E1,3.888294983E1,2.838299561E1
3.215096750E0,2.060812378E1,3.850724792E1,2.888876343E1
3.315212750E0,1.981031799E1,3.916427612E1,2.755270386E1
3.415329750E0,1.876329041E1,4.038027954E1,2.390078735E1
3.515446750E0,1.891740417E1,4.085958862E1,1.961889648E1
3.615562750E0,1.889178467E1,4.069912720E1,1.669470215E1
3.715679750E0,1.953663635E1,4.099481201E1,1.645175171E1
3.815796750E0,2.078945923E1,4.113366699E1,1.845260620E1
3.915912750E0,2.268955994E1,4.049681091E1,2.164050293E1
4.016029750E0,2.286674500E1,3.970332336E1,2.435482788E1
4.116146750E0,2.227583313E1,3.954307556E1,2.412145996E1
4.216263750E0,2.075566101E1,3.874516296E1,2.349075317E1
4.316379750E0,2.065841675E1,3.640788269E1,2.368722534E1
4.416496750E0,1.954229736E1,3.350926208E1,2.475393677E1
4.516613750E0,1.690104675E1,3.117239380E1,2.645178223E1
4.616729750E0,1.283595276E1,2.922979736E1,2.858349609E1
4.716846750E0,9.687149048E0,2.694374084E1,3.099694824E1
4.816963750E0,8.794799805E0,2.564364624E1,3.210482788E1
4.917079750E0,8.865585327E0,2.515490723E1,3.273437500E1
5.017196458E0,9.692108154E0,2.486437988E1,3.272842407E1
5.117313458E0,9.732925415E0,2.590498352E1,3.261373901E1
5.217430458E0,9.983551025E0,2.625056458E1,3.249700928E1
5.317546458E0,9.969726562E0,2.691976929E1,3.200341797E1
5.417663458E0,1.104565430E1,2.566261292E1,3.214334106E1
5.517780458E0,1.066773987E1,2.648510742E1,3.188238525E1
5.617896458E0,1.128517151E1,2.662916565E1,3.176342773E1
5.718013458E0,1.166613770E1,2.792201233E1,3.123355103E1
5.818130458E0,1.114160156E1,2.817483521E1,3.120388794E1
5.918246458E0,1.086614990E1,2.915374756E1,3.045489502E1
6.018362958E0,1.285681152E1,2.867198181E1,2.898025513E1
6.118479958E0,1.773641968E1,2.793518066E1,2.630346680E1
6.218595958E0,2.392900085E1,2.666479492E1,2.460211182E1
6.318712958E0,3.125378418E1,2.479072571E1,2.133868408E1
6.418829958E0,3.949232483E1,2.194575500E1,1.248861694E1
6.518946958E0,4.420278931E1,1.856242371E1,-1.203094482E0
6.619062958E0,4.328402710E1,1.733502197E1,-1.349154663E1
6.719179958E0,4.091769409E1,1.809698486E1,-1.885827637E1
6.819296958E0,3.793859863E1,2.087030029E1,-2.248516846E1
6.919412958E0,3.606521606E1,2.443977356E1,-2.263037109E1
7.019529958E0,3.579862976E1,2.646029663E1,-2.026739502E1
7.119646958E0,3.819841003E1,2.269699097E1,-1.939471436E1
7.219762958E0,4.028524780E1,1.855218506E1,-1.990133667E1
7.319879958E0,4.074838257E1,1.924986267E1,-1.872286987E1
7.419996958E0,3.935684204E1,2.272909546E1,-1.835604858E1
7.520112958E0,3.899958801E1,2.349023438E1,-1.667776489E1
7.620229958E0,4.041833496E1,1.837536621E1,-1.935430908E1
7.720346958E0,4.213214111E1,1.491757202E1,-1.917755127E1
7.820462958E0,4.103071594E1,1.734378052E1,-1.961135864E1
