"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749628017323231E9,"2025-06-11 09:46:57.323 UTC+02:00"
"PAUSE",4.064472325000679E1,1.749628057967464E9,"2025-06-11 09:47:37.967 UTC+02:00"
"START",4.064472325000679E1,1.749628102569544E9,"2025-06-11 09:48:22.570 UTC+02:00"
"PAUSE",8.126951562501199E1,1.749628143193846E9,"2025-06-11 09:49:03.194 UTC+02:00"
"START",8.126951562501199E1,1.749628149406402E9,"2025-06-11 09:49:09.406 UTC+02:00"
"PAUSE",1.218938317499997E2,1.749628190030228E9,"2025-06-11 09:49:50.030 UTC+02:00"
"START",1.218938317499997E2,1.749628195411171E9,"2025-06-11 09:49:55.411 UTC+02:00"
"PAUSE",1.624960103749909E2,1.749628236012860E9,"2025-06-11 09:50:36.013 UTC+02:00"
"START",1.624960103749909E2,1.749628242347446E9,"2025-06-11 09:50:42.347 UTC+02:00"
"PAUSE",2.032482343333249E2,1.749628283099178E9,"2025-06-11 09:51:23.099 UTC+02:00"
"START",2.032482343333249E2,1.749628297708395E9,"2025-06-11 09:51:37.708 UTC+02:00"
"PAUSE",2.439362007083255E2,1.749628338395871E9,"2025-06-11 09:52:18.396 UTC+02:00"
"START",2.439362007083255E2,1.749628342924527E9,"2025-06-11 09:52:22.925 UTC+02:00"
"PAUSE",2.845395724583214E2,1.749628383527408E9,"2025-06-11 09:53:03.527 UTC+02:00"
"START",2.845395724583214E2,1.749628389530904E9,"2025-06-11 09:53:09.531 UTC+02:00"
"PAUSE",3.251430788749858E2,1.749628430133920E9,"2025-06-11 09:53:50.134 UTC+02:00"
"START",3.251430788749858E2,1.749628437376538E9,"2025-06-11 09:53:57.377 UTC+02:00"
"PAUSE",3.657669084999798E2,1.749628477999878E9,"2025-06-11 09:54:38.000 UTC+02:00"
"START",3.657669084999798E2,1.749628486716876E9,"2025-06-11 09:54:46.717 UTC+02:00"
"PAUSE",4.064558735833125E2,1.749628527405350E9,"2025-06-11 09:55:27.405 UTC+02:00"
