"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.845458338E-3,2.765573120E1,2.076116180E1,-3.658450317E1
9.495245833E-2,2.768644714E1,2.075975800E1,-3.660150146E1
1.850604583E-1,2.758930969E1,2.069470978E1,-3.676901245E1
2.751684583E-1,2.749447632E1,2.068614960E1,-3.668789673E1
3.652764583E-1,2.755592346E1,2.091655731E1,-3.672924805E1
4.553844583E-1,2.732373047E1,2.084668732E1,-3.661956787E1
5.454924583E-1,2.733665466E1,2.075162506E1,-3.665390015E1
6.355994583E-1,2.774633789E1,2.068546295E1,-3.635400391E1
7.257074583E-1,3.028581238E1,2.090896606E1,-3.416909790E1
8.158154583E-1,3.334019470E1,2.139118195E1,-3.094079590E1
9.059234583E-1,3.756599426E1,2.230877686E1,-2.471832275E1
9.960311667E-1,4.103033447E1,2.419697571E1,-1.516677856E1
1.086139167E0,4.154270935E1,2.673362732E1,-6.572082520E0
1.176247167E0,4.039137268E1,2.941075134E1,-1.705078125E0
1.266354167E0,3.799920654E1,3.202303314E1,3.386413574E0
1.356462167E0,3.522639465E1,3.419699097E1,6.902526855E0
1.446570167E0,3.282545471E1,3.561500549E1,1.021679688E1
1.536678167E0,3.118885803E1,3.630371094E1,1.208807373E1
1.626786167E0,3.019480896E1,3.685644531E1,1.346224976E1
1.716894167E0,2.870812988E1,3.780514526E1,1.491567993E1
1.807002167E0,2.743342590E1,3.866471100E1,1.551406860E1
1.897110167E0,2.692254639E1,3.925453949E1,1.610824585E1
1.987217542E0,2.671525574E1,4.003765869E1,1.616018677E1
2.077325542E0,2.610671997E1,4.062977600E1,1.701403809E1
2.167433542E0,2.554423523E1,4.149251556E1,1.762622070E1
2.257541542E0,2.471397400E1,4.196414948E1,1.919891357E1
2.347649542E0,2.485176086E1,4.262953186E1,2.052462769E1
2.437757542E0,2.633175659E1,4.256867218E1,1.993798828E1
2.527864542E0,2.623010254E1,4.233736420E1,1.717175293E1
2.617972542E0,2.576634216E1,4.260929871E1,1.313317871E1
2.708080542E0,2.585954285E1,4.284838867E1,1.177642822E1
2.798188542E0,2.705146790E1,4.322426605E1,1.352462769E1
2.888296542E0,2.918057251E1,4.341054535E1,1.663980103E1
2.978404458E0,2.960112000E1,4.334013367E1,1.857943726E1
3.068511458E0,2.837626648E1,4.298619080E1,1.698504639E1
3.158619458E0,2.633958435E1,4.302303314E1,1.441345215E1
3.248727458E0,2.595445251E1,4.343419647E1,1.245098877E1
3.338835458E0,2.628146362E1,4.321919250E1,1.099227905E1
3.428943458E0,2.523733521E1,4.342494965E1,1.001971436E1
3.519051458E0,2.357051086E1,4.342591858E1,9.165832520E0
3.609158458E0,2.308123779E1,4.277784729E1,7.520507812E0
3.699266458E0,2.272050476E1,4.176329803E1,6.886230469E0
3.789374458E0,2.225236511E1,4.086477661E1,7.690490723E0
3.879482458E0,2.242964172E1,4.034059906E1,9.221649170E0
3.969590958E0,2.257371521E1,3.972057343E1,1.125476074E1
4.059697958E0,2.262257385E1,3.935729980E1,1.309152222E1
4.149805958E0,2.283676147E1,3.905270386E1,1.388903809E1
4.239913958E0,2.160910034E1,3.928347778E1,1.437805176E1
4.330021958E0,2.056257629E1,3.935967255E1,1.498699951E1
4.420129958E0,2.081959534E1,3.899483490E1,1.527285767E1
4.510236958E0,2.117384338E1,3.869191742E1,1.532928467E1
4.600344958E0,2.050180054E1,3.888782501E1,1.502288818E1
4.690452958E0,2.024565125E1,3.867089081E1,1.514614868E1
4.780560958E0,2.055047607E1,3.838101196E1,1.534707642E1
