"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.188375005E-3,-3.758683777E0,-3.478167114E0,8.286318512E0
9.692562500E-2,-3.837719421E0,-3.526965637E0,8.444389801E0
1.970406250E-1,-3.922592926E0,-3.506158905E0,8.344996490E0
2.971555833E-1,-4.046535187E0,-3.643573151E0,8.345295868E0
3.972695833E-1,-3.578308868E0,-3.459156647E0,8.336015167E0
4.973845833E-1,-3.667673035E0,-3.187920685E0,8.103997650E0
5.974995833E-1,-4.112847290E0,-3.417543182E0,8.481213226E0
6.976135833E-1,-4.278702393E0,-3.706143036E0,8.325237579E0
7.977285833E-1,-4.207899628E0,-4.885390778E0,8.054750061E0
8.978435833E-1,-3.527115326E0,-4.446503448E0,7.574249268E0
9.979575833E-1,-3.391497345E0,-3.273842010E0,7.431595917E0
1.098072583E0,-4.742887115E0,-2.885100403E0,7.650291138E0
1.198187583E0,-4.451892242E0,-2.369273071E0,7.540569305E0
1.298302833E0,-5.111570435E0,-4.125570831E0,6.774612122E0
1.398416833E0,-7.542814636E0,-6.133794708E0,5.131479034E0
1.498531833E0,-5.191653900E0,-6.581962738E0,3.632496185E0
1.598646833E0,-5.685626678E0,-8.489146729E0,2.108215942E0
1.698760833E0,-5.921236725E0,-9.343120880E0,2.041305084E0
1.798875833E0,-5.390141144E0,-8.486901398E0,1.864223328E0
1.898990833E0,-5.271288300E0,-8.435408478E0,1.842817841E0
1.999105833E0,-5.339995422E0,-8.489146729E0,1.668580170E0
2.099219833E0,-5.003794556E0,-9.304501190E0,1.885179749E0
2.199334833E0,-4.971162415E0,-8.566236420E0,1.612895966E0
2.299449833E0,-5.507646790E0,-7.771239624E0,1.115929413E0
2.399563833E0,-6.485413513E0,-7.759863281E0,1.181193695E0
2.499678833E0,-6.377637634E0,-6.793023834E0,1.364712067E0
2.599793833E0,-6.885381775E0,-6.060746613E0,1.910327454E0
2.699907833E0,-6.915319519E0,-6.076314240E0,1.967658234E0
2.800022833E0,-7.348668365E0,-6.601571960E0,1.721869354E0
2.900137833E0,-7.061565399E0,-6.656358032E0,1.709295502E0
3.000252833E0,-6.748566284E0,-6.492448883E0,1.512903900E0
3.100366833E0,-6.726711731E0,-6.799460449E0,1.321751404E0
3.200481833E0,-6.384373627E0,-7.345075836E0,1.438807983E0
3.300596750E0,-6.250102844E0,-8.124355316E0,1.471440125E0
3.400710750E0,-5.778433685E0,-8.094118195E0,1.431922302E0
3.500825750E0,-6.097719727E0,-7.732619934E0,1.481469269E0
3.600940750E0,-6.336323547E0,-7.534282379E0,1.536554718E0
3.701054750E0,-6.527775421E0,-8.368946686E0,1.680405579E0
3.801169750E0,-6.051765289E0,-8.025710449E0,1.626517639E0
3.901284750E0,-6.420149231E0,-6.952592010E0,1.477876740E0
4.001398750E0,-6.776707764E0,-6.093678131E0,1.750010834E0
4.101513750E0,-7.101681976E0,-5.957910461E0,2.245480499E0
4.201628750E0,-7.123386841E0,-6.359974365E0,2.626737671E0
4.301742958E0,-7.331603851E0,-6.404731293E0,2.356998596E0
4.401857958E0,-7.705226898E0,-6.242468719E0,2.060614929E0
4.501972958E0,-7.953560486E0,-5.875881042E0,1.146016846E0
4.602087958E0,-7.872578888E0,-4.163891144E0,-3.968247986E-1
4.702201958E0,-5.611830139E0,-4.829107819E0,-2.432741089E0
4.802316958E0,-7.982600098E0,-4.928501129E0,-4.722828827E0
