"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.561662499E-2,-2.613394707E-2,8.656927384E-4,-4.469752684E-2
1.457316250E-1,7.004834246E-3,2.877965197E-2,-3.338328004E-2
2.458456250E-1,4.659112543E-3,-2.261628769E-2,-5.146442447E-3
3.459605833E-1,5.791315064E-2,-9.310880303E-2,-1.559389941E-2
4.460755833E-1,2.877071872E-2,6.737793237E-2,-8.290357143E-2
5.461895833E-1,-4.993074387E-2,1.196487173E-1,-5.651818216E-2
6.463045833E-1,-1.154528931E-1,4.290438592E-1,7.113107294E-2
7.464195833E-1,-7.979889214E-2,2.079534158E-2,7.785366476E-2
8.465345833E-1,5.033674464E-2,6.930259988E-3,-1.131586060E-1
9.466485833E-1,1.954434067E-2,2.041521966E-1,-4.074652493E-1
1.046763583E0,-2.197362930E-1,3.455671370E-1,-6.274400353E-1
1.146878583E0,-5.627171993E-1,2.701142132E-1,-4.808970690E-1
1.246992583E0,-7.636243701E-1,6.623024344E-1,-2.460225075E-1
1.347107833E0,-8.015364408E-1,2.010693312E0,-1.002291963E-1
1.447222833E0,-6.902312040E-1,1.225728989E0,-1.856339723E-1
1.547337833E0,-6.716796756E-1,1.565519571E0,-6.886188984E-1
1.647451833E0,-6.506531835E-1,3.100557029E-1,-5.487424135E-1
1.747566833E0,-3.768599927E-1,1.693816930E-1,-3.243986890E-2
1.847681833E0,-1.606897563E-1,6.694453210E-2,-4.665935412E-2
1.947795833E0,7.929722778E-5,2.234713286E-1,-5.373214930E-2
2.047910833E0,1.716731489E-1,3.342885673E-1,5.096775293E-2
2.148025833E0,4.891847968E-1,3.864595592E-1,3.902209550E-2
2.248140833E0,5.833913684E-1,2.400603145E-1,-8.772438020E-2
2.348254833E0,5.915024877E-1,6.152563691E-1,-3.145627975E-1
2.448369833E0,5.674190521E-1,5.730701089E-1,-6.674870383E-3
2.548484833E0,3.875837624E-1,5.343558788E-1,-3.769478947E-2
2.648598833E0,1.739080846E-1,2.108513415E-1,-2.432327345E-2
2.748713833E0,-1.087515801E-1,-1.665849797E-2,4.178320989E-2
2.848828833E0,-3.561412692E-1,-3.060618341E-1,2.859917581E-1
2.948942833E0,-4.643247426E-1,-3.134737015E-1,4.473470151E-1
3.049057833E0,-6.095757484E-1,-5.142053962E-1,3.785042167E-1
3.149172833E0,-6.556906700E-1,-5.325182080E-1,2.513535619E-1
3.249287833E0,-5.538683534E-1,-5.132364631E-1,1.128492728E-1
3.349401750E0,-3.517209291E-1,-2.416929156E-1,1.436284631E-1
3.449516750E0,-1.666327268E-1,-6.297463179E-2,9.049128741E-2
3.549631750E0,3.306639567E-2,2.747870609E-2,2.462325059E-2
3.649745750E0,1.789009720E-1,8.562594652E-2,-8.910408616E-2
3.749860750E0,3.149155378E-1,-1.362187415E-1,-1.506464928E-1
3.849975750E0,4.967585802E-1,5.177871510E-2,-1.817223579E-1
3.950089750E0,6.584051251E-1,4.059233963E-1,-3.418793678E-1
4.050204750E0,6.744008660E-1,5.335183740E-1,-3.871977925E-1
4.150319750E0,5.267637372E-1,6.370354295E-1,-1.683133543E-1
4.250433750E0,6.072527170E-1,9.423785806E-1,1.979620159E-1
4.350548958E0,7.254519463E-1,1.458435774E0,6.295027733E-1
4.450663958E0,6.758451462E-1,2.208697319E0,9.524881244E-1
4.550777958E0,3.849649131E-1,3.277437449E0,8.214674592E-1
4.650892958E0,6.659358740E-1,1.159126282E0,4.245492518E-1
4.751007958E0,6.308986545E-1,1.812354684E0,-1.549424138E-2
4.851122958E0,2.458942682E-1,1.433528900E0,1.377331465E-1
4.951236958E0,-2.258208096E-1,9.324535131E-1,9.719715267E-2
5.051351958E0,-2.498788685E-1,4.345740080E-1,8.758372664E-1
5.151466958E0,2.791933715E-1,-5.411902815E-2,-6.144834757E-1
5.251581958E0,-2.406993508E-1,-4.567103684E-1,5.042894483E-1
5.351695458E0,1.828447133E-1,-8.151230216E-2,-4.171360433E-1
5.451810458E0,-2.565448880E-1,-3.979248703E-1,-1.113931686E-1
5.551925458E0,2.007980198E-1,-1.731778532E-1,-8.052060604E-1
5.652040458E0,-8.613920957E-2,-2.834678888E-1,1.576258242E-1
5.752155458E0,1.233678013E-1,2.461891174E-1,-5.746456385E-1
5.852269458E0,-2.512445450E-1,-1.863185316E-1,2.047635615E-1
5.952384458E0,-4.708024561E-1,-1.172944188E0,2.118731439E-1
6.052499458E0,-1.149372220E0,-2.982597351E0,3.482079208E-1
6.152614458E0,-1.787109852E0,-3.599161625E0,4.022168815E-1
6.252728458E0,-1.789413571E0,-2.857225895E0,3.325228393E-1
6.352843083E0,-7.774059772E-1,-3.309632540E-1,-3.684790805E-2
6.452958083E0,-1.021907479E-1,-6.541600227E-1,-1.113450900E-1
6.553073083E0,-6.675324440E-1,-2.900674820E0,2.671632171E-2
6.653188083E0,-1.071181893E0,-3.832621574E0,5.689013004E-1
6.753302083E0,-1.157436252E0,-2.080048561E0,1.060170293E0
6.853417083E0,-6.334691644E-1,-1.501561642E0,5.902941823E-1
6.953532083E0,1.435829252E-1,-8.689293861E-1,-8.910095692E-1
7.053647083E0,3.498846889E-1,1.908672214E0,-1.832086325E0
7.153761083E0,-4.888527095E-1,2.554653287E-1,8.079456091E-1
7.253876083E0,6.172292233E-1,-2.308427811E0,1.153405428E0
7.353991583E0,1.015287519E0,-4.185309112E-1,-9.423648715E-1
7.454106583E0,-2.508840561E-1,1.040214539E0,-8.878538013E-1
