"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.561662499E-2,2.871801496E-2,2.362333596E-2,4.611815929E-2
1.457316250E-1,1.098545641E-1,7.239145339E-3,9.245675862E-2
2.458456250E-1,-3.725436509E-2,3.165624082E-2,7.772352934E-2
3.459605833E-1,8.826372027E-4,-3.636266470E-2,1.927756834E-1
4.460755833E-1,1.938135642E-1,1.568965834E-1,-9.326893687E-3
5.461895833E-1,4.556939811E-2,5.336820969E-1,1.613480687E-2
6.463045833E-1,2.929329327E-1,2.561673948E-1,4.251235682E-1
7.464195833E-1,-7.034960568E-2,-3.474804381E-1,-3.619484961E-2
8.465345833E-1,2.891424751E-1,-1.345705985E0,-3.098322630E-1
9.466485833E-1,1.057323647E0,-1.472679734E-1,-6.505846024E-1
1.046763583E0,5.269472739E-1,8.645295453E-1,-2.196091408E-1
1.146878583E0,-1.362380782E-1,2.302274505E0,1.719204193E-1
1.246992583E0,-4.430248189E-1,2.294417017E0,1.772975188E-1
1.347107833E0,-9.250944203E-1,3.176067209E-1,3.799088037E-1
1.447222833E0,1.979165554E-1,2.066359234E-1,8.579151750E-2
1.547337833E0,-3.255671203E-2,-2.717464238E-1,-3.686125678E-1
1.647451833E0,-6.929213673E-1,-1.706946675E0,-5.093709822E-1
1.747566833E0,4.441422218E-1,-1.096474557E0,-3.136915715E-1
1.847681833E0,8.634109730E-1,-7.048561192E-1,1.907442145E-1
1.947795833E0,1.854672486E-1,-5.294256163E-1,2.528966086E-1
2.047910833E0,6.294586122E-1,-7.360393202E-1,2.254287283E-1
2.148025833E0,1.006388260E0,-1.579097890E0,4.875192064E-1
2.248140833E0,4.438024986E-1,-4.238389349E-1,-2.871422888E-1
2.348254833E0,1.180593771E-1,-1.218857950E-1,-7.383029236E-1
2.448369833E0,-1.399057442E-1,1.449203163E-1,-7.972965056E-1
2.548484833E0,-8.784827560E-1,1.121641558E0,-5.199876255E-1
2.648598833E0,-7.838987803E-1,1.392531949E0,-4.653272688E-2
2.748713833E0,-1.120728223E0,1.186747380E0,5.901945591E-2
2.848828833E0,-1.135683061E0,7.998242569E-1,6.688045263E-3
2.948942833E0,-4.997971898E-1,6.361946046E-1,3.224403217E-2
3.049057833E0,2.427763939E-3,5.177978432E-1,-2.078306557E-1
3.149172833E0,1.377259022E-1,-8.625637114E-2,-2.163994579E-1
3.249287833E0,8.133664083E-1,-4.137349463E-1,-1.945533831E-1
3.349401750E0,6.562996709E-1,-1.293799959E0,-2.262141556E-3
3.449516750E0,8.343766236E-1,-9.020815337E-1,1.341497451E-1
3.549631750E0,4.470050186E-1,-8.117654407E-1,2.688736868E-1
3.649745750E0,4.495345241E-1,-7.122984552E-1,1.906028581E-1
3.749860750E0,4.159826159E-1,-1.597328923E0,5.665381864E-2
3.849975750E0,6.333668911E-1,-5.535021114E-1,-2.271219358E-1
3.950089750E0,-1.895293093E-1,4.178993332E-1,-5.443234447E-1
4.050204750E0,-3.359389114E-1,1.306979583E0,-3.799294151E-1
4.150319750E0,-8.530321652E-1,1.081241975E0,5.268341303E-3
4.250433750E0,-3.651001453E-1,5.446932811E-1,7.962723657E-1
4.350548958E0,-4.698676318E-1,1.925172365E-1,3.206105818E-1
4.450663958E0,2.391388410E-1,-2.318555492E-1,-1.651085593E-1
4.550777958E0,9.879975969E-1,2.189776415E-1,3.880410381E-1
4.650892958E0,2.136555642E0,7.399426290E-1,4.391101080E-1
4.751007958E0,1.783532336E0,-3.932550734E-1,2.910568535E-1
4.851122958E0,1.754538918E-1,-3.353372329E-1,-1.187947814E0
4.951236958E0,-2.458537250E0,-1.415322349E0,-2.012133910E0
5.051351958E0,-6.121467608E-1,-1.437877107E-1,6.649383473E-1
5.151466958E0,7.293623847E-1,1.554826975E0,1.488285368E0
5.251581958E0,-2.662005737E0,-2.292690041E0,-8.713245946E-1
5.351695458E0,2.200492022E0,2.193467177E0,2.156591127E0
