"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.561662499E-2,3.663117981E1,1.870669556E1,-3.006777954E1
1.457316250E-1,3.652084351E1,1.893499756E1,-3.002032471E1
2.458456250E-1,3.648928833E1,1.892131042E1,-3.005389404E1
3.459605833E-1,3.654881287E1,1.895082092E1,-3.016143799E1
4.460755833E-1,3.626969910E1,1.893452454E1,-3.068954468E1
5.461895833E-1,3.617916870E1,1.920649719E1,-3.045477295E1
6.463045833E-1,3.661895752E1,1.945712280E1,-2.977017212E1
7.464195833E-1,3.769729614E1,1.931567383E1,-2.819308472E1
8.465345833E-1,3.771090698E1,1.943443298E1,-2.830703735E1
9.466485833E-1,3.744888306E1,1.994566345E1,-2.815170288E1
1.046763583E0,3.699583435E1,2.173512268E1,-2.699472046E1
1.146878583E0,3.631091309E1,2.425076294E1,-2.480102539E1
1.246992583E0,3.595242310E1,2.696823120E1,-2.125598145E1
1.347107833E0,3.621356201E1,2.965063477E1,-1.567153931E1
1.447222833E0,3.712759399E1,3.186177063E1,-8.133972168E0
1.547337833E0,3.601818848E1,3.510717773E1,1.305419922E0
1.647451833E0,3.254756165E1,4.018409729E1,9.412689209E0
1.747566833E0,3.045544434E1,4.187390137E1,1.494696045E1
1.847681833E0,3.111164856E1,4.183124542E1,1.765786743E1
1.947795833E0,3.005812073E1,4.163857269E1,1.908996582E1
2.047910833E0,2.895080566E1,4.173860931E1,1.903259277E1
2.148025833E0,2.797959900E1,4.204238129E1,1.662228394E1
2.248140833E0,2.742715454E1,4.213242340E1,1.132669067E1
2.348254833E0,2.712101746E1,4.177025604E1,5.819519043E0
2.448369833E0,2.631443787E1,4.140122223E1,3.038482666E0
2.548484833E0,2.628063965E1,4.057941437E1,2.268341064E0
2.648598833E0,2.617195129E1,4.056224060E1,2.453369141E0
2.748713833E0,2.608114624E1,4.066780853E1,2.782135010E0
2.848828833E0,2.652322388E1,4.043459320E1,2.846984863E0
2.948942833E0,2.772438049E1,3.953153992E1,3.252655029E0
3.049057833E0,2.952284241E1,3.875841522E1,3.909149170E0
3.149172833E0,3.117521667E1,3.852744293E1,4.968444824E0
3.249287833E0,3.258171082E1,3.890500641E1,6.586669922E0
3.349401750E0,3.418302917E1,3.971141815E1,8.880432129E0
3.449516750E0,3.590026855E1,3.934764099E1,1.104531860E1
3.549631750E0,3.646275330E1,3.882913208E1,1.206762695E1
3.649745750E0,3.569781494E1,3.881149292E1,1.166564941E1
3.749860750E0,3.450746155E1,3.933792114E1,9.163421631E0
3.849975750E0,3.361369324E1,3.896379852E1,4.621612549E0
3.950089750E0,3.266156006E1,3.906110382E1,9.519042969E-1
4.050204750E0,3.112976074E1,3.957424164E1,-9.224548340E-1
4.150319750E0,2.947787476E1,4.027577209E1,-1.659576416E0
4.250433750E0,2.881747437E1,4.072932434E1,-1.321777344E0
4.350548958E0,2.877534485E1,3.997814178E1,3.808898926E-1
4.450663958E0,2.932078552E1,3.818353271E1,3.421844482E0
