"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749628656652764E9,"2025-06-11 09:57:36.653 UTC+02:00"
"PAUSE",4.062478462500440E1,1.749628697277059E9,"2025-06-11 09:58:17.277 UTC+02:00"
"START",4.062478462500440E1,1.749628702790861E9,"2025-06-11 09:58:22.791 UTC+02:00"
"PAUSE",8.127233316667844E1,1.749628743437919E9,"2025-06-11 09:59:03.438 UTC+02:00"
"START",8.127233316667844E1,1.749628749953835E9,"2025-06-11 09:59:09.954 UTC+02:00"
"PAUSE",1.218953315416729E2,1.749628790574269E9,"2025-06-11 09:59:50.574 UTC+02:00"
"START",1.218953315416729E2,1.749628795592030E9,"2025-06-11 09:59:55.592 UTC+02:00"
"PAUSE",1.625195982916630E2,1.749628836214211E9,"2025-06-11 10:00:36.214 UTC+02:00"
"START",1.625195982916630E2,1.749628842913547E9,"2025-06-11 10:00:42.914 UTC+02:00"
"PAUSE",2.031252599583240E2,1.749628883518598E9,"2025-06-11 10:01:23.519 UTC+02:00"
"START",2.031252599583240E2,1.749628891475474E9,"2025-06-11 10:01:31.475 UTC+02:00"
"PAUSE",2.437514154166565E2,1.749628932101086E9,"2025-06-11 10:02:12.101 UTC+02:00"
"START",2.437514154166565E2,1.749628937442810E9,"2025-06-11 10:02:17.443 UTC+02:00"
"PAUSE",2.843558513749886E2,1.749628978046708E9,"2025-06-11 10:02:58.047 UTC+02:00"
"START",2.843558513749886E2,1.749628984415433E9,"2025-06-11 10:03:04.415 UTC+02:00"
"PAUSE",3.249777569583239E2,1.749629025036801E9,"2025-06-11 10:03:45.037 UTC+02:00"
"START",3.249777569583239E2,1.749629037994351E9,"2025-06-11 10:03:57.994 UTC+02:00"
"PAUSE",3.656258903333219E2,1.749629078641945E9,"2025-06-11 10:04:38.642 UTC+02:00"
"START",3.656258903333219E2,1.749629091966046E9,"2025-06-11 10:04:51.966 UTC+02:00"
"PAUSE",4.062501865833183E2,1.749629132589804E9,"2025-06-11 10:05:32.590 UTC+02:00"
