"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.792370834E-2,2.064314270E1,4.789344788E0,-4.279583740E1
1.180307083E-1,2.063871765E1,4.803474426E0,-4.264340210E1
2.081367083E-1,2.088992310E1,4.848838806E0,-4.237844849E1
2.982427083E-1,2.113256836E1,4.762474060E0,-4.227160645E1
3.883487083E-1,2.146968079E1,5.004447937E0,-4.233987427E1
4.784557083E-1,2.167294312E1,5.109443665E0,-4.212399292E1
5.685617083E-1,2.207914734E1,5.226753235E0,-4.206533813E1
6.586675833E-1,2.300268555E1,5.394149780E0,-4.173129272E1
7.487745833E-1,2.621920776E1,5.859657288E0,-3.967004395E1
8.388805833E-1,3.329299927E1,8.252555847E0,-3.382531738E1
9.289865833E-1,3.965850830E1,1.229688263E1,-2.509951782E1
1.019092583E0,4.368072510E1,1.658613586E1,-1.429623413E1
1.109199583E0,4.422778320E1,2.045001984E1,-5.715698242E0
1.199305583E0,4.283097839E1,2.395507050E1,9.293823242E-1
1.289411583E0,4.065486145E1,2.724210358E1,5.179595947E0
1.379517583E0,3.866822815E1,2.993558502E1,7.446289062E0
1.469624583E0,3.667413330E1,3.307682800E1,8.875701904E0
1.559730583E0,3.473089600E1,3.748773193E1,1.208789062E1
1.649837750E0,3.261878967E1,4.180049133E1,1.727990723E1
1.739943750E0,3.242468262E1,4.303080750E1,1.746099854E1
1.830050750E0,3.064111328E1,4.240261841E1,1.497677612E1
1.920156750E0,2.954948425E1,4.141117096E1,1.099563599E1
2.010262750E0,2.915858459E1,4.105285645E1,7.738128662E0
2.100368750E0,2.929804993E1,4.139831543E1,7.578674316E0
2.190475750E0,3.057388306E1,4.312850952E1,1.003271484E1
2.280581750E0,3.288235474E1,4.364257812E1,1.370285034E1
2.370687750E0,3.361096191E1,4.180293274E1,1.418743896E1
2.460793750E0,3.229635620E1,4.135597229E1,1.185455322E1
2.550900750E0,3.112236023E1,4.158206940E1,7.351470947E0
2.641005958E0,3.161593628E1,4.177627563E1,4.664642334E0
2.731111958E0,3.353442383E1,4.206320190E1,3.877593994E0
2.821217958E0,3.589994812E1,4.176808929E1,4.125305176E0
2.911324958E0,3.681077576E1,4.100771332E1,3.984893799E0
3.001430958E0,3.735998535E1,3.975467682E1,2.157287598E0
3.091536958E0,3.809515381E1,3.780491638E1,-2.271240234E0
3.181642958E0,3.844972229E1,3.591460419E1,-5.854705811E0
3.271749958E0,3.885389709E1,3.377242279E1,-9.774627686E0
3.361855958E0,3.911528015E1,3.046511841E1,-1.555575562E1
3.451961958E0,3.741526794E1,2.567845154E1,-2.477264404E1
3.542067958E0,3.027946472E1,2.014256287E1,-3.615438843E1
3.632174458E0,2.175541687E1,1.755306244E1,-4.320333862E1
3.722280458E0,1.801560974E1,1.785752869E1,-4.462622070E1
3.812386458E0,1.813951111E1,1.830205536E1,-4.458367920E1
3.902492458E0,1.490415955E1,1.619672394E1,-4.644338989E1
3.992599458E0,1.476118469E1,1.711212921E1,-4.614889526E1
4.082705458E0,1.780163574E1,1.849016571E1,-4.481527710E1
4.172811458E0,1.578059387E1,1.606021118E1,-4.603381348E1
4.262917458E0,1.348089600E1,1.498487854E1,-4.691506958E1
4.353023458E0,1.772210693E1,1.764712524E1,-4.490939331E1
4.443130458E0,1.665907288E1,1.663311768E1,-4.521652222E1
4.533236458E0,1.319068909E1,1.416139984E1,-4.703259277E1
4.623342625E0,1.820162964E1,1.669390106E1,-4.482653809E1
4.713448625E0,1.805485535E1,1.604681396E1,-4.515472412E1
4.803555625E0,1.558129883E1,1.361280060E1,-4.665682983E1
4.893661625E0,1.813069153E1,1.391967773E1,-4.553488159E1
4.983767625E0,1.679936218E1,1.288172150E1,-4.593460083E1
5.073873625E0,1.295707703E1,1.193050385E1,-4.748693848E1
5.163979625E0,6.482650757E0,9.764030457E0,-4.901452637E1
5.254086625E0,1.752044678E0,8.344680786E0,-4.962805176E1
5.344192625E0,3.347549438E0,8.101936340E0,-4.927633667E1
5.434298625E0,1.888931274E0,8.210273743E0,-4.942532349E1
5.524404625E0,-4.079742432E-1,7.022262573E0,-4.924319458E1
5.614511333E0,3.492324829E0,7.045082092E0,-4.887930298E1
5.704617333E0,3.609786987E0,7.568595886E0,-4.883056641E1
5.794723333E0,1.281875610E0,6.656837463E0,-4.886160278E1
5.884829333E0,3.884750366E0,7.020492554E0,-4.841564941E1
5.974935333E0,5.746948242E0,8.905334473E0,-4.797479248E1
6.065042333E0,3.312713623E0,7.684410095E0,-4.783969116E1
6.155148333E0,2.861328125E0,6.905441284E0,-4.810263062E1
6.245254333E0,7.097335815E0,8.320350647E0,-4.746179199E1
6.335360333E0,8.198242188E0,8.583335876E0,-4.737496948E1
6.425466333E0,3.583648682E0,7.561927795E0,-4.764614868E1
6.515573333E0,8.204772949E0,9.048980713E0,-4.658279419E1
6.605679333E0,9.580871582E0,8.734992981E0,-4.637591553E1
6.695785333E0,6.505798340E0,7.011543274E0,-4.726321411E1
6.785891333E0,7.277786255E0,7.137741089E0,-4.706848145E1
6.875997333E0,1.324479675E1,7.326095581E0,-4.615881348E1
6.966104333E0,1.448339844E1,6.889396667E0,-4.558673096E1
7.056210333E0,1.856242371E1,6.454627991E0,-4.427505493E1
7.146316333E0,1.962545776E1,6.219802856E0,-4.370538330E1
7.236422333E0,2.055139160E1,7.940582275E0,-4.303543091E1
7.326528333E0,2.291421509E1,9.336097717E0,-4.173406982E1
7.416635333E0,2.472631836E1,9.389389038E0,-4.057754517E1
7.506741333E0,3.072648621E1,8.942642212E0,-3.620040894E1
7.596847083E0,3.558964539E1,1.100942993E1,-3.151309204E1
7.686953083E0,3.667185974E1,1.412226868E1,-2.967230225E1
7.777059083E0,3.896751404E1,1.285559845E1,-2.551116943E1
7.867166083E0,3.598268127E1,9.886123657E0,-3.019726562E1
7.957272083E0,3.534179688E1,1.335057068E1,-3.047314453E1
8.047378083E0,3.935211182E1,1.676660156E1,-2.310745239E1
8.137484083E0,3.692321777E1,1.247611237E1,-2.773397827E1
8.227590083E0,3.497865295E1,1.374059296E1,-2.971762085E1
8.317696083E0,3.782783508E1,1.830196381E1,-2.374450684E1
8.407803083E0,3.598710632E1,1.495607758E1,-2.709805298E1
8.497909083E0,3.483175659E1,1.432829285E1,-2.945050049E1
8.588015583E0,3.682324219E1,1.850986481E1,-2.501864624E1
8.678121583E0,3.505276489E1,1.708084106E1,-2.715924072E1
8.768227583E0,3.140600586E1,1.542409515E1,-3.211718750E1
8.858333583E0,2.935508728E1,1.496501923E1,-3.392807007E1
8.948440583E0,2.555351257E1,1.302476501E1,-3.756463623E1
9.038546583E0,2.351969910E1,1.132646179E1,-3.977169800E1
9.128652583E0,2.152029419E1,1.261832428E1,-4.068460083E1
9.218758583E0,2.447097778E1,1.631089783E1,-3.831396484E1
9.308864583E0,2.459283447E1,1.586387634E1,-3.821524048E1
9.398970583E0,2.220759583E1,1.101644897E1,-4.064486694E1
9.489076583E0,2.632896423E1,1.421733856E1,-3.651736450E1
9.579183583E0,2.648811340E1,1.810404205E1,-3.553347778E1
9.669290333E0,2.472038269E1,1.386000061E1,-3.793609619E1
9.759396333E0,2.580247498E1,1.511977386E1,-3.637084961E1
9.849502333E0,2.682420349E1,1.925687408E1,-3.452001953E1
9.939608333E0,2.629843140E1,1.532958984E1,-3.645999146E1
1.002971433E1,2.578689575E1,1.507930756E1,-3.667034912E1
1.011982033E1,2.690391541E1,1.860917664E1,-3.496279907E1
1.020992733E1,2.551658630E1,1.686823273E1,-3.619509888E1
1.030003333E1,1.924369812E1,1.422598267E1,-4.087380981E1
1.039013933E1,1.034025574E1,1.113740540E1,-4.514700317E1
1.048024533E1,2.599884033E0,8.702087402E0,-4.738656616E1
1.057035133E1,-2.150115967E0,6.977325439E0,-4.798135376E1
1.066045608E1,1.586013794E0,6.750320435E0,-4.731411743E1
1.075056208E1,6.467285156E-1,7.147834778E0,-4.700708008E1
1.084066908E1,-8.773803711E-2,5.823173523E0,-4.727835083E1
1.093077508E1,4.714508057E0,5.710739136E0,-4.653237915E1
1.102088108E1,5.808044434E0,6.743957520E0,-4.635638428E1
1.111098708E1,2.866760254E0,5.879432678E0,-4.647354126E1
1.120109308E1,8.193176270E0,6.607292175E0,-4.550204468E1
1.129119908E1,7.742248535E0,7.221214294E0,-4.553201294E1
1.138130508E1,6.174957275E0,6.331993103E0,-4.583135986E1
1.147141108E1,9.130218506E0,6.934371948E0,-4.463211060E1
1.156151808E1,8.907714844E0,7.055534363E0,-4.465518188E1
1.165162496E1,6.334701538E0,6.276985168E0,-4.525982666E1
1.174173096E1,1.156256104E1,8.076629639E0,-4.368267822E1
1.183183696E1,1.229214478E1,8.121070862E0,-4.368014526E1
1.192194296E1,1.083096313E1,6.533981323E0,-4.425430298E1
1.201204896E1,1.359144592E1,7.224929810E0,-4.301434326E1
1.210215496E1,2.723521423E1,9.647773743E0,-3.561856079E1
1.219226096E1,3.490435791E1,1.307281494E1,-2.833587646E1
1.228236796E1,3.919844055E1,1.529064178E1,-2.225085449E1
1.237247396E1,4.113999939E1,1.440637207E1,-1.990710449E1
1.246257996E1,3.982730103E1,1.277572632E1,-2.250967407E1
1.255268596E1,3.829156494E1,1.154467773E1,-2.524163818E1
1.264279175E1,3.421037292E1,1.078930664E1,-3.033053589E1
1.273289775E1,3.214512634E1,1.109437561E1,-3.291519165E1
1.282300375E1,2.980760193E1,1.185782623E1,-3.486843872E1
1.291310975E1,2.826535034E1,1.225304413E1,-3.607604980E1
1.300321575E1,2.153775024E1,1.207335663E1,-4.049304199E1
1.309332175E1,1.298753357E1,1.204740906E1,-4.393188477E1
1.318342875E1,1.133245850E1,1.241894531E1,-4.464999390E1
1.327353475E1,2.432336426E1,1.442724609E1,-3.777020264E1
1.336364075E1,3.706089783E1,1.702343750E1,-2.574649048E1
1.345374675E1,3.203855896E1,1.671327209E1,-2.881838989E1
1.354385275E1,9.736328125E0,1.511172485E1,-4.491943359E1
1.363395821E1,1.214167786E1,1.399620056E1,-4.321356201E1
1.372406421E1,2.890829468E1,1.382187653E1,-3.382846069E1
1.381417021E1,4.026904297E1,1.814092255E1,-1.933911133E1
1.390427621E1,3.828031921E1,1.977014923E1,-1.935354614E1
1.399438221E1,1.991085815E1,1.743155670E1,-4.074459839E1
1.408448921E1,1.624160767E1,1.701756287E1,-4.314163208E1
1.417459521E1,1.407684326E1,1.741828156E1,-4.389157104E1
1.426470121E1,1.216761780E1,1.691567993E1,-4.462170410E1
1.435480721E1,1.005918884E1,1.645121765E1,-4.555780029E1
1.444491321E1,8.510925293E0,1.524649048E1,-4.620138550E1
1.453501921E1,1.058953857E1,1.487280273E1,-4.587570190E1
1.462512621E1,1.651277161E1,1.540239716E1,-4.372607422E1
1.471523221E1,2.707240295E1,1.588793182E1,-3.690792847E1
1.480533821E1,3.354319763E1,1.692695618E1,-3.099807739E1
1.489544421E1,3.642800903E1,1.784284210E1,-2.679626465E1
1.498555021E1,3.944482422E1,1.856351471E1,-2.107327271E1
1.507565721E1,4.240669250E1,2.009641266E1,-1.290353394E1
1.516576321E1,4.360693359E1,2.195415497E1,1.056457520E0
1.525586921E1,4.320756531E1,2.197629547E1,-2.273742676E0
1.534597521E1,3.127435303E1,1.920117950E1,-3.316818237E1
1.543608121E1,2.587919617E1,1.709616852E1,-3.976818848E1
1.552618721E1,2.715531921E1,1.686042023E1,-3.648767090E1
1.561629308E1,4.178791809E1,1.791530609E1,-1.501437378E1
1.570639908E1,4.428912354E1,1.969229889E1,-2.922332764E0
1.579650508E1,3.839692688E1,1.863874817E1,-2.145132446E1
1.588661108E1,3.046794128E1,1.559168243E1,-3.550305176E1
1.597671708E1,2.506538391E1,1.386839294E1,-4.009771729E1
1.606682308E1,2.459432983E1,1.331518555E1,-4.051843262E1
1.615693008E1,2.655665588E1,1.381526184E1,-3.887292480E1
1.624703608E1,2.835122681E1,1.466185760E1,-3.721655273E1
1.633714208E1,2.667164612E1,1.577416992E1,-3.819042969E1
1.642724808E1,2.469000244E1,1.584630585E1,-3.976336670E1
1.651735408E1,2.410423279E1,1.520676422E1,-4.033093262E1
1.660746021E1,2.288616943E1,1.514286041E1,-4.113662720E1
1.669756621E1,2.315754700E1,1.631452179E1,-4.058093262E1
1.678767221E1,2.522814941E1,1.765451813E1,-3.888796997E1
1.687777821E1,2.638838196E1,1.839909363E1,-3.799853516E1
1.696788421E1,2.694741821E1,1.800094604E1,-3.759103394E1
1.705799021E1,2.667601013E1,1.818166351E1,-3.749890137E1
1.714809621E1,2.780149841E1,2.080693054E1,-3.578341675E1
1.723820221E1,2.882754517E1,2.190798950E1,-3.420751953E1
1.732830921E1,2.625428772E1,1.921569061E1,-3.718740845E1
1.741841521E1,2.821899414E1,2.095753479E1,-3.490304565E1
1.750852121E1,2.920312500E1,2.228052521E1,-3.356665039E1
1.759862683E1,2.765591431E1,2.001877594E1,-3.516159058E1
1.768873283E1,2.684574890E1,2.151792908E1,-3.504351807E1
1.777883883E1,2.934136963E1,2.330195618E1,-3.208731079E1
1.786894483E1,2.728150940E1,2.124327087E1,-3.507702637E1
1.795905083E1,2.753863525E1,2.243038177E1,-3.409628296E1
1.804915683E1,3.108029175E1,2.564106750E1,-2.928353882E1
1.813926283E1,3.159178162E1,2.725670624E1,-2.740652466E1
1.822936883E1,3.313307190E1,2.968849182E1,-2.329022217E1
1.831947483E1,3.627627563E1,3.350031281E1,-1.094567871E1
1.840958083E1,3.529769897E1,3.768508148E1,1.617584229E0
1.849968783E1,3.159092712E1,4.133364868E1,1.055612183E1
