"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749162360963910E9,"2025-06-06 00:26:00.964 UTC+02:00"
"PAUSE",4.062595808333572E1,1.749162401589578E9,"2025-06-06 00:26:41.590 UTC+02:00"
"START",4.062595808333572E1,1.749162405455847E9,"2025-06-06 00:26:45.456 UTC+02:00"
"PAUSE",8.125277516667120E1,1.749162446082373E9,"2025-06-06 00:27:26.082 UTC+02:00"
"START",8.125277516667120E1,1.749162492646852E9,"2025-06-06 00:28:12.647 UTC+02:00"
"PAUSE",1.218700296666720E2,1.749162533263784E9,"2025-06-06 00:28:53.264 UTC+02:00"
"START",1.218700296666720E2,1.749162538501810E9,"2025-06-06 00:28:58.502 UTC+02:00"
"PAUSE",1.625193915833370E2,1.749162579150862E9,"2025-06-06 00:29:39.151 UTC+02:00"
"START",1.625193915833370E2,1.749162586692770E9,"2025-06-06 00:29:46.693 UTC+02:00"
"PAUSE",2.031269396666685E2,1.749162627299974E9,"2025-06-06 00:30:27.300 UTC+02:00"
"START",2.031269396666685E2,1.749162631992081E9,"2025-06-06 00:30:31.992 UTC+02:00"
"PAUSE",2.437765094583374E2,1.749162672641327E9,"2025-06-06 00:31:12.641 UTC+02:00"
"START",2.437765094583374E2,1.749162680575323E9,"2025-06-06 00:31:20.575 UTC+02:00"
"PAUSE",2.844043817916754E2,1.749162721202886E9,"2025-06-06 00:32:01.203 UTC+02:00"
"START",2.844043817916754E2,1.749162730825988E9,"2025-06-06 00:32:10.826 UTC+02:00"
"PAUSE",3.250104879583450E2,1.749162771431770E9,"2025-06-06 00:32:51.432 UTC+02:00"
"START",3.250104879583450E2,1.749162784800970E9,"2025-06-06 00:33:04.801 UTC+02:00"
"PAUSE",3.656385728750101E2,1.749162825428729E9,"2025-06-06 00:33:45.429 UTC+02:00"
"START",3.656385728750101E2,1.749162830268661E9,"2025-06-06 00:33:50.269 UTC+02:00"
"PAUSE",4.063088532500114E2,1.749162870938634E9,"2025-06-06 00:34:30.939 UTC+02:00"
