"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.989166678E-3,-4.907694397E0,-3.269201660E0,7.861950989E0
9.712183333E-2,-5.042863312E0,-3.194806366E0,7.860753479E0
1.972328333E-1,-4.700076141E0,-3.149001617E0,7.910300446E0
2.973438333E-1,-4.799469452E0,-3.102149048E0,7.867040405E0
3.974548333E-1,-4.907245331E0,-2.634820862E0,7.710765381E0
4.975658333E-1,-5.737718353E0,-3.012784882E0,8.177195435E0
5.976778333E-1,-4.537813568E0,-2.640808411E0,7.209757233E0
6.977888333E-1,-4.500241699E0,-2.230811005E0,6.304739227E0
7.979002500E-1,-5.907615051E0,-3.083437958E0,5.575455780E0
8.980112500E-1,-6.536457367E0,-4.987328796E0,5.064717865E0
9.981222500E-1,-5.813161469E0,-6.788084106E0,4.358636169E0
1.098233250E0,-5.220543823E0,-7.881560211E0,3.994144135E0
1.198345250E0,-5.288203125E0,-8.356372833E0,3.699257355E0
1.298456250E0,-4.461322632E0,-8.393046570E0,3.844006348E0
1.398567250E0,-3.998036041E0,-8.296048279E0,3.859274597E0
1.498678250E0,-4.806055756E0,-8.055947571E0,3.289709015E0
1.598789250E0,-4.182003479E0,-7.986042938E0,3.882176971E0
1.698901250E0,-4.853806458E0,-8.237370300E0,3.678750000E0
1.799012083E0,-4.986430664E0,-7.881111145E0,3.959416351E0
1.899123083E0,-4.957690430E0,-7.523804169E0,4.151916046E0
1.999234083E0,-4.999603271E0,-7.044201508E0,4.321064301E0
2.099345083E0,-5.241051178E0,-6.600673828E0,4.073479156E0
2.199457083E0,-5.322182465E0,-6.023623810E0,4.499044189E0
2.299568083E0,-5.836662598E0,-6.256838837E0,4.380640411E0
2.399679083E0,-5.228327637E0,-6.125861206E0,4.575086060E0
2.499790083E0,-5.875731354E0,-6.784491577E0,3.811523895E0
2.599901083E0,-5.119503937E0,-7.842790833E0,3.549868011E0
2.700013083E0,-3.828588409E0,-8.228538666E0,3.761677551E0
2.800123583E0,-4.640649719E0,-7.741601257E0,4.189188538E0
2.900234583E0,-5.330565033E0,-7.629185028E0,4.156406708E0
3.000345583E0,-4.985981598E0,-7.024592285E0,4.370162201E0
3.100456583E0,-5.655688934E0,-6.598428497E0,4.427642670E0
3.200568583E0,-5.704337769E0,-6.312373352E0,4.546645203E0
3.300679583E0,-5.473667450E0,-6.411467285E0,4.480333099E0
3.400790583E0,-5.570965118E0,-6.557114410E0,4.408931580E0
3.500901583E0,-5.577102356E0,-6.819069672E0,3.966900787E0
3.601013583E0,-4.923262024E0,-7.000941467E0,4.139940948E0
3.701124583E0,-5.841003571E0,-7.797285461E0,3.780238953E0
3.801236458E0,-4.430636444E0,-8.153245239E0,4.123924255E0
3.901347458E0,-4.525239716E0,-7.888445892E0,4.011508026E0
4.001458458E0,-4.669839020E0,-7.816146240E0,4.049528961E0
4.101570458E0,-4.591701508E0,-7.399861908E0,3.449127502E0
4.201681458E0,-5.482948151E0,-7.583679657E0,3.820654907E0
4.301792458E0,-5.849685516E0,-7.408843231E0,4.073179779E0
4.401903458E0,-5.638624420E0,-6.829697571E0,3.742966461E0
4.502015458E0,-6.002667389E0,-7.051985321E0,3.329526215E0
4.602126458E0,-5.284311218E0,-7.269033966E0,3.625610504E0
