"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.836183333E-2,1.870320179E-2,1.238129288E-2,5.913782865E-3
1.884728333E-1,-1.506556757E-3,1.619259082E-2,1.178418007E-2
2.885838333E-1,-2.321241982E-2,2.230434418E-1,-6.428867579E-2
3.886948333E-1,-1.336281747E-1,4.575673938E-1,-9.451112896E-2
4.888058333E-1,-1.939572543E-1,4.360192716E-1,-7.149935514E-2
5.889168333E-1,-1.582947671E-1,-2.128142864E-2,-6.961487234E-2
6.890288333E-1,-4.611265361E-1,8.624877930E-1,-3.210051656E-1
7.891402500E-1,-6.907620430E-1,8.606991172E-1,-6.973590851E-1
8.892512500E-1,-7.121545076E-1,2.890885342E-3,-6.029638052E-1
9.893622500E-1,-7.793036699E-1,6.202836037E-1,-6.131140590E-1
1.089473250E0,-6.437260509E-1,-1.051212177E-1,-7.596041560E-1
1.189584250E0,-5.271003842E-1,-2.278109789E-1,-5.434118509E-1
1.289696250E0,-2.476429492E-1,-2.295003831E-1,-2.360592037E-1
1.389807250E0,3.056846559E-2,4.020038843E-1,-1.124469191E-1
1.489918250E0,4.047078080E-3,-4.592169523E-1,1.400449127E-1
1.590029250E0,7.495561987E-2,-6.166982651E-1,8.176705986E-2
1.690140250E0,1.597662419E-1,-2.567307651E-1,1.181052923E-1
1.790252083E0,1.155313104E-1,4.173820019E-1,2.222516835E-1
1.890363083E0,1.802657545E-1,6.824324727E-1,2.603688538E-1
1.990474083E0,1.979017854E-1,3.308854103E-1,1.657890081E-1
2.090585083E0,3.076740354E-2,-2.853241563E-1,9.322421998E-2
2.190696083E0,1.712935418E-2,-7.822759449E-3,-4.650438204E-2
2.290808083E0,3.703752905E-2,2.010791600E-1,-5.706897378E-2
2.390919083E0,-2.195933461E-2,-1.643736959E-1,5.174073856E-3
2.491030083E0,-2.716636062E-1,-1.780613661E-1,5.654551461E-2
2.591141083E0,-2.681193948E-1,-2.922777534E-1,9.515857697E-2
2.691252083E0,-1.569295228E-1,-1.042678118E0,1.213884801E-1
2.791363583E0,1.901986450E-2,-2.497431487E-1,2.668140829E-2
2.891474583E0,1.430474818E-1,2.423820496E-1,-3.774983436E-2
2.991585583E0,1.424157768E-1,-3.768287301E-1,-1.318787336E-1
3.091696583E0,8.757525682E-2,1.257514805E-1,-1.552789956E-1
3.191807583E0,1.054458767E-1,4.215415716E-1,-1.856538206E-1
3.291919583E0,1.882547140E-2,1.753571928E-1,-1.212879866E-1
3.392030583E0,-1.478013396E-1,-1.942871064E-1,-2.967175562E-3
3.492141583E0,-2.049034834E-1,-2.785211802E-1,1.250896752E-1
3.592252583E0,-2.434610277E-1,-1.556121260E-1,1.470778584E-1
3.692364583E0,-3.264440596E-1,-1.024937406E-1,7.758441567E-2
3.792476458E0,-1.101824343E-1,2.302584648E-1,1.038004383E-1
3.892587458E0,-1.196575584E-3,1.451732069E-1,3.164934693E-3
3.992698458E0,1.151275113E-1,2.277649641E-1,-9.769704938E-2
4.092810458E0,1.113867089E-1,6.283535063E-2,-2.356182635E-1
4.192921458E0,7.919244468E-2,3.249523342E-1,-3.959007263E-1
4.293032458E0,1.707766503E-1,2.204221934E-1,-2.258287519E-1
4.393143458E0,1.184809804E-1,-3.162219748E-2,-3.994402662E-2
4.493255458E0,-6.860841811E-2,-2.289756536E-1,2.131037414E-1
4.593366458E0,-2.263902873E-1,-3.585721850E-1,4.006811678E-1
