"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.836183333E-2,-9.937635362E-2,7.296389580E-2,2.291172981E-2
1.884728333E-1,2.613214231E-1,1.001046243E-1,3.212869585E-2
2.885838333E-1,2.410748541E-1,1.375265121E-1,3.194684744E-2
3.886948333E-1,4.177092987E-1,5.558983004E-1,1.843679720E-1
4.888058333E-1,2.842828542E-1,8.984159142E-1,6.183541650E-1
5.889168333E-1,8.010831624E-1,7.727823463E-1,-6.391182125E-2
6.890288333E-1,1.257803330E0,1.698267361E0,-7.263820589E-1
7.891402500E-1,3.285913002E-1,1.646817418E0,-5.173207104E-1
8.892512500E-1,-6.821882182E-1,4.393480897E-1,-3.035862672E-1
9.893622500E-1,-7.715985775E-3,-5.425894529E-1,-2.694221556E-1
1.089473250E0,4.201844251E-1,-8.581905788E-1,-7.357902288E-2
1.189584250E0,-1.840393585E-1,-9.826813084E-1,-1.101323068E-2
1.289696250E0,1.606388015E-1,-6.725099069E-1,1.073043010E-1
1.389807250E0,6.775379276E-1,-4.196558368E-1,1.687348562E-1
1.489918250E0,-2.676042563E-1,-3.309676087E-1,-3.332348666E-1
1.590029250E0,8.153152853E-2,-2.997200882E-1,-1.935337749E-1
1.690140250E0,-1.521463054E-1,-6.204919070E-1,-4.670130211E-1
1.790252083E0,-3.397056878E-2,-5.042065752E-1,-2.400065678E-1
1.890363083E0,4.126251447E-1,-2.519968683E-1,1.062474167E-1
1.990474083E0,2.008226216E-1,4.977676213E-2,2.242500758E-1
2.090585083E0,7.778141677E-2,3.292754245E-1,-9.588147283E-2
2.190696083E0,8.697265506E-2,8.910805821E-1,3.020893800E-1
2.290808083E0,-2.999224019E-1,7.248933578E-1,5.250045365E-1
2.390919083E0,2.512741524E-1,8.288580215E-1,5.787445414E-1
2.491030083E0,-1.340281230E-1,4.012254131E-1,-2.023741803E-1
2.591141083E0,-3.861150384E-2,-5.567455620E-1,-3.868471098E-1
2.691252083E0,7.711553586E-1,-1.087777993E0,-6.343860608E-1
2.791363583E0,1.847790313E-1,-7.903505981E-1,-4.402602553E-2
2.891474583E0,2.505128449E-1,-6.332265580E-1,6.851299524E-2
2.991585583E0,2.628399450E-1,-7.997938514E-2,-3.327913553E-2
3.091696583E0,-4.552139246E-1,3.048445880E-1,1.442391157E-2
3.191807583E0,-2.943195999E-1,7.961679929E-1,2.347072363E-1
3.291919583E0,-2.158716005E-1,6.421301132E-1,2.863276255E-1
3.392030583E0,-4.121538591E-1,7.365948057E-1,1.588708958E-1
3.492141583E0,-3.747749484E-1,4.724760747E-1,-1.164429143E-1
3.592252583E0,1.159093559E-1,3.079862970E-1,-2.497053444E-3
3.692364583E0,-2.667312670E-1,-3.350735235E-1,-5.459428310E-2
3.792476458E0,1.271830800E0,-9.172837096E-1,3.737648419E-1
3.892587458E0,7.962480998E-1,-5.591844356E-1,5.258020967E-2
3.992698458E0,4.704704797E-1,-4.865707880E-1,2.133482346E-1
4.092810458E0,5.847817916E-1,-1.420066488E-1,-3.204832587E-1
4.192921458E0,-1.901222169E-1,5.645486712E-3,1.119753492E-1
4.293032458E0,-8.483695954E-1,1.969201899E-1,4.172646180E-1
4.393143458E0,-7.390325099E-1,7.884058142E-1,6.257924080E-2
4.493255458E0,-1.241929893E0,5.848297387E-1,-4.315256846E-1
4.593366458E0,-4.009967870E-1,3.078962499E-1,-2.480295324E-1
4.693477458E0,9.760178214E-1,-5.585850960E-1,2.224210668E-1
4.793587958E0,1.128533086E0,-8.177120590E-1,1.926610780E-1
4.893699958E0,8.419972998E-1,-5.280333942E-1,1.103895843E-1
4.993810958E0,5.071307677E-1,-5.917662907E-1,1.646529150E-1
5.093921958E0,2.955007374E-1,6.520931840E-2,-2.098770350E-2
5.194033958E0,-4.256843162E-1,4.342259288E-1,5.294683009E-2
5.294144958E0,-9.660173285E-1,1.015399988E0,-3.261851710E-1
5.394255958E0,-1.315251054E0,1.049852368E0,-3.041785902E-1
5.494367958E0,-2.185139573E-1,1.387398094E-1,-5.913581550E-2
5.594478958E0,8.898994446E-1,-2.549812871E-1,4.434528351E-3
5.694589958E0,8.613562614E-1,-3.678518450E-1,2.928396696E-1
5.794703083E0,9.080813617E-1,-9.945043784E-1,1.909788340E-1
5.894814083E0,1.140086600E0,-8.283346957E-1,2.493442789E-1
5.994925083E0,-2.117820579E-1,-1.461853030E0,-2.323233265E-1
6.095037083E0,-1.914249181E0,-1.744285240E0,-5.639551789E-1
6.195148083E0,-3.093671755E0,-5.389074612E-1,-9.462303507E-1
6.295259083E0,6.843896949E-1,4.125124104E0,1.164601051E0
6.395371083E0,3.751819730E0,3.065289370E0,7.039024383E-1
6.495482083E0,-4.957916717E0,-2.302226558E0,-3.158788687E0
6.595593083E0,-3.197946321E0,-2.197930942E0,-3.586021346E-1
6.695705083E0,7.814975628E0,5.649528893E0,3.060545524E0
6.795815000E0,1.262534897E0,3.537732115E-1,-1.970668380E0
6.895926000E0,-2.159784876E0,-1.932047521E0,-2.463803837E0
6.996038000E0,-2.439315698E0,3.786466822E0,3.348451898E0
7.096149000E0,6.216597714E0,2.535698277E0,-1.303561301E0
7.196260000E0,-1.929984038E0,-2.599238800E0,-3.225399583E0
7.296372000E0,-4.961638470E0,-8.921564698E-1,-1.043213439E-1
7.396483000E0,9.213592774E0,2.635629824E0,3.781385592E0
7.496595000E0,-3.924578640E0,-7.022797190E0,-2.909781500E0
7.596706000E0,-4.244944078E0,-2.119403420E0,-5.062747353E-1
7.696817000E0,-7.142280364E-1,3.612342587E-1,-2.969286275E-1
7.796928708E0,-1.619342521E0,1.845059078E0,-1.089466961E0
7.897039708E0,5.411574113E0,4.523925846E0,5.384905547E0
7.997151708E0,-8.442028695E-1,2.296709125E0,-3.324747870E0
8.097262708E0,-2.079877412E0,-1.034435950E1,-3.066226094E0
8.197373708E0,2.733557530E0,-4.484958539E0,-3.473503375E-1
8.297485708E0,5.937684942E0,1.092385482E1,7.448335326E-1
8.397596708E0,1.217187400E0,1.349002352E-1,-2.930662492E0
8.497708708E0,-3.044693722E0,-8.758652499E0,-4.229350723E0
8.597819708E0,2.100136845E0,-1.870280751E0,5.491482747E-1
8.697931708E0,2.276619846E0,8.605746056E0,2.614160895E0
8.798045208E0,1.087454642E0,-2.321027695E0,2.036203973E0
8.898156208E0,-3.370762534E0,-7.554714890E0,-2.086378931E0
8.998268208E0,2.619782993E0,1.609314254E0,5.216301084E-3
9.098380208E0,1.387964104E0,5.022573473E0,2.662187585E0
9.198491208E0,-1.737886047E-1,-1.817749073E0,1.928206485E0
9.298603208E0,1.873342645E-1,-4.480154467E0,-8.040190494E-1
9.398714208E0,-2.264147151E0,-4.871788985E-1,8.049639595E-1
9.498826208E0,-1.552542175E0,-6.123192537E-1,7.208704734E-1
9.598938208E0,-7.756904590E-1,4.992937446E-3,-3.860290843E-1
9.699049208E0,2.833707178E0,4.870800805E-1,3.460113251E-1
9.799159458E0,7.777147651E-2,2.509926090E0,-1.077973382E0
9.899271458E0,4.527229815E0,3.370524260E0,-5.867142963E-1
9.999382458E0,-3.104599616E-1,1.757429489E0,-1.290850039E0
1.009949446E1,-1.706756056E0,-2.682730316E0,1.308967636E0
1.019960546E1,-2.197793532E0,-6.891847041E0,-8.651891112E-2
1.029971746E1,5.201032834E0,3.772497531E0,5.480326259E-1
1.039982946E1,1.039599275E0,4.623702734E0,-2.826187366E0
1.049994046E1,-2.012780612E0,-2.349834003E0,-1.574194415E0
1.060005246E1,-4.439349672E0,-8.074901320E0,2.840380313E0
1.070016346E1,5.892308210E0,4.393981126E0,-1.020339131E-2
1.080027637E1,9.371113256E-1,4.738196771E0,-2.627419456E0
1.090038837E1,-1.391791107E0,-2.253935281E0,4.937757272E-1
1.100049937E1,-2.781920728E0,-6.376599169E0,1.234151927E0
1.110061137E1,8.358762590E0,6.271842792E0,-2.256107229E-1
1.120072237E1,1.099666260E0,3.414151213E-1,-3.526941079E0
1.130083437E1,-1.300741481E0,-4.305468022E0,7.401095670E-1
1.140094537E1,-9.844717258E-1,-4.039183483E-1,2.794787818E-1
1.150105737E1,-3.413062461E0,1.362080820E0,-1.788007795E0
1.160116937E1,2.251460447E0,-1.211582552E-1,2.052351936E0
1.170128037E1,2.923882645E-1,8.495467861E-1,-1.494899300E0
1.180139208E1,1.995947063E-1,1.168683431E0,3.054307129E0
1.190150308E1,-1.667805414E0,-1.187002319E-1,-1.032760518E0
1.200161508E1,-3.493910158E-1,-6.761595927E-1,-1.345573545E0
1.210172708E1,4.201674682E-1,2.473702589E0,9.121167591E0
1.220183808E1,-4.662619463E0,5.261885977E-1,-1.912366670E0
