"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.836183333E-2,3.896612549E1,1.661099243E1,-2.232254028E1
1.884728333E-1,3.903262329E1,1.657315063E1,-2.237243652E1
2.885838333E-1,3.912538147E1,1.661718750E1,-2.211416626E1
3.886948333E-1,3.951826477E1,1.704429626E1,-2.087298584E1
4.888058333E-1,4.025621033E1,1.794149780E1,-1.878479004E1
5.889168333E-1,4.038450623E1,1.833964539E1,-1.846585083E1
6.890288333E-1,4.037719727E1,1.951400757E1,-1.715374756E1
7.891402500E-1,4.097891235E1,2.228085327E1,-1.200283813E1
8.892512500E-1,4.017430115E1,2.621850586E1,-7.938873291E0
9.893622500E-1,3.907168579E1,3.040754700E1,-4.363616943E0
1.089473250E0,3.789782715E1,3.492718506E1,7.846984863E-1
1.189584250E0,3.607046509E1,3.889137268E1,5.274719238E0
1.289696250E0,3.478981018E1,4.113122559E1,8.567047119E0
1.389807250E0,3.441276550E1,4.230831909E1,1.092776489E1
1.489918250E0,3.381436157E1,4.348075867E1,1.519750977E1
1.590029250E0,3.579609680E1,4.348553467E1,1.448995972E1
1.690140250E0,3.612979126E1,4.365031433E1,1.304803467E1
1.790252083E0,3.599922180E1,4.363981628E1,1.099273682E1
1.890363083E0,3.573461914E1,4.248983765E1,9.985717773E0
1.990474083E0,3.552345276E1,4.092942810E1,8.227966309E0
2.090585083E0,3.528703308E1,3.965682983E1,6.029815674E0
2.190696083E0,3.519844055E1,3.842079163E1,4.457489014E0
2.290808083E0,3.490930176E1,3.820907593E1,4.424713135E0
2.390919083E0,3.491239929E1,3.894715881E1,5.315277100E0
2.491030083E0,3.574467468E1,3.997117615E1,5.956451416E0
2.591141083E0,3.748664856E1,4.124188995E1,7.857025146E0
2.691252083E0,4.034053040E1,4.065489197E1,1.134664917E1
2.791363583E0,4.170907593E1,3.889606476E1,9.745697021E0
2.891474583E0,4.048738098E1,3.858373260E1,8.587371826E0
2.991585583E0,3.870796204E1,3.870714569E1,6.589172363E0
3.091696583E0,3.668847656E1,3.877663422E1,4.515869141E0
3.191807583E0,3.488414001E1,4.088887787E1,3.282989502E0
3.291919583E0,3.385401917E1,4.151485443E1,4.433593750E0
3.392030583E0,3.356562805E1,4.185416412E1,4.725433350E0
3.492141583E0,3.386286926E1,4.189076996E1,5.239044189E0
3.592252583E0,3.533988953E1,4.195072937E1,5.117980957E0
3.692364583E0,3.660554504E1,4.153254700E1,6.901092529E0
3.792476458E0,3.788299561E1,4.125009155E1,7.872772217E0
3.892587458E0,3.852578735E1,4.077746582E1,8.387969971E0
