"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749630750219223E9,"2025-06-11 10:32:30.219 UTC+02:00"
"PAUSE",4.072927866666578E1,1.749630790948094E9,"2025-06-11 10:33:10.948 UTC+02:00"
"START",4.072927866666578E1,1.749630795013637E9,"2025-06-11 10:33:15.014 UTC+02:00"
"PAUSE",8.137649166666961E1,1.749630835660444E9,"2025-06-11 10:33:55.660 UTC+02:00"
"START",8.137649166666961E1,1.749630864052772E9,"2025-06-11 10:34:24.053 UTC+02:00"
"PAUSE",1.220042934166704E2,1.749630904680168E9,"2025-06-11 10:35:04.680 UTC+02:00"
"START",1.220042934166704E2,1.749630908722294E9,"2025-06-11 10:35:08.722 UTC+02:00"
"PAUSE",1.626292109166679E2,1.749630949346806E9,"2025-06-11 10:35:49.347 UTC+02:00"
"START",1.626292109166679E2,1.749630954170769E9,"2025-06-11 10:35:54.171 UTC+02:00"
"PAUSE",2.032317013749998E2,1.749630994772853E9,"2025-06-11 10:36:34.773 UTC+02:00"
"START",2.032317013749998E2,1.749630999682499E9,"2025-06-11 10:36:39.682 UTC+02:00"
"PAUSE",2.438564977916540E2,1.749631040306890E9,"2025-06-11 10:37:20.307 UTC+02:00"
"START",2.438564977916540E2,1.749631045697282E9,"2025-06-11 10:37:25.697 UTC+02:00"
"PAUSE",2.844609731666569E2,1.749631086301352E9,"2025-06-11 10:38:06.301 UTC+02:00"
"START",2.844609731666569E2,1.749631091981241E9,"2025-06-11 10:38:11.981 UTC+02:00"
"PAUSE",3.251021726666513E2,1.749631132622035E9,"2025-06-11 10:38:52.622 UTC+02:00"
"START",3.251021726666513E2,1.749631146210375E9,"2025-06-11 10:39:06.210 UTC+02:00"
"PAUSE",3.657287909166480E2,1.749631186836588E9,"2025-06-11 10:39:46.837 UTC+02:00"
"START",3.657287909166480E2,1.749631191591089E9,"2025-06-11 10:39:51.591 UTC+02:00"
"PAUSE",4.063546202083089E2,1.749631232216513E9,"2025-06-11 10:40:32.217 UTC+02:00"
