"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.053333338E-3,-1.785884202E-1,-7.897681557E-3,4.862966388E-2
9.616533334E-2,-1.378285736E-1,8.618034422E-3,1.731350720E-1
1.862758750E-1,-9.227646142E-2,-8.444002271E-2,1.904948056E-1
2.763878750E-1,-2.595611289E-2,-3.683048487E-2,7.141573727E-2
3.664988750E-1,1.507928595E-2,1.221647486E-2,-1.113258116E-2
4.566108750E-1,-2.119211014E-3,7.699782494E-3,-1.356737502E-2
5.467218750E-1,-2.905276231E-2,1.126458123E-2,3.880951926E-2
6.368338750E-1,-4.318673164E-2,5.732474923E-1,2.713729069E-2
7.269458750E-1,-3.841177523E-1,1.718437076E0,-2.083800137E-1
8.170568750E-1,-6.759090424E-1,3.048930645E0,-5.355312824E-1
9.071688750E-1,-6.558277607E-1,3.026901484E0,-8.324015141E-1
9.972798750E-1,-5.234309435E-1,2.331670046E0,-1.044549584E0
1.087391875E0,-3.064774871E-1,1.771106482E0,-9.868195057E-1
1.177502583E0,-2.258712053E-1,1.346576691E0,-7.666951418E-1
1.267614583E0,-1.746197641E-1,2.637238204E-1,-4.797100723E-1
1.357726583E0,-2.328715920E-1,3.468849957E-1,-3.394032121E-1
1.447837583E0,-2.850007117E-1,6.105399504E-2,-2.881208360E-1
1.537949583E0,-2.833344042E-1,-2.384405583E-1,-1.893685162E-1
1.628060583E0,-2.752734125E-1,-1.373927295E-1,-1.571676880E-1
1.718172583E0,-1.873145252E-1,-2.487976402E-1,-1.428151736E-4
1.808284583E0,-1.107078716E-1,-2.447293140E-2,2.660257928E-2
1.898395583E0,4.457743093E-2,1.818235219E-2,-9.935962409E-2
1.988507583E0,2.109182477E-1,-8.187582344E-2,-1.066222638E-1
2.078619583E0,1.403256655E-1,-3.975405991E-1,-4.693231359E-2
2.168730583E0,1.029766798E-1,-2.331204116E-1,5.035731569E-2
2.258842708E0,8.114925027E-2,-1.086389646E-1,8.436141163E-2
2.348953708E0,-2.232964188E-1,-5.284937024E-1,1.042736918E-1
2.439065708E0,-5.390559435E-1,-3.798357844E-1,-4.131140560E-2
2.529177708E0,-3.950225115E-1,-2.509928495E-2,1.516144630E-2
2.619288708E0,9.330646694E-2,2.555804849E-1,-1.184606254E-1
2.709400708E0,6.042749882E-1,9.470913559E-2,-2.597613335E-1
2.799511708E0,5.024003386E-1,-2.953561582E-2,-6.075995788E-2
2.889623708E0,3.197588399E-2,5.640856549E-2,1.028161123E-1
2.979735708E0,-4.603870511E-1,-2.598048151E-1,3.648437858E-1
3.069846708E0,-4.043773413E-1,-2.434389144E-1,3.662639260E-1
3.159958708E0,5.185914412E-2,6.318352818E-1,-5.775142089E-2
3.250070208E0,6.104889512E-1,3.038368523E-1,-1.662129313E-1
3.340182208E0,8.134728074E-1,3.953023553E-1,5.357906222E-3
3.430294208E0,1.063968062E0,1.387172341E0,2.743774652E-1
3.520405208E0,1.225065351E0,2.641935110E0,6.555274129E-1
3.610517208E0,9.044439793E-1,2.687523842E0,6.345171332E-1
3.700629208E0,4.343777597E-1,2.148173332E0,3.412028849E-1
3.790740208E0,-6.606878713E-3,1.698518038E0,5.309645534E-1
3.880852208E0,-8.928017691E-3,9.368984103E-1,3.895876408E-1
3.970963208E0,2.570481002E-1,6.345861554E-1,-1.893622056E-2
4.061075208E0,2.803504169E-1,7.968504429E-1,-3.232973814E-1
4.151187208E0,2.244329266E-2,7.534883022E-1,-3.018521965E-1
4.241298125E0,-1.335179508E-1,4.971504509E-1,5.084511638E-1
4.331410125E0,-4.662449285E-2,3.057119250E-1,4.781926572E-1
4.421522125E0,9.844184667E-2,3.956514001E-1,-2.845995724E-1
4.511633125E0,-3.143195510E-1,4.104742408E-1,4.383095726E-2
4.601745125E0,-2.267285436E-1,-1.994722486E-1,7.503081113E-2
4.691857125E0,1.418825537E-1,-2.701421678E-1,-6.725895405E-1
4.781968125E0,-2.126014382E-1,-1.176382974E-1,2.990667224E-1
4.872080125E0,7.879625261E-2,-8.181241751E-1,-3.176359236E-1
4.962191125E0,-8.454606682E-2,-1.616565108E0,-5.158680677E-1
5.052303125E0,-5.451008677E-1,-2.454066515E0,-1.998958141E-1
5.142415125E0,-1.174903512E0,-2.871954203E0,-3.565347567E-2
5.232525833E0,-1.802933216E0,-2.734704018E0,4.987479448E-1
5.322637833E0,-1.505854607E0,-3.917711020E0,9.081662297E-1
5.412749833E0,-7.647962570E-1,-3.780405760E0,1.119838715E0
5.502860833E0,-7.267588973E-1,-4.359407425E0,6.694301963E-1
5.592972833E0,-8.848631978E-1,-1.705688834E0,7.785178423E-1
5.683083833E0,-2.779905200E-1,-1.760185242E0,-1.029049277E0
