"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.053333338E-3,-3.937639274E-1,3.563015476E-2,-1.652773976E-2
9.616533334E-2,-4.444839916E-1,-8.976353109E-2,-5.332251370E-2
1.862758750E-1,-2.106038805E-1,-2.359031381E-1,6.571861088E-2
2.763878750E-1,-1.577828021E-1,-3.964687032E-1,1.594980097E-1
3.664988750E-1,4.705692977E-3,-1.907624871E-2,9.503128767E-2
4.566108750E-1,3.281472042E-2,9.414543450E-2,-2.405544519E-3
5.467218750E-1,-2.887104390E-1,1.841793993E-1,-4.755306602E-2
6.368338750E-1,-5.973815180E-2,1.649123852E-1,-2.030398858E-1
7.269458750E-1,1.215040595E0,8.647339055E-1,-1.631130508E0
8.170568750E-1,3.266868621E-1,-5.281450760E-1,-2.859493107E-1
9.071688750E-1,3.543406838E-1,1.082571048E-1,-1.212466943E-1
9.972798750E-1,5.457972354E-1,3.268301189E-2,-1.420990348E-1
1.087391875E0,-9.855815274E-1,-5.910125846E-1,-2.872000301E-1
1.177502583E0,-4.307743174E-1,-3.904641974E-1,-3.004878277E-1
1.267614583E0,-9.124556637E-1,1.722490329E-1,-1.984264326E-1
1.357726583E0,-6.948801845E-1,4.550215513E-1,2.124217433E-1
1.447837583E0,-1.167962031E0,8.712035573E-1,-2.982079983E-3
1.537949583E0,-5.149484950E-1,4.566283661E-1,-2.950285748E-2
1.628060583E0,2.776573741E-1,-2.857388109E-1,5.489380673E-2
1.718172583E0,6.836330652E-1,-1.023879036E0,2.042397344E-1
1.808284583E0,1.055792554E0,-1.063464686E0,3.620864904E-1
1.898395583E0,1.337013806E0,-1.063680448E0,5.512215512E-1
1.988507583E0,-9.914538860E-3,-3.121729034E-1,2.608950149E-1
2.078619583E0,-1.085531493E0,4.913315910E-1,-2.394766639E-1
2.168730583E0,-9.653191710E-1,2.480213463E-1,-3.043611695E-1
2.258842708E0,-5.108045733E-1,1.382884043E0,-6.418289816E-1
2.348953708E0,-1.385357416E-1,2.087519723E0,-1.213518857E0
2.439065708E0,5.741018522E-1,-1.000307740E0,-3.014552495E-1
2.529177708E0,1.486376252E0,-1.966658360E0,1.144395413E0
2.619288708E0,1.131211111E0,-1.717490959E0,1.333411483E0
2.709400708E0,4.883056569E-1,-9.734807146E-1,9.641181529E-1
2.799511708E0,-1.245866239E0,1.284770104E0,-1.034521553E0
2.889623708E0,-1.760366837E0,2.405648015E0,-1.916765969E0
2.979735708E0,-1.183095794E0,5.591826814E-1,-1.193326083E0
3.069846708E0,9.599268687E-1,-1.187701646E0,8.767063719E-1
3.159958708E0,3.166703478E0,-1.555025488E0,2.457398797E0
3.250070208E0,8.232458639E-1,-1.816006018E0,1.018700157E0
3.340182208E0,-7.280952930E-2,-8.877459151E-1,1.496983686E-1
3.430294208E0,-9.378325796E-1,4.139565557E-1,5.172388494E-1
3.520405208E0,-7.411123645E-1,1.003759351E0,1.900771934E-1
3.610517208E0,2.487849927E-1,1.745959883E0,-1.093733967E0
3.700629208E0,8.579327166E-1,1.286471643E0,-1.610703260E0
3.790740208E0,-4.195880091E-1,-6.128373170E-1,-1.245801627E0
3.880852208E0,1.087540596E0,-6.751013929E-1,1.876046982E-1
3.970963208E0,1.839850963E0,-5.748193055E-1,1.268046775E0
4.061075208E0,6.741126287E-1,-4.528691912E-1,4.714507654E-1
4.151187208E0,-1.320852687E0,-2.804745626E-1,-1.305606657E0
4.241298125E0,-1.727981449E0,1.088371485E-1,-3.316786301E-1
4.331410125E0,5.689282358E-1,5.409387839E-1,7.285420203E-1
4.421522125E0,1.703017931E0,2.613921744E-1,-1.712175840E-1
4.511633125E0,-2.055546563E0,-8.695061105E-1,-1.104363620E0
4.601745125E0,1.004891372E0,7.482600009E-1,1.764600806E0
4.691857125E0,-1.367470783E-1,-1.068255894E0,-4.021750009E-1
4.781968125E0,-4.846043694E-1,-1.421516597E-1,-9.131473893E-1
4.872080125E0,9.309796429E-1,3.397857946E-1,1.218536938E0
4.962191125E0,5.512222821E-1,-1.501974285E0,-4.934465289E-3
5.052303125E0,-2.771229386E-2,-1.495314891E0,-1.148759190E0
5.142415125E0,-1.764801366E0,1.009638727E-1,-1.912952561E0
5.232525833E0,-1.764573909E0,3.547985208E-1,-1.664809885E0
5.322637833E0,-5.021091789E-1,2.912808019E-1,-3.294625354E-1
5.412749833E0,1.741401978E0,4.846447152E-1,4.907255271E-1
5.502860833E0,1.446531571E0,7.723747954E-1,-5.523876321E-1
5.592972833E0,2.020970515E0,1.363663661E0,-9.571646440E-1
5.683083833E0,4.913677853E0,2.258057275E-1,7.912475610E-1
5.773195833E0,-3.108579231E0,-3.054552128E0,-2.944140909E0
5.863307833E0,-2.159284793E0,-2.504647223E0,1.368195838E0
5.953418833E0,-2.338653834E0,2.127499475E0,4.056332781E0
6.043530833E0,3.985513059E0,2.799519385E0,-5.668466270E-2
6.133642833E0,2.892136357E0,-3.768533996E0,-2.722451913E0
6.223754250E0,-2.931573780E0,-3.838381034E0,-2.139468141E0
6.313866250E0,-4.372364262E0,-5.952032840E-1,3.931650263E0
6.403978250E0,3.040168854E0,3.774817707E0,1.815592620E0
6.494089250E0,3.823454846E0,-1.309019092E-1,-1.156333088E0
6.584201250E0,-6.286914575E-1,-2.723168782E0,-3.264854255E0
6.674312250E0,-2.483328860E0,-1.293368434E0,6.324746060E-1
6.764424250E0,-3.606228446E0,2.368664376E0,2.331055670E0
6.854536250E0,4.992338691E0,1.340623292E0,6.063667881E-1
6.944647250E0,1.540208351E0,-2.471129521E0,-2.626802575E0
7.034759250E0,-2.360994291E0,-3.312999644E0,-1.872587770E0
7.124871250E0,-4.789204080E0,-1.682800598E0,1.766257907E0
7.214982208E0,2.321292281E0,3.952740878E0,3.035586099E0
7.305094208E0,4.332316098E0,1.090907423E0,-9.829678220E-1
7.395206208E0,3.969051686E0,-1.577918799E0,-3.193559155E0
7.485317208E0,-6.786667911E0,-2.643170101E0,-1.628227365E0
7.575429208E0,-3.160971745E0,1.418465228E0,4.036721220E0
7.665540208E0,4.379988447E0,3.945920978E0,1.077702071E0
7.755652208E0,3.811241475E0,-2.004106560E0,-1.728032320E0
7.845764208E0,-1.088617799E0,-3.468438809E0,-3.161565530E0
7.935875208E0,-5.014542907E0,-2.104547984E0,1.582612066E0
8.025987208E0,1.921609949E0,3.933717254E0,4.645169032E0
8.116099208E0,2.754133297E0,2.337649283E0,1.440707159E-1
8.206209833E0,2.195215641E0,-1.368367161E0,-4.420397385E0
8.296321833E0,-5.565195086E0,-3.291697361E0,-2.550515707E0
8.386433833E0,-1.653615098E0,1.464469074E0,3.969853631E0
8.476544833E0,3.785555241E0,3.922990244E0,1.536158862E0
8.566656833E0,1.891956964E0,-3.059967234E0,2.464814236E0
8.656768833E0,-2.428307730E0,-2.132398272E0,-2.679878921E0
8.746879833E0,1.644969405E0,2.744487438E0,-3.114353941E0
8.836991833E0,3.333106465E0,3.065170964E0,4.373003948E-1
8.927102833E0,2.111853641E0,3.866617531E-1,-2.998082058E0
9.017214833E0,-4.657448770E0,-8.810544784E0,8.796375811E-2
9.107326833E0,-5.506612417E-1,-3.299013982E0,7.370111275E-1
9.197437833E0,6.902850916E0,9.493056353E0,-7.509403646E-1
9.287549833E0,8.757386577E-1,3.275055308E0,-1.503430241E0
9.377661833E0,-1.799399341E0,-3.415838134E0,-8.772022158E-1
9.467772833E0,-1.923248631E0,-3.583062655E0,1.957653063E0
9.557884833E0,9.912609279E-2,5.154717624E0,-1.133630689E0
9.647995833E0,4.624997015E0,3.505930571E0,9.165645021E-1
9.738107833E0,-2.598923051E0,-5.299725648E0,-1.430144164E0
9.828219833E0,-2.259573751E0,-3.854180503E0,9.295201778E-1
9.918330833E0,5.754706854E-1,2.254359496E0,-1.324485562E0
1.000844283E1,4.305678814E0,4.874262064E0,1.415001045E0
1.009855483E1,-9.192127061E-1,-2.560019771E0,-1.224279488E0
1.018866621E1,-2.886808375E0,-4.210338501E0,-8.167022449E-1
1.027877821E1,1.749882634E0,7.304601994E-1,-6.873349375E-1
1.036888921E1,-1.220933419E0,9.635115042E-1,-4.485399127E-2
1.045900121E1,8.592965797E-2,8.435514897E-2,1.367676020E0
1.054911321E1,8.866925392E-1,1.317433235E-1,3.369072104E-1
1.063922421E1,-6.548169632E-1,-1.783394927E-1,-8.851257777E-1
1.072933621E1,8.596341102E-1,8.394432360E-1,-5.379906178E-2
1.081944721E1,1.106475927E-1,3.774611592E-2,1.069046438E-2
1.090955921E1,3.773734510E-1,1.310245253E0,-3.610608888E-1
1.099967121E1,2.186398332E0,3.127666882E0,-1.390746210E0
1.108978221E1,-1.346581313E0,-3.380997500E0,-1.179734230E-1
1.117989421E1,-2.568208212E0,-7.018382542E0,1.619706802E0
1.127000471E1,3.914763504E-1,-4.260427505E-1,3.895613873E-1
1.136011671E1,5.155133361E0,7.897614911E0,-1.232308885E0
1.145022871E1,-1.078938026E0,7.025137246E-2,-2.439980527E0
1.154033971E1,-2.986246416E0,-6.196149416E0,3.215213149E0
1.163045171E1,4.223935032E-1,-1.664936185E0,2.056559300E-1
1.172056271E1,6.246888630E0,9.681561815E0,-1.982140033E0
1.181067471E1,-1.675373465E0,-4.047185397E-1,-1.206418583E0
1.190078671E1,-5.044395282E0,-7.979196433E0,1.884226652E0
1.199089771E1,7.950476664E-1,-2.201359749E-2,-5.813769579E-2
1.208100971E1,5.242173259E0,7.073424722E0,-1.602720056E0
1.217112071E1,-1.448099209E0,-6.489052820E-1,-1.045422517E0
