"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.211125011E-3,-3.936364288E0,-2.210453339E0,8.346493378E0
9.890287499E-2,-4.620890808E0,-2.751428375E0,8.504414978E0
1.990157500E-1,-4.586761780E0,-2.689457245E0,8.096064148E0
2.991287500E-1,-4.612807617E0,-2.632276154E0,7.873926086E0
3.992417500E-1,-4.583318939E0,-2.744093628E0,7.964936829E0
4.993547500E-1,-4.358486481E0,-1.932780762E0,6.746320953E0
5.994677500E-1,-6.503825226E0,-2.564317474E0,6.365662537E0
6.995807500E-1,-6.978338470E0,-3.797752533E0,4.706812134E0
7.996937500E-1,-7.677534485E0,-6.064937897E0,2.909649353E0
8.998067500E-1,-6.448590088E0,-7.738457794E0,1.295106812E0
9.999197500E-1,-6.601422272E0,-9.536818085E0,2.059716797E-1
1.100033750E0,-5.494174805E0,-9.309889984E0,-5.328918457E-2
1.200146917E0,-5.002447357E0,-8.649463348E0,1.219963074E-1
1.300259917E0,-4.845723267E0,-9.078920288E0,6.855743408E-2
1.400372917E0,-5.080734558E0,-9.166787567E0,-3.104544067E-1
1.500486917E0,-5.577401733E0,-8.629105682E0,-4.456233215E-1
1.600599917E0,-5.791905670E0,-7.982749786E0,-4.984634399E-1
1.700712917E0,-6.466702423E0,-7.762407990E0,-4.050576782E-1
1.800826917E0,-7.102430420E0,-6.716832275E0,-3.902384949E-1
1.900939917E0,-6.968009949E0,-5.990841980E0,-5.493576050E-2
2.001052917E0,-7.234755249E0,-6.124963074E0,2.341131592E-1
2.101166917E0,-7.523205414E0,-6.681206360E0,1.905537415E-1
2.201279875E0,-7.043153687E0,-6.183940430E0,-1.669029236E-1
2.301392875E0,-6.513704681E0,-6.518195343E0,-1.227447510E-1
2.401506875E0,-5.773943024E0,-7.332352295E0,6.990463257E-2
2.501619875E0,-6.206393738E0,-8.925040283E0,1.398092651E-1
2.601732875E0,-5.394182739E0,-8.722661133E0,9.550140381E-2
2.701846875E0,-5.325176239E0,-8.443491669E0,1.764830017E-1
