"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.006287499E-2,-6.322411448E-2,2.866919339E-1,8.411716670E-3
1.201758750E-1,-8.667221665E-2,8.619834483E-2,1.608034223E-2
2.202887500E-1,-1.099154651E-1,7.152561098E-2,1.673679799E-3
3.204017500E-1,-1.526386887E-1,2.152683735E-1,-3.039731830E-2
4.205147500E-1,-2.393004149E-1,5.066149235E-1,-1.372379065E-1
5.206277500E-1,-5.705347061E-1,1.274021864E0,-5.283752084E-1
6.207417500E-1,-6.155356169E-1,1.763508797E0,-7.943016887E-1
7.208547500E-1,-7.201848030E-1,1.863064408E0,-9.398176074E-1
8.209677500E-1,-6.223765016E-1,1.391323209E0,-9.543969035E-1
9.210807500E-1,-4.310328662E-1,1.953597188E0,-1.353696227E0
1.021193750E0,-2.143236250E-1,5.398241282E-1,-7.895978093E-1
1.121306750E0,-3.063415587E-1,3.186677992E-1,-1.455848515E-1
1.221419917E0,-1.837771684E-1,1.886488944E-1,-7.120572776E-2
1.321533917E0,1.306500565E-2,5.557154417E-1,9.040334076E-2
1.421646917E0,1.515546441E-1,4.921112061E-1,2.151710689E-1
1.521759917E0,3.654426336E-1,2.020730227E-1,2.932783961E-1
1.621873917E0,5.860300660E-1,5.519006029E-2,2.189371735E-1
1.721986917E0,5.918202400E-1,2.533593476E-1,2.499094009E-1
1.822099917E0,3.227021992E-1,4.357693493E-1,2.211822718E-1
1.922213917E0,2.908839285E-2,1.029278710E-1,1.978188306E-1
2.022326917E0,-2.512166500E-1,-1.656273007E-2,1.205970049E-1
2.122439917E0,-3.843390644E-1,-2.759405375E-1,2.332046777E-1
2.222553875E0,-4.924429357E-1,-7.082606554E-1,9.067408741E-2
2.322666875E0,-5.669795871E-1,-8.412858844E-1,-2.482882887E-1
2.422779875E0,-4.501232207E-1,-8.094767332E-1,-5.792946219E-1
2.522893875E0,-2.227016240E-1,-4.870968461E-1,-2.965164185E-1
2.623006875E0,-2.362675518E-1,4.953452945E-2,-9.159128182E-3
2.723119875E0,-7.981596142E-2,1.916686147E-1,3.923341632E-2
2.823233875E0,1.001720577E-1,4.379417300E-1,1.055580229E-1
2.923346875E0,1.766199619E-1,5.292505622E-1,1.235303655E-1
3.023459875E0,2.193692923E-1,5.664826632E-1,1.312617809E-1
3.123573875E0,3.672776520E-1,6.011891961E-1,5.339501426E-2
3.223687167E0,3.556046486E-1,5.637321472E-1,3.556187078E-2
3.323800167E0,3.366988301E-1,3.001424074E-1,3.808103502E-2
3.423914167E0,2.005857825E-1,-2.912049890E-1,6.512825936E-2
3.524027167E0,-2.017982453E-1,-4.733373225E-1,8.394231647E-2
3.624140167E0,-6.643702388E-1,-1.256724477E0,1.430387795E-1
3.724253167E0,-2.205383629E-1,-1.088333428E-1,3.496979177E-1
3.824367167E0,6.189998388E-1,6.006177664E-1,6.749852896E-1
3.924480167E0,1.097588301E0,1.338954210E0,1.069528341E0
4.024593167E0,1.228461146E0,1.930921435E0,1.510088801E0
4.124707167E0,1.140400052E0,3.252524614E0,1.864267588E0
4.224820417E0,4.008432627E-1,3.529298544E0,1.523172259E0
4.324933417E0,1.262685284E-2,2.750539064E0,9.777440131E-2
4.425046417E0,2.045056075E-1,1.144438267E0,3.783895448E-2
4.525160417E0,-1.380327642E-1,2.841981649E-1,1.251539290E-1
4.625273417E0,4.854609370E-1,-3.792986274E-2,-1.087283716E-1
4.725386417E0,6.346089765E-3,-6.601095200E-1,1.451581530E-2
4.825500417E0,2.365377694E-1,-4.348100424E-1,-3.316827714E-1
4.925613417E0,-9.636408836E-2,-7.176655531E-1,7.211193442E-2
5.025726417E0,2.774752676E-1,-4.568344653E-1,-5.745322704E-1
5.125840417E0,1.173670739E-1,-8.507040143E-1,-3.307181597E-1
5.225954125E0,-6.029454619E-2,-2.088245869E0,-5.493983030E-1
5.326067125E0,-8.856039643E-1,-3.115619421E0,-1.118731618E0
5.426180125E0,-1.536205411E0,-3.117243767E0,-6.637201905E-1
5.526294125E0,-1.065302134E0,-3.897258759E0,1.580719650E-1
5.626407125E0,-6.546158195E-1,-5.852870941E0,3.351044655E-2
5.726520125E0,-1.570386529E0,-2.702549696E0,8.237708807E-1
5.826633125E0,-5.320228934E-1,-2.387618303E0,6.003358364E-1
5.926747125E0,9.791457057E-1,-6.877046824E-1,-1.385937095E0
6.026860125E0,-7.443373203E-1,3.447441339E0,-1.809407771E-1
6.126973125E0,-2.272681594E-1,-3.074339867E0,1.652653217E0
6.227085750E0,1.512400150E0,-1.143227100E0,-9.328995347E-1
6.327198750E0,2.350561470E-1,6.213947535E-1,-1.578530908E0
6.427311750E0,-1.560370088E0,5.820100754E-2,1.326616764E0
6.527424750E0,1.230450630E0,-7.867472768E-1,1.042001367E0
6.627538750E0,1.031729579E0,5.835446715E-1,-2.204037428E0
6.727651750E0,-1.368472934E0,2.633983791E-1,4.705253541E-1
6.827764750E0,-2.450639009E-1,-2.121260643E0,7.586145401E-1
6.927878750E0,1.130982161E0,1.749459147E0,-1.290902138E0
7.027991750E0,-1.095948508E-3,1.445282936E0,-6.502056718E-1
7.128104750E0,-1.521618843E0,2.688329816E-1,9.929615259E-1
7.228218250E0,4.693768322E-1,-9.060724974E-1,1.027896166E0
7.328332250E0,6.952440739E-1,1.789773583E0,-6.455707550E-1
7.428445250E0,4.910288155E-1,6.923158765E-1,-1.129515290E0
7.528558250E0,-6.551507711E-1,1.658987045E0,-1.790133566E-1
7.628672250E0,-5.519698858E-1,1.713396907E0,8.407431245E-1
7.728785250E0,-1.722503901E-1,-1.164289713E0,7.440983057E-1
7.828898250E0,5.575740337E-1,-1.400685668E0,-7.161296606E-1
7.929012250E0,-2.390443534E-1,-1.697498322E0,-1.304934144E0
8.029125250E0,-8.384593725E-1,1.675804853E0,-1.455462694E0
8.129238250E0,-9.115444869E-2,1.510257244E0,1.213136673E0
8.229350667E0,-1.668133587E-1,-9.145085216E-1,1.086024523E0
8.329464667E0,-2.159078047E-2,-9.589010477E-2,-5.816188455E-1
8.429577667E0,1.797744334E-1,1.742990017E-1,-9.820020795E-1
8.529690667E0,4.360092059E-2,2.374752164E-1,-2.003592849E-1
8.629804667E0,2.351999730E-1,1.469905972E0,1.846471071E0
8.729917667E0,-3.249403089E-2,-2.245738745E0,5.996808410E-1
8.830030667E0,-1.148340777E-1,1.350701690E0,-9.077121019E-1
8.930144667E0,5.654047802E-2,-1.098581195E0,-1.723966241E0
9.030257667E0,1.028806493E-1,2.723793089E-1,4.014521539E-1
