"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.006287499E-2,3.121357736E-1,3.255817384E-1,1.260560292E-1
1.201758750E-1,-1.478123492E-1,-4.509401947E-2,2.405848575E-1
2.202887500E-1,2.140753359E-2,1.381758454E-1,-2.082064855E-1
3.204017500E-1,1.542407781E-1,2.609545103E-1,-1.207631296E-1
4.205147500E-1,7.746362060E-1,5.548232898E-1,-1.151965803E-1
5.206277500E-1,1.491607171E0,1.817734747E0,-2.990722167E-1
6.207417500E-1,1.729770112E-1,1.769322141E0,-2.585872650E-2
7.208547500E-1,9.224093789E-1,1.202354769E0,2.034354499E-1
8.209677500E-1,6.701955789E-1,8.434842467E-2,-5.415974727E-1
9.210807500E-1,2.485440874E-1,-1.309198017E0,-8.539070548E-1
1.021193750E0,-5.836100096E-1,-1.760008988E0,-4.370899681E-1
1.121306750E0,1.725279450E-1,-1.128680436E0,4.446337899E-2
1.221419917E0,4.758452404E-1,-4.493988687E-1,1.777682197E-1
1.321533917E0,5.962177759E-1,-1.112162637E0,2.746168220E-1
1.421646917E0,5.410463727E-1,-9.210417151E-1,2.459724820E-1
1.521759917E0,3.168243635E-1,-5.738241094E-1,-4.360502601E-2
1.621873917E0,5.651333928E-3,-4.254434109E-2,-2.610933816E-1
1.721986917E0,-5.258003426E-1,2.387301207E-2,-3.455844784E-1
1.822099917E0,-1.006140338E0,1.129856896E0,-4.792301935E-1
1.922213917E0,-7.585534394E-1,1.350712663E0,-2.178134608E-1
2.022326917E0,-7.289840698E-1,9.692566860E-1,1.577795130E-1
2.122439917E0,-5.977631950E-1,5.648047793E-1,2.367713034E-1
2.222553875E0,1.000224710E-2,9.361912662E-1,-1.500793147E-1
2.322666875E0,5.250635934E-1,5.455177385E-1,-6.348906755E-2
2.422779875E0,6.584520310E-1,-2.871298635E-1,-2.670873624E-1
2.522893875E0,-5.418848634E-2,-1.214001837E0,-5.371883432E-1
2.623006875E0,4.973974925E-1,-8.097990221E-1,-1.409728611E-1
2.723119875E0,5.457826173E-1,-7.076124966E-1,1.207871032E-1
2.823233875E0,4.568026131E-1,-3.998899090E-1,2.750986326E-1
2.923346875E0,1.464552104E-2,-3.004749638E-1,2.795791347E-2
3.023459875E0,2.370472920E-1,-3.990724683E-2,2.056255245E-1
3.123573875E0,6.329722041E-1,-6.097301066E-1,3.982830942E-1
3.223687167E0,-2.154237038E-1,-2.018610871E-1,-2.649173876E-1
3.323800167E0,-5.174511033E-1,3.199999863E-1,-6.420020592E-1
3.423914167E0,-3.411084348E-1,1.320430518E0,-8.442666042E-1
3.524027167E0,-1.110673935E0,1.056724015E0,-1.308999796E0
3.624140167E0,-5.388823181E-1,1.971242577E-1,-8.180488586E-1
3.724253167E0,1.152325991E0,-1.307473088E0,1.365429520E0
3.824367167E0,8.626338780E-2,-2.114291784E0,2.691370454E0
3.924480167E0,-4.091314334E-1,-1.879462926E0,1.231395550E0
4.024593167E0,-1.077799720E-1,-4.575761998E-1,1.019159236E0
4.124707167E0,1.496568534E0,1.140932399E0,1.077890059E0
4.224820417E0,2.277398111E0,2.003169251E0,-1.317845464E-2
4.324933417E0,2.078463555E0,3.958260942E-1,-8.184271735E-1
4.425046417E0,-3.856379056E-1,-6.924600220E-1,-2.511585529E0
4.525160417E0,-6.492096296E-1,-8.140519944E-1,-1.981145421E0
4.625273417E0,5.106876290E-1,1.097415374E0,3.111511610E0
4.725386417E0,-1.831559904E0,-2.018457674E0,-1.243500456E0
4.825500417E0,9.992333141E-1,1.511027821E0,1.910353766E0
4.925613417E0,-1.363940819E0,-2.104698257E0,-6.340194404E-1
5.025726417E0,7.931075603E-1,8.889060026E-1,1.650670733E0
5.125840417E0,2.722112775E-2,-1.295242175E0,-1.619269431E-1
5.225954125E0,3.397980738E-1,-1.092515115E0,-8.114865285E-1
5.326067125E0,7.586633670E-1,2.488621759E-1,-2.585726470E0
5.426180125E0,-1.382791657E0,8.541533688E-1,-8.533429447E-1
5.526294125E0,-5.972930789E-1,2.114487666E-1,-3.212679550E-2
5.626407125E0,5.235720856E0,-4.056479546E-1,2.942140576E-1
5.726520125E0,-4.192839539E-1,-5.240099251E-1,-5.293671441E-1
5.826633125E0,4.188615510E0,1.928964869E0,2.691706669E0
5.926747125E0,3.075957030E0,-3.821246061E-1,8.119414419E-1
6.026860125E0,-8.771633903E0,-4.701011696E0,-4.945048749E0
6.126973125E0,-6.811959457E-1,4.485875383E0,5.014595532E0
6.227085750E0,1.326428358E1,-4.887675869E-1,-6.180629736E-1
6.327198750E0,4.947913885E-2,-4.756050075E0,-5.144556332E0
6.427311750E0,-1.266347398E1,5.185281605E-2,-1.428637921E0
6.527424750E0,5.958249600E0,2.638101150E0,6.305245011E0
6.627538750E0,5.501697832E0,-4.231901571E0,-5.220125163E0
6.727651750E0,-9.610487155E0,-2.606952740E0,-4.996776143E0
6.827764750E0,2.499021617E0,7.078334044E0,6.924881471E0
6.927878750E0,7.177895755E0,-2.340389288E0,1.617221151E0
7.027991750E0,-3.364468591E0,-4.907763394E0,-6.778122790E0
7.128104750E0,-6.127016616E0,7.149153766E-1,-1.080915116E0
7.228218250E0,2.956058704E0,3.150651409E0,7.515223380E0
7.328332250E0,2.071798899E0,-3.567033682E0,-3.473244343E0
7.428445250E0,2.269830644E0,-1.814439841E0,-2.966400089E0
7.528558250E0,-4.192975194E0,-2.365957700E0,-1.469664910E0
7.628672250E0,-1.539588838E0,-8.771934450E-2,9.752483279E-1
7.728785250E0,3.018105263E0,1.390787140E0,6.543823689E-1
7.828898250E0,1.202864061E0,3.616901954E0,1.924581796E0
7.929012250E0,-1.885488482E0,1.257970853E0,-1.423195333E0
8.029125250E0,2.120623734E0,-6.053580265E0,-2.501999019E0
8.129238250E0,-2.796088824E0,-4.234471714E0,-8.408661559E-1
8.229350667E0,-2.804505891E-1,1.149095989E0,1.873527417E0
8.329464667E0,3.365291879E0,6.997302160E0,4.135811645E0
8.429577667E0,-1.063332539E0,4.790202785E-1,2.150176147E-1
8.529690667E0,-1.973694314E0,-6.776599590E0,-2.245808528E0
8.629804667E0,3.018654317E-1,-4.334467873E0,-6.203691155E-1
8.729917667E0,6.535193199E-1,4.187084125E0,2.162419047E0
