"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.006287499E-2,3.642675781E1,1.517517853E1,-2.713024902E1
1.201758750E-1,3.691529846E1,1.540482330E1,-2.604977417E1
2.202887500E-1,3.698377991E1,1.571404266E1,-2.584295654E1
3.204017500E-1,3.719740295E1,1.595874023E1,-2.546078491E1
4.205147500E-1,3.763000488E1,1.661884308E1,-2.431353760E1
5.206277500E-1,3.898359680E1,1.843818665E1,-2.060055542E1
6.207417500E-1,4.059399414E1,2.174262238E1,-1.248880005E1
7.208547500E-1,4.010882568E1,2.587864685E1,-4.306488037E0
8.209677500E-1,3.798960876E1,3.071054077E1,2.745422363E0
9.210807500E-1,3.315875244E1,3.636486053E1,1.251217651E1
1.021193750E0,2.452998352E1,4.156607056E1,2.114443970E1
1.121306750E0,2.010499573E1,4.280954742E1,2.504562378E1
1.221419917E0,1.880487061E1,4.190541077E1,2.713565063E1
1.321533917E0,1.815686035E1,4.138470459E1,2.762609863E1
1.421646917E0,1.704315186E1,4.115678406E1,2.688595581E1
1.521759917E0,1.764559937E1,4.138668060E1,2.458245850E1
1.621873917E0,1.908435059E1,4.135724640E1,2.168991089E1
1.721986917E0,2.071083069E1,4.123362732E1,1.825830078E1
1.822099917E0,2.130303955E1,4.088045502E1,1.668295288E1
1.922213917E0,2.198486328E1,4.037194824E1,1.648364258E1
2.022326917E0,2.241238403E1,3.977943420E1,1.691790771E1
2.122439917E0,2.332601929E1,3.938490295E1,1.763769531E1
2.222553875E0,2.441719055E1,3.888773346E1,1.856951904E1
2.322666875E0,2.537878418E1,3.903029633E1,1.959719849E1
2.422779875E0,2.513642883E1,4.034083557E1,2.124774170E1
2.522893875E0,2.390484619E1,4.149954224E1,2.424542236E1
2.623006875E0,2.434918213E1,4.101567078E1,2.680056763E1
2.723119875E0,2.497752380E1,3.989144897E1,2.792019653E1
2.823233875E0,2.465713501E1,3.940445709E1,2.785250854E1
2.923346875E0,2.305723572E1,3.982275391E1,2.820874023E1
3.023459875E0,2.154455566E1,4.052685547E1,2.789691162E1
3.123573875E0,1.994013977E1,4.147638702E1,2.708914185E1
