"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749630080160637E9,"2025-06-11 10:21:20.161 UTC+02:00"
"PAUSE",4.069841458332667E1,1.749630120858667E9,"2025-06-11 10:22:00.859 UTC+02:00"
"START",4.069841458332667E1,1.749630124651315E9,"2025-06-11 10:22:04.651 UTC+02:00"
"PAUSE",8.138659629166068E1,1.749630165339112E9,"2025-06-11 10:22:45.339 UTC+02:00"
"START",8.138659629166068E1,1.749630184204151E9,"2025-06-11 10:23:04.204 UTC+02:00"
"PAUSE",1.220961024999997E2,1.749630224913272E9,"2025-06-11 10:23:44.913 UTC+02:00"
"START",1.220961024999997E2,1.749630231896370E9,"2025-06-11 10:23:51.896 UTC+02:00"
"PAUSE",1.627756725416693E2,1.749630272575556E9,"2025-06-11 10:24:32.576 UTC+02:00"
"START",1.627756725416693E2,1.749630276896474E9,"2025-06-11 10:24:36.896 UTC+02:00"
"PAUSE",2.033787155000027E2,1.749630317499133E9,"2025-06-11 10:25:17.499 UTC+02:00"
"START",2.033787155000027E2,1.749630332075390E9,"2025-06-11 10:25:32.075 UTC+02:00"
"PAUSE",2.440691287916707E2,1.749630372765419E9,"2025-06-11 10:26:12.765 UTC+02:00"
"START",2.440691287916707E2,1.749630378360389E9,"2025-06-11 10:26:18.360 UTC+02:00"
"PAUSE",2.846740462916641E2,1.749630418964923E9,"2025-06-11 10:26:58.965 UTC+02:00"
"START",2.846740462916641E2,1.749630423928118E9,"2025-06-11 10:27:03.928 UTC+02:00"
"PAUSE",3.252776300833211E2,1.749630464531318E9,"2025-06-11 10:27:44.531 UTC+02:00"
"START",3.252776300833211E2,1.749630469196607E9,"2025-06-11 10:27:49.197 UTC+02:00"
"PAUSE",3.659457219999895E2,1.749630509864314E9,"2025-06-11 10:28:29.864 UTC+02:00"
"START",3.659457219999895E2,1.749630522528089E9,"2025-06-11 10:28:42.528 UTC+02:00"
"PAUSE",4.065722610833327E2,1.749630563154244E9,"2025-06-11 10:29:23.154 UTC+02:00"
