"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.778749983E-4,-1.753603363E0,-4.213737488E0,8.693471832E0
9.954012500E-2,-1.689686279E0,-4.181704102E0,8.618477783E0
1.996581250E-1,-1.797013092E0,-4.263733521E0,8.593629456E0
2.997761250E-1,-1.779349823E0,-4.282294922E0,8.700058136E0
3.998941250E-1,-1.712588654E0,-4.217030640E0,8.722810822E0
5.000131250E-1,-1.833686829E0,-4.236939240E0,8.805438995E0
6.001307500E-1,-1.984872437E0,-3.814218292E0,8.777596893E0
7.002487500E-1,-2.428699493E0,-2.836002502E0,7.146738281E0
8.003667500E-1,-4.974305878E0,-4.496649170E0,6.148613892E0
9.004847500E-1,-7.987539825E0,-6.092630310E0,4.592899017E0
1.000602750E0,-7.894283752E0,-7.591613159E0,2.876717834E0
1.100720750E0,-5.649402008E0,-7.736661530E0,2.281106415E0
1.200839750E0,-6.434818726E0,-7.781717834E0,2.157313843E0
1.300957750E0,-7.313641205E0,-6.852300568E0,2.168390808E0
1.401075750E0,-6.412814484E0,-5.878276062E0,1.555714874E0
1.501193750E0,-6.431525574E0,-6.474486237E0,9.620494080E-1
1.601311875E0,-6.012846222E0,-9.211544495E0,1.150208130E0
1.701429875E0,-4.515809326E0,-1.048569489E1,2.281705170E0
1.801547875E0,-5.589077454E0,-8.031398621E0,2.290686493E0
1.901666875E0,-6.676566010E0,-5.647006989E0,1.325194244E0
2.001784875E0,-7.937693481E0,-6.272107086E0,6.050418091E-1
2.101902875E0,-6.238576813E0,-7.700736237E0,1.001716919E0
2.202020875E0,-4.270469513E0,-8.580756226E0,1.356778564E0
2.302138875E0,-4.024530945E0,-9.667795715E0,2.074835358E0
2.402256875E0,-5.084177399E0,-8.283474426E0,3.013683014E0
2.502375875E0,-8.068521423E0,-6.331234131E0,1.120270386E0
2.602493625E0,-7.403155060E0,-6.314468994E0,3.644920349E-1
2.702611625E0,-5.607189789E0,-7.678731995E0,7.734416199E-1
2.802729625E0,-4.540507965E0,-8.587492218E0,1.867965546E0
2.902847625E0,-4.496499481E0,-9.750872955E0,2.591111755E0
3.002965625E0,-4.692741394E0,-9.876312103E0,2.456092529E0
3.103083625E0,-7.616461487E0,-5.405858459E0,6.590794373E-1
3.203202625E0,-7.490722961E0,-6.115832062E0,5.165757751E-1
3.303320625E0,-4.098327484E0,-8.293802948E0,3.153342590E0
3.403438625E0,-4.844525757E0,-9.420509949E0,4.430486755E0
3.503556625E0,-6.879693604E0,-7.990533600E0,2.409539337E0
3.603675167E0,-5.996230774E0,-4.077371063E0,-1.044827271E-1
3.703793167E0,-5.959257660E0,-3.575764160E0,-1.917362823E0
3.803911167E0,-8.011190643E0,-4.755760345E0,-3.625161438E0
3.904030167E0,-6.902446289E0,-5.444328461E0,-4.044289856E0
4.004148167E0,-7.213948517E0,-5.785618744E0,-4.303999786E0
4.104266167E0,-9.643695831E0,-6.260730743E0,-5.679489441E0
4.204384167E0,-5.953868866E0,-3.340453491E0,-4.006268921E0
4.304502167E0,-8.016878815E0,-8.089477844E0,-4.961881714E0
4.404620167E0,-7.054679718E0,-3.502416687E0,-3.838767242E0
4.504738167E0,-6.001020813E0,-5.530698853E0,-4.562661896E0
4.604855417E0,-6.034850464E0,-5.174439697E0,-3.515289917E0
4.704974417E0,-6.430627441E0,-7.841144257E0,-3.716022491E0
4.805092417E0,-7.906707916E0,-6.155798950E0,-4.305496674E0
4.905210417E0,-8.641230469E0,-7.072193298E0,-4.244273987E0
5.005328417E0,-8.652008057E0,-5.587730255E0,2.404000854E-1
5.105446417E0,-6.764283600E0,-4.406386871E0,3.550317078E0
5.205564417E0,-3.954326935E0,-4.839735718E0,3.684438171E0
5.305682417E0,-5.427713013E-1,-4.143383789E0,8.782985687E0
5.405800417E0,-2.638563080E0,-5.639223175E0,5.644911346E0
5.505919417E0,-8.209528198E0,-6.913373566E0,6.847660217E0
5.606038250E0,2.703527985E0,-1.434766388E0,1.000055374E1
5.706156250E0,-2.383044434E0,-6.242618408E0,5.213658142E0
5.806274250E0,-8.157286835E0,-7.958200836E0,7.483837280E0
5.906392250E0,2.931054840E0,-1.924996948E-1,1.069630692E1
6.006510250E0,-9.964778137E-1,-6.426585846E0,7.499554596E0
6.106628250E0,-5.536536713E0,-8.142168274E0,6.397995300E0
6.206746250E0,-4.501289520E0,-1.116677856E0,1.021610550E1
6.306865250E0,2.090253296E0,-2.398162994E0,5.978567505E0
6.406983250E0,-4.748874664E0,-6.456224213E0,4.738845520E0
6.507101250E0,-4.530778198E0,-2.018253021E0,1.214454529E1
6.607218750E0,2.558329926E0,-2.373015289E0,5.668861542E0
6.707336750E0,-5.294789429E0,-6.830296326E0,5.357808380E0
6.807454750E0,-4.930896149E0,-1.709295502E0,1.156210648E1
6.907572750E0,2.527044983E0,-1.424288177E0,5.865702209E0
7.007690750E0,-6.745123444E0,-6.714137878E0,4.292623444E0
7.107809750E0,-4.465813293E0,-1.552571411E0,1.205922272E1
7.207927750E0,3.607647858E0,1.350192261E-1,5.902076569E0
7.308045750E0,-1.189546326E1,-7.826325073E0,3.359463959E0
7.408163750E0,-6.297853546E0,-1.635648651E0,9.526938629E0
7.508281750E0,-1.419348450E0,9.101074219E-2,6.827003174E0
7.608399125E0,-7.692952423E0,-4.039350128E0,6.720574493E0
7.708517125E0,-3.079995117E0,-5.655688934E0,9.055868225E0
7.808635125E0,-4.026476898E0,-1.898801422E0,8.572673035E0
7.908754125E0,-5.239105225E-3,-4.770579529E0,8.053103485E0
8.008872125E0,-7.431595917E0,-5.660628662E0,5.915099487E0
8.108990125E0,5.021008759E0,1.651066589E0,7.731123047E0
8.209108125E0,-1.565729050E1,-9.249565430E0,3.702700195E0
8.309226125E0,1.448897003E1,3.353925476E0,1.246951950E1
8.409344125E0,-1.989931915E1,-1.542676987E1,4.425397339E0
8.509462125E0,-2.266287231E-1,-5.398823090E0,6.494245148E0
8.609581792E0,-1.297651520E0,-1.759890289E0,8.425678711E0
8.709699792E0,-1.984423370E0,-1.719324646E0,8.723559265E0
8.809817792E0,-2.223925323E0,-5.164859619E0,1.082593735E1
8.909935792E0,-2.820584564E0,-2.680475922E0,6.477929077E0
9.010053792E0,1.518741760E0,-8.502319336E-2,7.523654480E0
9.110171792E0,-8.460406494E0,-5.420677643E0,7.145989838E0
9.210289792E0,5.631888428E0,4.839436340E-1,7.144343262E0
9.310408792E0,-9.568103027E0,-5.735772400E0,7.849227448E0
9.410526792E0,2.834655304E0,-5.278772736E0,1.093955109E1
9.510644792E0,-2.675835571E0,-2.502945099E0,6.987619171E0
9.610763042E0,-7.288343811E0,-5.094505920E0,7.326215057E0
9.710881042E0,-4.960384827E0,-3.372786255E0,6.020480347E0
9.810999042E0,-6.147865448E0,-2.964435425E0,6.049370270E0
9.911117042E0,-4.884193268E0,-1.380878448E0,5.409001923E0
1.001123604E1,-1.080273560E1,-3.277135162E0,2.561323700E0
1.011135404E1,-1.596879272E0,-1.782642975E0,1.223600510E1
1.021147204E1,-4.734654236E0,-3.869303741E0,6.436465302E0
1.031159004E1,-1.096529755E1,-4.775369568E0,1.698218536E0
1.041170804E1,-3.389401703E0,-2.406994629E-1,1.414274002E1
1.051182604E1,-1.075513458E1,-4.546046448E0,3.647914124E-1
1.061194404E1,-8.218509521E0,-4.061354370E0,5.584437103E0
1.071206304E1,-6.099066925E0,-1.770218811E0,9.434580688E0
1.081218104E1,-9.372759247E0,-5.212161255E0,7.735913086E-1
1.091229904E1,-8.234975281E0,-4.506079559E0,3.905678101E0
1.101241704E1,-2.550695801E0,-2.993774414E0,1.148396896E1
1.111253504E1,-7.210505676E0,-2.768492889E0,5.636379089E0
1.121265304E1,-7.574548645E0,-3.904181213E0,3.004701691E0
1.131277104E1,-3.445385284E0,-3.627406769E0,1.017733612E1
1.141289004E1,-2.010319519E0,-3.537144470E0,8.692723389E0
1.151300804E1,-3.361709290E0,-3.002007294E0,7.586523743E0
1.161312617E1,-3.515589294E0,-4.343667297E0,7.977959747E0
1.171324417E1,-2.236798553E0,-4.640350342E0,8.891210632E0
1.181336217E1,-3.525319061E0,-2.064955902E0,8.668024750E0
1.191348017E1,-4.144431610E0,-5.964945831E0,7.148833923E0
1.201359817E1,-4.365970917E0,-4.351900177E0,7.097341003E0
1.211371617E1,-3.288062439E0,-4.344116364E0,8.661737823E0
1.221383517E1,-5.652844849E0,-4.331692200E0,7.056326294E0
1.231395317E1,-4.289929047E0,-2.878065033E0,3.670068054E0
1.241407117E1,-1.759740601E0,-4.683161316E0,9.799372101E0
1.251418917E1,4.612657928E0,-2.420915680E0,1.130554001E1
1.261430729E1,-8.481662292E0,-6.593638458E0,1.068088898E1
1.271442529E1,7.482639771E0,-4.151017914E0,9.952204285E0
1.281454329E1,-7.198380890E0,-8.152496796E0,7.424410858E0
1.291466129E1,2.018402710E0,-3.955973511E0,1.093985046E1
1.301477929E1,7.602690125E-1,-4.279600525E0,8.278834076E0
1.311489829E1,-2.973865814E0,-3.390000458E0,1.228495331E1
1.321501629E1,3.570824432E0,-4.027674408E0,8.788524170E0
1.331513429E1,-1.362167358E-1,-4.001927948E0,5.792654114E0
1.341525229E1,1.056952057E0,-2.103425903E0,9.459129639E0
1.351537029E1,5.111869812E-1,-7.960895233E0,9.173972626E0
1.361548750E1,-4.617447968E0,-5.066514130E0,1.512784149E1
1.371560550E1,3.439996490E0,-4.380490723E0,7.502398682E0
1.381572350E1,1.194066925E0,-3.659889221E0,8.156837769E0
1.391584150E1,-4.028123474E-1,-3.767814789E0,8.337362366E0
1.401595950E1,-1.467697906E0,-5.806874542E0,6.464606781E0
1.411607850E1,-4.510719910E0,-2.324516144E0,1.156959091E1
1.421619650E1,5.861211548E0,-3.114273834E0,7.857160950E0
1.431631450E1,-5.043761444E0,-5.821693726E0,8.205037537E0
1.441643250E1,-1.409019928E0,-1.366059265E0,1.032118698E1
1.451655050E1,3.246448975E0,-2.161205750E0,6.591093750E0
1.461666862E1,-4.351451111E-1,-3.809577942E0,6.067781982E0
1.471678663E1,-7.033423920E0,-5.522765350E0,5.060526581E0
1.481690463E1,-6.894213409E0,-5.936504974E0,4.996010742E0
1.491702262E1,-6.481521606E0,-7.378157043E0,2.071093140E0
1.501714063E1,-6.706952820E0,-7.430099030E0,5.879772949E-1
1.511725863E1,-6.155499573E0,-8.455616455E0,9.113049316E-1
