"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.182124999E-3,2.565012708E-2,3.470322490E-3,1.064894915E-2
9.828812500E-2,8.134368673E-2,6.733799726E-2,-4.438504457E-2
1.883941250E-1,7.759547532E-2,3.691844255E-2,1.766268432E-2
2.785011250E-1,-3.363376915E-2,8.593068123E-3,-2.613120675E-2
3.686071250E-1,-3.494413018E-2,1.035018566E-1,6.546191812E-2
4.587131250E-1,1.585033983E-3,1.055995452E-1,7.039053619E-2
5.488197500E-1,3.672760405E-1,2.185829544E-1,3.926931560E-1
6.389257500E-1,7.363153088E-1,8.730904537E-1,-4.053816140E-2
7.290317500E-1,1.324026848E0,1.765320306E0,-8.644757509E-1
8.191387500E-1,6.018808043E-1,3.177938318E-1,-2.571722388E-2
9.092447500E-1,-1.285206891E0,-2.663506132E-1,2.750237882E-1
9.993507500E-1,-1.055699583E0,-1.174528454E0,-2.674808800E-3
1.089457750E0,9.231350183E-1,-1.250272701E0,-3.528224543E-1
1.179563750E0,3.940830392E-1,-8.580186707E-1,-4.704058680E-1
1.269669750E0,-4.010242689E-1,-4.199862045E-1,8.502845585E-2
1.359776750E0,1.934025049E-2,9.978834844E-1,-2.627250472E-1
1.449882750E0,9.380688071E-3,1.235623087E0,-6.718374771E-1
1.539988875E0,-2.764288741E-1,4.315245152E-3,-6.311490422E-1
1.630095875E0,3.900747728E-1,-2.273923110E0,-1.024402946E-1
1.720201875E0,1.587365268E0,-2.304038610E0,1.226743505E0
1.810307875E0,7.520922661E-2,-6.175595284E-2,8.225699258E-1
1.900414875E0,-1.076066020E0,2.207797533E0,-4.559695311E-1
1.990520875E0,-2.505406192E0,1.745575721E0,-1.153304815E0
2.080626875E0,-1.013148810E0,2.387242734E-1,-7.071787794E-1
2.170733875E0,1.552698880E0,-8.862437654E-1,-2.899714641E-1
2.260839875E0,2.151080711E0,-1.986448846E0,3.966188304E-1
2.350945875E0,1.264558033E0,-1.912358776E0,1.090685960E0
2.441052875E0,4.895113528E-2,3.096293646E-1,5.718331325E-1
2.531158875E0,-2.626747611E0,2.173588983E0,-5.661502236E-1
2.621264625E0,-1.680221976E0,1.535480000E0,-1.899676166E0
2.711371625E0,3.644861877E-2,-1.287586123E-1,-6.616890496E-1
2.801477625E0,1.396297556E0,-9.300972980E-1,3.334474128E-1
2.891583625E0,1.464745063E0,-2.064919065E0,1.148013524E0
2.981690625E0,1.632537348E0,-1.848178568E0,1.219143294E0
3.071796625E0,-9.826245904E-1,1.243866491E-1,-5.827389206E-1
3.161902625E0,-3.574802293E0,3.366692871E0,-1.765575683E0
3.252009625E0,9.047683293E-1,-1.575783688E-1,-4.454359183E-1
3.342115625E0,1.257156628E0,-2.069361194E0,1.263583010E0
3.432221625E0,1.507513352E0,-2.460950981E0,2.218642364E0
3.522328625E0,3.228487498E-1,-8.165964103E-1,2.096104020E-1
3.612435167E0,1.978152232E0,2.056825933E0,-1.271003419E0
3.702541167E0,2.272580005E0,1.738899370E0,-1.440607756E0
3.792648167E0,-1.550728369E-1,5.046696746E-1,-1.072442793E0
3.882754167E0,2.968572915E-2,-3.877733088E-1,-6.322655681E-1
3.972860167E0,5.200677323E-1,-5.635926515E-1,-5.331491232E-2
4.062967167E0,-2.395227692E0,-5.270153940E-1,-1.761847352E0
4.153073167E0,-9.372501969E-3,6.447321242E-1,7.155647099E-2
4.243179167E0,9.430313390E-1,1.903034806E-1,6.243493152E-1
4.333285167E0,3.352360761E-1,-1.732735820E0,6.164579129E-1
4.423392167E0,-1.797796619E-1,1.221510247E0,7.748829585E-1
4.513498167E0,1.099877052E0,-2.771673775E-1,-1.895959675E-1
4.603603417E0,8.910320503E-1,1.974154490E-1,8.905505320E-1
4.693710417E0,3.830095822E-1,-2.391857942E0,7.000812829E-2
4.783816417E0,-6.847048599E-1,-4.727181494E-1,-8.857561076E-1
4.873922417E0,-1.859934395E0,-8.936241210E-1,-2.330965623E0
4.964029417E0,-8.270600027E-1,-3.442641771E-1,-1.544642002E0
5.054135417E0,-1.255204242E0,8.257671833E-1,6.820937857E-2
5.144241417E0,1.662347623E0,1.786818472E0,-9.196649882E-1
5.234348417E0,2.782374764E0,4.576419809E-1,-2.400328218E0
5.324454417E0,4.202558489E0,1.069176831E0,1.198660498E0
5.414560417E0,-2.355644381E-1,-1.802953278E0,1.171893114E0
5.504667417E0,-4.685046458E0,-1.596754727E0,-6.053721768E-1
5.594774250E0,4.493873204E0,3.427571157E0,2.443961311E0
5.684880250E0,3.016192639E0,3.825274792E-1,-3.010615565E0
5.774987250E0,-4.040866311E0,-2.366124930E0,-1.576749063E0
5.865093250E0,1.610618475E-1,2.517990569E0,4.021060622E0
5.955199250E0,3.486630374E0,2.269218733E0,-1.200923370E0
6.045305250E0,-2.929017963E0,-4.917661561E0,-3.756359509E0
6.135412250E0,-4.832346007E0,-2.444454524E0,1.836535592E0
6.225518250E0,2.656432756E0,4.555010229E0,3.115353230E0
6.315624250E0,3.591696361E0,7.189826998E-1,-2.408195647E0
6.405731250E0,-1.619690430E0,-2.151166373E0,-3.501954757E0
6.495837250E0,-3.009698429E0,1.660609538E0,4.135077235E0
6.585942750E0,6.555090104E0,2.563201241E0,-1.961364291E0
6.676049750E0,-2.943361475E0,-4.059478583E0,-3.164469257E0
6.766155750E0,-6.486998109E0,-1.565164559E0,2.383462510E0
6.856261750E0,6.830761179E0,3.730427107E0,2.537592775E0
6.946368750E0,3.149715562E0,-2.210759440E0,-1.798694751E0
7.036474750E0,-4.456408632E0,-3.456936167E0,-3.598282957E-1
7.126580750E0,1.549635232E0,4.114496790E0,3.321765205E0
7.216686750E0,4.887884615E0,3.286577831E0,-3.673978087E0
7.306793750E0,-6.895670536E0,-3.826324075E0,-4.072774567E0
7.396899750E0,-1.350536077E0,1.703637443E0,1.971028569E0
7.487005750E0,5.437721107E0,4.304287177E0,5.019553971E-1
7.577112125E0,-3.180754630E0,-2.674526087E0,-8.126249814E-1
7.667218125E0,1.879333702E0,1.359986055E0,-3.518928055E0
7.757324125E0,-1.083052273E0,2.370560628E-1,-1.905984727E0
7.847431125E0,1.293371943E0,1.886077296E0,-3.839585853E-1
7.937537125E0,-4.498483149E0,-6.458451417E0,-3.704719824E-1
8.027643125E0,4.909102991E-1,8.426907796E-1,-3.748550552E-1
8.117750125E0,6.381586844E0,4.089449364E0,-1.273963280E0
8.207856125E0,-1.015962958E1,-4.871848918E0,-3.141818313E0
8.297962125E0,1.774728301E1,5.208726600E0,2.668734128E0
8.388069125E0,-7.646545996E0,-8.199027184E-1,-3.007951573E0
8.478175125E0,4.371439818E-1,-3.262797790E0,1.384177448E0
8.568281792E0,1.822114312E0,2.795284539E0,2.238061552E0
8.658388792E0,-3.336685253E0,3.108066722E0,2.853879780E-1
8.748494792E0,6.159309326E-1,1.684928108E0,-3.669455266E-1
8.838600792E0,8.725108485E-1,-7.407888966E0,-1.093067969E0
8.928707792E0,3.429691358E0,2.920568736E0,-1.318723716E0
9.018813792E0,1.077859654E0,2.585696357E0,-1.293958418E0
9.108919792E0,-5.279028844E0,-2.037014397E0,-1.494945931E0
9.199026792E0,8.514679180E0,3.110771937E0,-1.234548953E0
9.289132792E0,-1.229292657E1,-2.977185279E0,2.848123780E0
9.379238792E0,-1.159204656E0,-4.709852686E0,7.093953127E-1
9.469345792E0,3.342913415E0,3.214988908E0,-1.953772266E0
9.559452042E0,-2.325134779E0,-6.272086036E-1,1.526996859E0
9.649558042E0,-4.120912939E-1,3.414756399E-1,-1.019479591E-1
9.739665042E0,1.265583635E0,6.795724663E-1,-8.863946235E-1
9.829771042E0,-2.389769901E0,-2.735751405E-1,4.178962342E0
9.919877042E0,2.047005535E0,2.384978693E0,-5.949430829E-1
1.000998404E1,-3.241282375E0,2.104427531E-1,-2.624940237E0
1.010009004E1,4.935696128E0,1.192182075E0,6.570623233E0
1.019019604E1,-1.820840496E0,-1.093691867E0,-1.369168814E0
1.028030304E1,-2.253653153E0,-2.690386952E0,-5.857308531E0
1.037040904E1,2.839827166E0,4.381739688E-1,4.282763869E-1
1.046051504E1,-1.979247415E0,-8.813616326E-1,2.018103917E0
1.055062204E1,3.300285459E-2,-1.569336840E0,-5.172361012E0
1.064072804E1,-1.828938890E-1,5.971395895E-1,2.010777648E0
1.073083404E1,1.371977232E0,3.188375598E-1,-3.608310932E-1
1.082094104E1,-1.246466163E0,-1.473144588E0,-4.495071591E0
1.091104704E1,-6.032695180E-1,-9.643017554E-1,-1.139021237E0
1.100115304E1,3.731018261E0,1.783178580E-1,5.228448674E0
1.109126004E1,1.964278543E-1,1.481661057E0,-1.837850046E-1
1.118136604E1,-4.734950690E0,-2.211057064E0,-4.956035083E0
1.127147204E1,-6.406267941E-2,-4.541266349E-1,-8.906268382E-1
1.136157804E1,2.488895409E0,1.354197603E-1,6.516511345E-1
1.145168504E1,-1.016053122E-1,-5.983356375E-1,9.166633201E-1
1.154179104E1,-1.891149463E0,2.400811198E-1,2.672195095E-1
1.163189717E1,-1.055520074E0,1.132167131E-1,-1.255152787E0
1.172200417E1,-1.270114642E-1,4.740603778E-1,3.997589314E-1
1.181211017E1,-1.560832357E-1,2.524604063E0,6.792640257E-1
1.190221617E1,-1.640035817E-1,-1.509359318E0,-1.663345742E-1
1.199232317E1,-2.339991385E-1,-1.072113302E-1,-2.497883749E-1
