"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.527916658E-4,-5.049748993E0,-4.271517334E0,7.216044159E0
1.003651667E-1,-5.033582611E0,-4.291126556E0,7.165748749E0
2.004781667E-1,-4.884642334E0,-4.294868774E0,7.233557739E0
3.005901667E-1,-4.873116302E0,-4.408632202E0,7.373816071E0
4.007021667E-1,-4.346511383E0,-4.205205231E0,7.481292572E0
5.008141667E-1,-4.816683655E0,-2.993025970E0,6.946604462E0
6.009271667E-1,-5.235063629E0,-3.087778931E0,5.488336945E0
7.010391667E-1,-7.605983276E0,-4.656217346E0,3.064277802E0
8.011511667E-1,-7.785010986E0,-6.469696198E0,1.406325531E0
9.012641667E-1,-6.873256989E0,-7.821834412E0,7.713459778E-1
1.001376167E0,-6.076014862E0,-8.177045746E0,3.091072083E-1
1.101488000E0,-6.006409607E0,-8.275989990E0,3.585044861E-1
1.201601000E0,-5.878575439E0,-8.312064972E0,5.682183838E-1
1.301713000E0,-5.831124115E0,-7.868686981E0,7.649093628E-2
1.401825000E0,-5.749843140E0,-7.699089661E0,-9.280700684E-3
1.501938000E0,-5.519172821E0,-7.832162933E0,1.252894592E-1
1.602050000E0,-5.276976471E0,-9.233848114E0,5.493576050E-2
1.702162000E0,-5.274431763E0,-9.926457825E0,2.914439392E-1
1.802275000E0,-5.324577484E0,-9.129215698E0,1.814227295E-1
1.902387000E0,-6.196813660E0,-6.148913269E0,-1.347198486E-2
2.002500000E0,-8.045469360E0,-5.056185608E0,-1.108444977E0
2.102612167E0,-6.268664246E0,-6.332281952E0,-5.529501343E-1
2.202724167E0,-6.029910736E0,-7.798183594E0,4.697232056E-1
2.302837167E0,-5.130580902E0,-9.225615234E0,8.400531006E-1
2.402949167E0,-5.285658417E0,-9.408684540E0,6.831793213E-1
2.503061167E0,-4.680167542E0,-9.143436127E0,9.659413147E-1
2.603174167E0,-5.414241028E0,-8.684640198E0,5.854325867E-1
2.703286167E0,-6.645879822E0,-7.096592560E0,-5.370831299E-1
2.803399167E0,-7.529791718E0,-5.419180756E0,-1.009201355E0
2.903511167E0,-7.032525787E0,-6.783743134E0,-9.413923645E-1
3.003623167E0,-5.904321899E0,-8.089477844E0,3.492237854E-1
