"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.658779167E-2,1.001711190E-2,2.440612763E-2,1.274581905E-2
1.767011667E-1,-1.379583729E-3,4.296498001E-2,3.429016098E-3
2.768131667E-1,3.183292225E-3,4.971281067E-2,-4.296440631E-2
3.769251667E-1,6.254515052E-2,3.354731500E-1,-1.429112852E-1
4.770371667E-1,5.696550384E-2,1.608235240E0,-3.408252299E-1
5.771501667E-1,-1.665731221E-1,1.683885455E0,-6.281750202E-1
6.772621667E-1,-1.895677447E-1,2.237546921E0,-9.088004827E-1
7.773741667E-1,-1.593652815E-1,1.853103161E0,-1.082481503E0
8.774871667E-1,-2.227763236E-1,6.885926723E-1,-8.359848857E-1
9.775991667E-1,-2.205245048E-1,1.272877753E-1,-4.841921926E-1
1.077711167E0,-3.005692959E-1,-3.472433612E-2,-2.620661259E-1
1.177824000E0,-1.611616910E-1,8.060790598E-2,-1.903219819E-1
1.277936000E0,-6.838355958E-2,6.938245147E-2,-8.732552081E-2
1.378048000E0,-6.138936803E-2,2.419532537E-1,-1.292247772E-1
1.478161000E0,-4.193181545E-2,3.584164083E-1,-1.106316447E-1
1.578273000E0,1.062474214E-2,2.529813647E-1,-4.307527840E-2
1.678385000E0,9.912934154E-2,-2.178701945E-2,6.140292436E-2
1.778498000E0,3.719397783E-1,1.612623781E-1,1.630041599E-1
1.878610000E0,6.387271285E-1,-9.420991689E-2,-1.278431267E-1
1.978722000E0,2.938273251E-1,1.483189408E-3,-6.299345940E-2
2.078835000E0,-3.085633814E-1,-7.490625381E-1,1.164231673E-1
2.178947167E0,-6.267213225E-1,-2.364101112E-1,1.838199198E-1
2.279060167E0,-6.545060277E-1,1.895805122E-3,2.532947063E-1
2.379172167E0,-4.407323897E-1,2.411365807E-1,1.319476068E-1
2.479284167E0,6.322252005E-2,1.365414709E-1,6.506282091E-2
2.579397167E0,4.784497619E-1,3.571014106E-1,-5.345353112E-2
2.679509167E0,6.421965361E-1,-7.997561991E-2,-2.455105036E-1
2.779621167E0,2.997842729E-1,-1.979181170E-1,-2.292735688E-2
2.879734167E0,-2.366843969E-1,1.397155076E-1,1.234702915E-1
2.979846167E0,-4.713034928E-1,-4.624253511E-1,1.288126856E-1
3.079959167E0,-2.218565345E-1,5.033156276E-1,4.446726143E-1
3.180070917E0,5.030974746E-1,9.110829830E-1,5.681540370E-1
3.280182917E0,1.001871347E0,1.461573720E0,9.788910151E-1
3.380295917E0,1.093379736E0,2.329465628E0,1.392477870E0
3.480407917E0,7.637824416E-1,2.238861561E0,1.544460535E0
3.580520917E0,5.492748320E-2,2.215656519E0,1.138432980E0
3.680632917E0,-4.519134015E-2,7.440878153E-1,5.036311150E-1
3.780744917E0,4.086123705E-1,8.886966705E-1,-2.421808392E-1
3.880857917E0,-2.628036737E-1,7.022818923E-1,4.168583453E-1
3.980969917E0,3.560780734E-2,-2.454826087E-1,8.945462853E-2
4.081082917E0,-1.244607344E-1,-4.060182869E-1,1.732034385E-1
4.181195542E0,2.753483951E-1,-5.482905507E-1,-5.438253880E-1
4.281308542E0,-7.855542004E-2,-5.884849429E-1,2.328381836E-1
4.381420542E0,9.865146875E-2,2.063173205E-1,-3.208405375E-1
4.481532542E0,2.185288817E-1,-5.809639096E-1,-2.457182705E-1
4.581645542E0,1.288950741E-1,-1.312593579E0,-7.682051659E-1
4.681757542E0,-7.645499110E-1,-2.464575291E0,1.459119027E-3
4.781870542E0,-1.688996196E0,-4.483691216E0,3.437436521E-1
4.881982542E0,-2.428597450E0,-5.457285881E0,6.003383994E-1
4.982094542E0,-2.575756073E0,-3.878275633E0,1.047321439E0
5.082207542E0,-6.763460040E-1,-3.052065611E0,4.725675285E-1
5.182319125E0,4.933207929E-1,-2.704001665E-1,-1.487437129E0
5.282432125E0,-1.668076813E-1,-3.128917888E-2,-8.583635092E-1
5.382544125E0,-1.074853539E0,-1.175804496E0,1.835662961E0
5.482657125E0,7.342877388E-1,5.725767612E-1,2.160598785E-1
5.582769125E0,9.980487227E-1,5.778192282E-1,-1.721711993E0
5.682881125E0,-4.982759356E-1,-1.892284751E-1,6.401700377E-1
5.782994125E0,-4.027456641E-1,-1.777732015E0,1.594168663E0
5.883106125E0,1.363659620E0,1.255455613E0,-1.021981359E0
5.983219125E0,3.582626879E-1,1.073321700E0,-1.190039515E0
6.083331125E0,-1.366638541E0,-8.855899572E-1,1.638059020E0
6.183443875E0,8.319876790E-1,5.326452851E-1,-1.230635941E-1
6.283555875E0,7.592192292E-1,3.451007903E-1,-1.477928996E0
6.383668875E0,-1.317533851E0,-4.804651141E-1,1.061303020E0
6.483780875E0,1.876520365E-1,-1.296832800E0,9.166579694E-2
6.583893875E0,1.126361728E0,8.593320847E-1,-1.833991170E0
6.684005875E0,-6.236771345E-1,1.579153180E0,1.068745971E0
6.784118875E0,-7.891600728E-1,6.945944428E-1,1.094637275E0
6.884230875E0,1.248014867E-1,-3.300054073E-1,-1.011275649E0
6.984343875E0,2.788514793E-1,-6.878802776E-1,-7.570494413E-1
7.084455875E0,-6.561449766E-1,-1.892107010E0,5.959525108E-1
7.184567875E0,-8.657642007E-1,-2.845639229E0,1.466941833E0
7.284680875E0,-4.108041227E-1,-4.044476986E0,2.208013296E0
7.384792875E0,-3.304375336E-3,-1.761327624E0,1.666314960E0
7.484905875E0,-2.058637515E-2,-1.510124326E0,1.483502984E-1
7.585017875E0,3.013722301E-1,1.093358636E0,-3.556042016E-1
7.685130875E0,-1.491810195E-2,1.337143540E0,6.266734600E-1
7.785242875E0,-1.143157557E-1,-6.997924447E-1,-4.073643982E-1
7.885355875E0,-1.111217663E-1,6.732399762E-2,-7.237334251E-1
7.985467875E0,6.149526834E-1,-8.751395158E-3,8.212703466E-1
8.085579875E0,5.562939867E-2,-8.826063871E-1,-5.683518648E-1
8.185693542E0,-5.538329855E-2,1.545133829E0,-6.313984990E-1
8.285805542E0,-4.773821682E-2,-8.043657541E-1,7.930532694E-1
8.385918542E0,-3.917201459E-1,9.665815830E-1,-1.580000162E0
8.486030542E0,4.654929340E-1,1.003018975E0,6.437762380E-1
8.586143542E0,-7.049690187E-2,-4.916710258E-1,5.922412276E-1
8.686255542E0,-2.065382898E-1,2.387189627E0,-1.133894444E0
8.786368542E0,2.549318373E-1,-7.543568611E-1,8.231599927E-1
8.886480542E0,-3.606379032E-1,-2.143975496E0,-4.438962638E-1
8.986593542E0,2.236705869E-1,9.528313875E-1,-1.154527217E-1
9.086705542E0,1.391967833E-1,2.446617000E-2,7.861481309E-1
9.186817750E0,-3.310596347E-1,1.746017694E0,-9.051558971E-1
9.286929750E0,4.537388682E-1,1.841863394E-1,4.687373638E-1
9.387041750E0,-8.435729146E-2,-2.238316298E0,3.080504239E-1
9.487154750E0,-1.403887719E-1,1.384988070E0,-1.267701983E0
9.587266750E0,-2.585456073E-1,-1.675429463E0,8.307630420E-1
9.687379750E0,-1.023350060E-1,1.192798376E0,-1.998899460E0
9.787491750E0,2.038335502E-1,9.978774935E-2,4.427981973E-1
9.887604750E0,-4.613442123E-1,-8.079736829E-1,6.179749966E-1
9.987716750E0,6.406400800E-1,2.484237671E0,-5.823217705E-2
1.008782975E1,-3.303990364E-1,-4.242900312E-1,1.327434301E0
1.018794188E1,1.596427262E-1,1.722585320E0,-1.714958191E0
1.028805487E1,3.055152893E-1,-3.873347938E-1,2.032304108E-1
1.038816687E1,-2.659320831E-1,-9.326253533E-1,-1.934108138E-1
1.048827887E1,2.485935092E-1,1.539235353E0,-1.474783659E0
1.058839188E1,2.692163587E-1,1.509593964E0,1.096744463E-1
1.068850388E1,2.049558014E-1,1.160954118E0,-4.493655562E-1
1.078861687E1,-3.326303139E-2,3.160914421E0,-1.535552502E0
1.088872887E1,8.745231479E-2,5.436576366E0,-1.295459032E0
1.098884188E1,-3.825113773E-1,2.221910715E0,-8.908312917E-1
1.108895388E1,-2.149898410E-1,2.062447309E0,-8.694433570E-1
1.118906650E1,-7.773648947E-2,2.084721088E0,-8.016593456E-1
1.128917850E1,3.005877836E-3,7.517729402E-1,-6.453167796E-1
1.138929150E1,-9.933169931E-2,4.262142181E-1,-5.214620233E-1
1.148940350E1,-1.318421364E-1,2.514232099E-1,-5.768845677E-1
1.158951650E1,-1.082891300E-1,7.171521336E-2,-2.888461947E-1
1.168962850E1,-1.582650393E-1,1.473935544E-1,-2.683473751E-3
1.178974150E1,-1.523189992E-1,3.052929938E-1,4.402157664E-2
1.188985350E1,-7.748953253E-2,5.100089312E-1,1.025301218E-1
1.198996650E1,3.788350895E-2,3.892316222E-1,1.446047425E-1
1.209007850E1,1.118706167E-1,2.692412734E-1,2.928979993E-1
1.219019187E1,3.011665344E-1,1.113653779E-1,1.823607683E-1
1.229030387E1,2.399934828E-1,-2.004346438E-2,8.136513084E-2
1.239041688E1,1.296739578E-1,3.990871310E-1,1.562726647E-1
1.249052888E1,1.136496738E-1,7.415097207E-2,-1.998687536E-2
1.259064187E1,5.046688020E-2,1.004391238E-1,-8.932445198E-2
1.269075387E1,-8.790708333E-2,-1.305168401E-2,5.854734778E-2
1.279086688E1,-1.247904673E-1,-1.334198117E-1,3.011175618E-2
1.289097888E1,-1.556548923E-1,-2.265680730E-1,-4.995274823E-3
1.299109088E1,-9.753452986E-2,-1.599204540E-1,-3.254727647E-2
1.309120387E1,-2.055354416E-1,-2.013308257E-1,-5.896893516E-2
1.319131637E1,-3.039379418E-1,-3.634729385E-1,-1.089773774E-1
1.329142937E1,-2.327756733E-1,-4.212612212E-1,-8.596704155E-2
1.339154137E1,-1.829253286E-1,-4.045794606E-1,-3.795109689E-2
1.349165438E1,3.910574596E-3,-1.199635193E-1,-6.323620677E-2
1.359176638E1,4.398168623E-2,8.596752584E-2,-1.060978770E-1
