"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.658779167E-2,-2.209768045E-1,-9.996049047E-2,-1.382574141E-1
1.767011667E-1,8.135991275E-2,3.699211746E-2,-4.368513286E-2
2.768131667E-1,1.110760474E-1,-5.412358224E-2,1.085395253E-1
3.769251667E-1,4.961684078E-1,-4.023995340E-2,2.930946082E-1
4.770371667E-1,8.395245123E-1,1.082226939E0,4.499297959E-1
5.771501667E-1,7.557035065E-1,1.838079842E0,-4.572522640E-2
6.772621667E-1,-7.326584601E-1,8.167969698E-1,-3.050077254E-1
7.773741667E-1,1.745879191E-1,7.329075515E-2,-5.353332044E-1
8.774871667E-1,-2.185221434E-1,-6.684525239E-1,-5.482263149E-1
9.775991667E-1,-2.358644003E-1,-8.627905834E-1,-1.952530756E-1
1.077711167E0,1.216875744E-1,-7.262820715E-1,-3.992833335E-2
1.177824000E0,2.761294967E-1,-6.223051286E-1,1.883054688E-1
1.277936000E0,9.880332649E-2,-1.649791896E-1,4.073736873E-3
1.378048000E0,2.195109075E-1,-3.841679156E-2,1.895139238E-2
1.478161000E0,6.864397287E-2,5.807571530E-2,3.398390043E-1
1.578273000E0,1.710421675E-1,-7.227047449E-1,4.691981256E-1
1.678385000E0,2.062617016E-1,-1.794811031E0,7.478869486E-1
1.778498000E0,8.397163010E-1,-1.650039818E0,7.766049635E-1
1.878610000E0,-8.721882284E-2,9.785911810E-1,1.571006513E-1
1.978722000E0,-2.354203627E0,2.957442155E0,-1.623312196E0
2.078835000E0,-1.633962314E0,1.898090985E0,-1.625049988E0
2.178947167E0,-5.453680497E-1,6.115754879E-1,-4.227899444E-1
2.279060167E0,6.699248528E-1,-1.193710245E0,4.679041368E-1
2.379172167E0,1.097286735E0,-1.522067072E0,5.183357871E-1
2.479284167E0,1.851110362E0,-1.734326262E0,1.209505913E0
2.579397167E0,1.008648208E0,-1.280765930E0,9.280034101E-1
2.679509167E0,-2.046771061E-1,2.314339650E-1,-2.353258717E-1
2.779621167E0,-1.832317411E0,2.268323232E0,-1.748912727E0
2.879734167E0,-1.126880078E0,1.667544043E0,-1.708979167E0
2.979846167E0,-4.455864841E-1,4.085332632E-2,-4.390411109E-1
3.079959167E0,1.507884066E0,-1.856717842E0,1.661046617E0
3.180070917E0,1.969242829E-1,-2.184342012E0,1.828407962E0
3.280182917E0,-5.500826597E-1,-1.632619209E0,5.507715348E-1
