"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.658779167E-2,3.770930481E1,1.860362244E1,-2.023498535E1
1.767011667E-1,3.764340210E1,1.864720154E1,-2.012634277E1
2.768131667E-1,3.772520447E1,1.860269165E1,-1.982598877E1
3.769251667E-1,3.787539673E1,1.886764526E1,-1.946929932E1
4.770371667E-1,3.858558655E1,1.951356506E1,-1.705480957E1
5.771501667E-1,3.990007019E1,2.119136047E1,-9.931457520E0
6.772621667E-1,3.915135193E1,2.480804443E1,4.118957520E-1
7.773741667E-1,3.526705933E1,2.945101929E1,8.792877197E0
8.774871667E-1,3.022605896E1,3.438464355E1,1.409008789E1
9.775991667E-1,2.569305420E1,3.823793030E1,1.819119263E1
1.077711167E0,2.300309753E1,4.057003784E1,2.112890625E1
1.177824000E0,2.151014709E1,4.159541321E1,2.315045166E1
1.277936000E0,2.038439941E1,4.211434937E1,2.452368164E1
1.378048000E0,1.964030457E1,4.212524414E1,2.528396606E1
1.478161000E0,1.815298462E1,4.173866272E1,2.652383423E1
1.578273000E0,1.616047668E1,4.130648804E1,2.769805908E1
1.678385000E0,1.512785339E1,4.096133423E1,2.746469116E1
1.778498000E0,1.706248474E1,4.068032837E1,2.396530151E1
1.878610000E0,1.944059753E1,4.022354126E1,1.904785156E1
1.978722000E0,1.977975464E1,4.063824463E1,1.551422119E1
2.078835000E0,1.988061523E1,4.081156921E1,1.476235962E1
2.178947167E0,2.031208801E1,4.157931519E1,1.622698975E1
2.279060167E0,2.059152222E1,4.230921936E1,2.076492310E1
2.379172167E0,2.141474915E1,4.165480042E1,2.608786011E1
2.479284167E0,2.259962463E1,4.033706665E1,2.788360596E1
2.579397167E0,2.201928711E1,4.075668335E1,2.524639893E1
2.679509167E0,2.125717163E1,4.134555054E1,1.917816162E1
2.779621167E0,2.116606140E1,4.149555969E1,1.450427246E1
2.879734167E0,2.131575012E1,4.148735046E1,1.369290161E1
2.979846167E0,2.123181152E1,4.159179688E1,1.645840454E1
3.079959167E0,2.239193726E1,4.137773895E1,1.962222290E1
3.180070917E0,2.312216187E1,4.004862213E1,2.114358521E1
3.280182917E0,2.392277527E1,3.888899994E1,1.846554565E1
3.380295917E0,2.519032288E1,3.642369843E1,1.657308960E1
3.480407917E0,2.460696411E1,3.243354797E1,1.947204590E1
3.580520917E0,2.227897644E1,2.938085175E1,2.390795898E1
3.680632917E0,1.927856445E1,2.714632416E1,2.775842285E1
3.780744917E0,1.701002502E1,2.646698761E1,2.845803833E1
3.880857917E0,1.413221741E1,2.711068726E1,2.722579956E1
3.980969917E0,1.413067627E1,2.521127319E1,2.881732178E1
4.081082917E0,1.427317810E1,2.589364624E1,2.827575684E1
4.181195542E0,1.471801758E1,2.504553223E1,2.865548706E1
4.281308542E0,1.466215515E1,2.560129547E1,2.825970459E1
