"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749629425591691E9,"2025-06-11 10:10:25.592 UTC+02:00"
"PAUSE",4.062673387500399E1,1.749629466217887E9,"2025-06-11 10:11:06.218 UTC+02:00"
"START",4.062673387500399E1,1.749629473441699E9,"2025-06-11 10:11:13.442 UTC+02:00"
"PAUSE",8.123161287500989E1,1.749629514046040E9,"2025-06-11 10:11:54.046 UTC+02:00"
"START",8.123161287500989E1,1.749629525380977E9,"2025-06-11 10:12:05.381 UTC+02:00"
"PAUSE",1.219204147083365E2,1.749629566069240E9,"2025-06-11 10:12:46.069 UTC+02:00"
"START",1.219204147083365E2,1.749629569963804E9,"2025-06-11 10:12:49.964 UTC+02:00"
"PAUSE",1.626207929166703E2,1.749629610663643E9,"2025-06-11 10:13:30.664 UTC+02:00"
"START",1.626207929166703E2,1.749629614777547E9,"2025-06-11 10:13:34.778 UTC+02:00"
"PAUSE",2.032660417916632E2,1.749629655422257E9,"2025-06-11 10:14:15.422 UTC+02:00"
"START",2.032660417916632E2,1.749629661607958E9,"2025-06-11 10:14:21.608 UTC+02:00"
"PAUSE",2.438898039583291E2,1.749629702231182E9,"2025-06-11 10:15:02.231 UTC+02:00"
"START",2.438898039583291E2,1.749629714526566E9,"2025-06-11 10:15:14.527 UTC+02:00"
"PAUSE",2.844934506249992E2,1.749629755120056E9,"2025-06-11 10:15:55.120 UTC+02:00"
"START",2.844934506249992E2,1.749629761248632E9,"2025-06-11 10:16:01.249 UTC+02:00"
"PAUSE",3.251171626666619E2,1.749629801871189E9,"2025-06-11 10:16:41.871 UTC+02:00"
"START",3.251171626666619E2,1.749629812771580E9,"2025-06-11 10:16:52.772 UTC+02:00"
"PAUSE",3.657430036249862E2,1.749629853396712E9,"2025-06-11 10:17:33.397 UTC+02:00"
"START",3.657430036249862E2,1.749629864582772E9,"2025-06-11 10:17:44.583 UTC+02:00"
"PAUSE",4.063465220833168E2,1.749629905217366E9,"2025-06-11 10:18:25.217 UTC+02:00"
